module,attributes,classifier,technique,metric,score
aaa,asmt,dt,ae,accuracy,0.9661016949152542
aaa,asmt,dt,ae,fscore,0.0
aaa,asmt,dt,ae,precision,0.0
aaa,asmt,dt,ae,recall,0.0
aaa,stdnt,dt,ae,accuracy,0.952542372881356
aaa,stdnt,dt,ae,fscore,0.0013550135501355016
aaa,stdnt,dt,ae,precision,0.045454545454545456
aaa,stdnt,dt,ae,recall,0.02
aaa,abd,dt,ae,accuracy,0.9444067796610168
aaa,abd,dt,ae,fscore,0.0040595399188092015
aaa,abd,dt,ae,precision,0.07894736842105263
aaa,abd,dt,ae,recall,0.06
aaa,abi,dt,ae,accuracy,0.9423728813559322
aaa,abi,dt,ae,fscore,0.0027081922816519968
aaa,abi,dt,ae,precision,0.05128205128205128
aaa,abi,dt,ae,recall,0.04
aaa,asmt_stdnt,dt,ae,accuracy,0.9457627118644067
aaa,asmt_stdnt,dt,ae,fscore,0.0013550135501355016
aaa,asmt_stdnt,dt,ae,precision,0.03125
aaa,asmt_stdnt,dt,ae,recall,0.02
aaa,asmt_abd,dt,ae,accuracy,0.9450847457627118
aaa,asmt_abd,dt,ae,fscore,0.0040595399188092015
aaa,asmt_abd,dt,ae,precision,0.08108108108108109
aaa,asmt_abd,dt,ae,recall,0.06
aaa,asmt_abi,dt,ae,accuracy,0.9389830508474576
aaa,asmt_abi,dt,ae,fscore,0.0040595399188092015
aaa,asmt_abi,dt,ae,precision,0.06521739130434782
aaa,asmt_abi,dt,ae,recall,0.06
aaa,stdnt_abd,dt,ae,accuracy,0.9464406779661017
aaa,stdnt_abd,dt,ae,fscore,0.0013550135501355016
aaa,stdnt_abd,dt,ae,precision,0.03225806451612903
aaa,stdnt_abd,dt,ae,recall,0.02
aaa,stdnt_abi,dt,ae,accuracy,0.951186440677966
aaa,stdnt_abi,dt,ae,fscore,0.0
aaa,stdnt_abi,dt,ae,precision,0.0
aaa,stdnt_abi,dt,ae,recall,0.0
aaa,asmt_stdnt_abd,dt,ae,accuracy,0.9471186440677966
aaa,asmt_stdnt_abd,dt,ae,fscore,0.0
aaa,asmt_stdnt_abd,dt,ae,precision,0.0
aaa,asmt_stdnt_abd,dt,ae,recall,0.0
aaa,asmt_stdnt_abi,dt,ae,accuracy,0.9403389830508476
aaa,asmt_stdnt_abi,dt,ae,fscore,0.0040595399188092015
aaa,asmt_stdnt_abi,dt,ae,precision,0.06818181818181818
aaa,asmt_stdnt_abi,dt,ae,recall,0.06
