module,attributes,classifier,technique,metric,score
eee,asmt,dt,ae,accuracy,0.9853990914990266
eee,asmt,dt,ae,fscore,0.0
eee,asmt,dt,ae,precision,0.0
eee,asmt,dt,ae,recall,0.0
eee,stdnt,dt,ae,accuracy,0.9834523036988968
eee,stdnt,dt,ae,fscore,0.0
eee,stdnt,dt,ae,precision,0.0
eee,stdnt,dt,ae,recall,0.0
eee,abd,dt,ae,accuracy,0.981181051265412
eee,abd,dt,ae,fscore,0.0
eee,abd,dt,ae,precision,0.0
eee,abd,dt,ae,recall,0.0
eee,abi,dt,ae,accuracy,0.9613887086307592
eee,abi,dt,ae,fscore,0.0019448946515397078
eee,abi,dt,ae,precision,0.0375
eee,abi,dt,ae,recall,0.06666666666666668
eee,asmt_stdnt,dt,ae,accuracy,0.9659312134977288
eee,asmt_stdnt,dt,ae,fscore,0.0012970168612191958
eee,asmt_stdnt,dt,ae,precision,0.03125
eee,asmt_stdnt,dt,ae,recall,0.04444444444444445
eee,asmt_abd,dt,ae,accuracy,0.9626865671641792
eee,asmt_abd,dt,ae,fscore,0.0006487187804086928
eee,asmt_abd,dt,ae,precision,0.013888888888888888
eee,asmt_abd,dt,ae,recall,0.022222222222222227
eee,asmt_abi,dt,ae,accuracy,0.9613887086307592
eee,asmt_abi,dt,ae,fscore,0.0019448946515397078
eee,asmt_abi,dt,ae,precision,0.0375
eee,asmt_abi,dt,ae,recall,0.06666666666666668
eee,stdnt_abd,dt,ae,accuracy,0.9672290720311486
eee,stdnt_abd,dt,ae,fscore,0.0012970168612191958
eee,stdnt_abd,dt,ae,precision,0.03333333333333333
eee,stdnt_abd,dt,ae,recall,0.04444444444444445
eee,stdnt_abi,dt,ae,accuracy,0.9659312134977288
eee,stdnt_abi,dt,ae,fscore,0.002592352559948153
eee,stdnt_abi,dt,ae,precision,0.05882352941176471
eee,stdnt_abi,dt,ae,recall,0.08888888888888889
eee,asmt_stdnt_abd,dt,ae,accuracy,0.9659312134977288
eee,asmt_stdnt_abd,dt,ae,fscore,0.0006487187804086928
eee,asmt_stdnt_abd,dt,ae,precision,0.016129032258064516
eee,asmt_stdnt_abd,dt,ae,recall,0.022222222222222227
eee,asmt_stdnt_abi,dt,ae,accuracy,0.9591174561972744
eee,asmt_stdnt_abi,dt,ae,fscore,0.0019448946515397078
eee,asmt_stdnt_abi,dt,ae,precision,0.03448275862068965
eee,asmt_stdnt_abi,dt,ae,recall,0.06666666666666668
