module,attributes,classifier,technique,metric,score
fff,asmt,dt,ae,accuracy,0.9832764952780692
fff,asmt,dt,ae,fscore,0.0
fff,asmt,dt,ae,precision,0.0
fff,asmt,dt,ae,recall,0.0
fff,stdnt,dt,ae,accuracy,0.9744228751311648
fff,stdnt,dt,ae,fscore,0.0
fff,stdnt,dt,ae,precision,0.0
fff,stdnt,dt,ae,recall,0.0
fff,abd,dt,ae,accuracy,0.9628803777544596
fff,abd,dt,ae,fscore,0.0015727391874180866
fff,abd,dt,ae,precision,0.03582089552238806
fff,abd,dt,ae,recall,0.047058823529411764
fff,abi,dt,ae,accuracy,0.97147166841553
fff,abi,dt,ae,fscore,0.0015727391874180866
fff,abi,dt,ae,precision,0.05882352941176471
fff,abi,dt,ae,recall,0.047058823529411764
fff,asmt_stdnt,dt,ae,accuracy,0.9647166841552992
fff,asmt_stdnt,dt,ae,fscore,0.0015727391874180866
fff,asmt_stdnt,dt,ae,precision,0.03908794788273615
fff,asmt_stdnt,dt,ae,recall,0.047058823529411764
fff,asmt_abd,dt,ae,accuracy,0.9626836306400841
fff,asmt_abd,dt,ae,fscore,0.002881466928618206
fff,asmt_abd,dt,ae,precision,0.06145251396648045
fff,asmt_abd,dt,ae,recall,0.08627450980392158
fff,asmt_abi,dt,ae,accuracy,0.9662250786988458
fff,asmt_abi,dt,ae,fscore,0.0017036891422580437
fff,asmt_abi,dt,ae,precision,0.045454545454545456
fff,asmt_abi,dt,ae,recall,0.05098039215686274
fff,stdnt_abd,dt,ae,accuracy,0.973635886673662
fff,stdnt_abd,dt,ae,fscore,0.0001311561413863204
fff,stdnt_abd,dt,ae,precision,0.006711409395973154
fff,stdnt_abd,dt,ae,recall,0.0039215686274509795
fff,stdnt_abi,dt,ae,accuracy,0.9767182581322141
fff,stdnt_abi,dt,ae,fscore,0.0002622950819672132
fff,stdnt_abi,dt,ae,precision,0.019230769230769232
fff,stdnt_abi,dt,ae,recall,0.007843137254901959
fff,asmt_stdnt_abd,dt,ae,accuracy,0.9622901364113328
fff,asmt_stdnt_abd,dt,ae,fscore,0.003012245432519154
fff,asmt_stdnt_abd,dt,ae,precision,0.06284153005464481
fff,asmt_stdnt_abd,dt,ae,recall,0.09019607843137256
fff,asmt_stdnt_abi,dt,ae,accuracy,0.963995278069255
fff,asmt_stdnt_abi,dt,ae,fscore,0.002881466928618206
fff,asmt_stdnt_abi,dt,ae,precision,0.0650887573964497
fff,asmt_stdnt_abi,dt,ae,recall,0.08627450980392158
