module,attributes,classifier,technique,metric,score
ggg,asmt,dt,ae,accuracy,0.977762494268684
ggg,asmt,dt,ae,fscore,0.0
ggg,asmt,dt,ae,precision,0.0
ggg,asmt,dt,ae,recall,0.0
ggg,stdnt,dt,ae,accuracy,0.977762494268684
ggg,stdnt,dt,ae,fscore,0.0
ggg,stdnt,dt,ae,precision,0.0
ggg,stdnt,dt,ae,recall,0.0
ggg,abd,dt,ae,accuracy,0.971801925722146
ggg,abd,dt,ae,fscore,0.00045840018336007336
ggg,abd,dt,ae,precision,0.03571428571428571
ggg,abd,dt,ae,recall,0.010309278350515464
ggg,abi,dt,ae,accuracy,0.970426409903714
ggg,abi,dt,ae,fscore,0.00045840018336007336
ggg,abi,dt,ae,precision,0.029411764705882356
ggg,abi,dt,ae,recall,0.010309278350515464
ggg,asmt_stdnt,dt,ae,accuracy,0.9727189362677672
ggg,asmt_stdnt,dt,ae,fscore,0.0009165902841429881
ggg,asmt_stdnt,dt,ae,precision,0.07692307692307693
ggg,asmt_stdnt,dt,ae,recall,0.020618556701030927
ggg,asmt_abd,dt,ae,accuracy,0.9656121045392022
ggg,asmt_abd,dt,ae,fscore,0.0009165902841429881
ggg,asmt_abd,dt,ae,precision,0.03508771929824561
ggg,asmt_abd,dt,ae,recall,0.020618556701030927
ggg,asmt_abi,dt,ae,accuracy,0.9667583677212288
ggg,asmt_abi,dt,ae,fscore,0.0018323408153916628
ggg,asmt_abi,dt,ae,precision,0.07142857142857142
ggg,asmt_abi,dt,ae,recall,0.041237113402061855
ggg,stdnt_abd,dt,ae,accuracy,0.9580467675378268
ggg,stdnt_abd,dt,ae,fscore,0.0
ggg,stdnt_abd,dt,ae,precision,0.0
ggg,stdnt_abd,dt,ae,recall,0.0
ggg,stdnt_abi,dt,ae,accuracy,0.9624025676295276
ggg,stdnt_abi,dt,ae,fscore,0.0009165902841429881
ggg,stdnt_abi,dt,ae,precision,0.028169014084507043
ggg,stdnt_abi,dt,ae,recall,0.020618556701030927
ggg,asmt_stdnt_abd,dt,ae,accuracy,0.9628610729023384
ggg,asmt_stdnt_abd,dt,ae,fscore,0.0018323408153916628
ggg,asmt_stdnt_abd,dt,ae,precision,0.0547945205479452
ggg,asmt_stdnt_abd,dt,ae,recall,0.041237113402061855
ggg,asmt_stdnt_abi,dt,ae,accuracy,0.9612563044475012
ggg,asmt_stdnt_abi,dt,ae,fscore,0.002289901534234028
ggg,asmt_stdnt_abi,dt,ae,precision,0.06097560975609756
ggg,asmt_stdnt_abi,dt,ae,recall,0.05154639175257732
