module,attributes,classifier,technique,metric,score
bbb,asmt,dt,kmeans,accuracy,0.8853485838779956
bbb,asmt,dt,kmeans,fscore,0.0
bbb,asmt,dt,kmeans,precision,0.0
bbb,asmt,dt,kmeans,recall,0.0
bbb,stdnt,dt,kmeans,accuracy,0.8833061002178649
bbb,stdnt,dt,kmeans,fscore,0.0008166598611678236
bbb,stdnt,dt,kmeans,precision,0.14285714285714285
bbb,stdnt,dt,kmeans,recall,0.003562945368171021
bbb,abd,dt,kmeans,accuracy,0.7847222222222222
bbb,abd,dt,kmeans,fscore,0.013524479307546659
bbb,abd,dt,kmeans,precision,0.05959475566150179
bbb,abd,dt,kmeans,recall,0.05938242280285035
bbb,abi,dt,kmeans,accuracy,0.7911220043572985
bbb,abi,dt,kmeans,fscore,0.011372867587327376
bbb,abi,dt,kmeans,precision,0.05412371134020619
bbb,abi,dt,kmeans,recall,0.0498812351543943
bbb,asmt_stdnt,dt,kmeans,accuracy,0.8616557734204793
bbb,asmt_stdnt,dt,kmeans,fscore,0.004347826086956522
bbb,asmt_stdnt,dt,kmeans,precision,0.07766990291262135
bbb,asmt_stdnt,dt,kmeans,recall,0.019002375296912115
bbb,asmt_abd,dt,kmeans,accuracy,0.7883986928104575
bbb,asmt_abd,dt,kmeans,fscore,0.0078665400786654
bbb,asmt_abd,dt,kmeans,precision,0.03766233766233766
bbb,asmt_abd,dt,kmeans,recall,0.0344418052256532
bbb,asmt_abi,dt,kmeans,accuracy,0.7839052287581699
bbb,asmt_abi,dt,kmeans,fscore,0.005973391257127342
bbb,asmt_abi,dt,kmeans,precision,0.02788339670468948
bbb,asmt_abi,dt,kmeans,recall,0.02612826603325416
bbb,stdnt_abd,dt,kmeans,accuracy,0.7946623093681917
bbb,stdnt_abd,dt,kmeans,fscore,0.013524479307546659
bbb,stdnt_abd,dt,kmeans,precision,0.06527415143603134
bbb,stdnt_abd,dt,kmeans,recall,0.05938242280285035
bbb,stdnt_abi,dt,kmeans,accuracy,0.7852668845315904
bbb,stdnt_abi,dt,kmeans,fscore,0.010025741769407941
bbb,stdnt_abi,dt,kmeans,precision,0.04573547589616811
bbb,stdnt_abi,dt,kmeans,recall,0.043942992874109264
bbb,asmt_stdnt_abd,dt,kmeans,accuracy,0.8488562091503268
bbb,asmt_stdnt_abd,dt,kmeans,fscore,0.005702647657841141
bbb,asmt_stdnt_abd,dt,kmeans,precision,0.06774193548387097
bbb,asmt_stdnt_abd,dt,kmeans,recall,0.02494061757719715
bbb,asmt_stdnt_abi,dt,kmeans,accuracy,0.8199891067538126
bbb,asmt_stdnt_abi,dt,kmeans,fscore,0.006785181164337089
bbb,asmt_stdnt_abi,dt,kmeans,precision,0.04716981132075472
bbb,asmt_stdnt_abi,dt,kmeans,recall,0.029691211401425176
