module,attributes,classifier,technique,metric,score
ccc,asmt,dt,kmeans,accuracy,0.9169045353631462
ccc,asmt,dt,kmeans,fscore,0.0
ccc,asmt,dt,kmeans,precision,0.0
ccc,asmt,dt,kmeans,recall,0.0
ccc,stdnt,dt,kmeans,accuracy,0.7858124537477534
ccc,stdnt,dt,kmeans,fscore,0.03285847977539773
ccc,stdnt,dt,kmeans,precision,0.10154241645244216
ccc,stdnt,dt,kmeans,recall,0.2010178117048346
ccc,abd,dt,kmeans,accuracy,0.8012474891637594
ccc,abd,dt,kmeans,fscore,0.031220730565095226
ccc,abd,dt,kmeans,precision,0.10760401721664277
ccc,abd,dt,kmeans,recall,0.19083969465648856
ccc,abi,dt,kmeans,accuracy,0.7804207632942172
ccc,abi,dt,kmeans,fscore,0.04525728456292622
ccc,abi,dt,kmeans,precision,0.1266628108733372
ccc,abi,dt,kmeans,recall,0.2786259541984733
ccc,asmt_stdnt,dt,kmeans,accuracy,0.8043133523628291
ccc,asmt_stdnt,dt,kmeans,fscore,0.031630423473103735
ccc,asmt_stdnt,dt,kmeans,precision,0.1110299488677867
ccc,asmt_stdnt,dt,kmeans,recall,0.19338422391857507
ccc,asmt_abd,dt,kmeans,accuracy,0.6972195792367057
ccc,asmt_abd,dt,kmeans,fscore,0.05270200720535255
ccc,asmt_abd,dt,kmeans,precision,0.09884169884169884
ccc,asmt_abd,dt,kmeans,recall,0.3256997455470738
ccc,asmt_abi,dt,kmeans,accuracy,0.7524051168199598
ccc,asmt_abi,dt,kmeans,fscore,0.05029372359064207
ccc,asmt_abi,dt,kmeans,precision,0.11937377690802348
ccc,asmt_abi,dt,kmeans,recall,0.3104325699745547
ccc,stdnt_abd,dt,kmeans,accuracy,0.7975473094407443
ccc,stdnt_abd,dt,kmeans,fscore,0.035921926910298996
ccc,stdnt_abd,dt,kmeans,precision,0.11728813559322035
ccc,stdnt_abd,dt,kmeans,recall,0.22010178117048346
ccc,stdnt_abi,dt,kmeans,accuracy,0.8031504387355958
ccc,stdnt_abi,dt,kmeans,fscore,0.04141215446733616
ccc,stdnt_abi,dt,kmeans,precision,0.13550135501355012
ccc,stdnt_abi,dt,kmeans,recall,0.2544529262086514
ccc,asmt_stdnt_abd,dt,kmeans,accuracy,0.7373929590865842
ccc,asmt_stdnt_abd,dt,kmeans,fscore,0.05189990732159407
ccc,asmt_stdnt_abd,dt,kmeans,precision,0.11444141689373295
ccc,asmt_stdnt_abd,dt,kmeans,recall,0.32061068702290074
ccc,asmt_stdnt_abi,dt,kmeans,accuracy,0.7864467702716992
ccc,asmt_stdnt_abi,dt,kmeans,fscore,0.0442468727385506
ccc,asmt_stdnt_abi,dt,kmeans,precision,0.12876052948255115
ccc,asmt_stdnt_abi,dt,kmeans,recall,0.272264631043257
