module,attributes,classifier,technique,metric,score
eee,asmt,dt,kmeans,accuracy,0.9853990914990266
eee,asmt,dt,kmeans,fscore,0.0
eee,asmt,dt,kmeans,precision,0.0
eee,asmt,dt,kmeans,recall,0.0
eee,stdnt,dt,kmeans,accuracy,0.9695003244646332
eee,stdnt,dt,kmeans,fscore,0.0
eee,stdnt,dt,kmeans,precision,0.0
eee,stdnt,dt,kmeans,recall,0.0
eee,abd,dt,kmeans,accuracy,0.9626865671641792
eee,abd,dt,kmeans,fscore,0.003239390994493035
eee,abd,dt,kmeans,precision,0.0625
eee,abd,dt,kmeans,recall,0.1111111111111111
eee,abi,dt,kmeans,accuracy,0.9558728098637248
eee,abi,dt,kmeans,fscore,0.0012970168612191958
eee,abi,dt,kmeans,precision,0.021052631578947368
eee,abi,dt,kmeans,recall,0.04444444444444445
eee,asmt_stdnt,dt,kmeans,accuracy,0.9542504866969499
eee,asmt_stdnt,dt,kmeans,fscore,0.0
eee,asmt_stdnt,dt,kmeans,precision,0.0
eee,asmt_stdnt,dt,kmeans,recall,0.0
eee,asmt_abd,dt,kmeans,accuracy,0.9263465282284232
eee,asmt_abd,dt,kmeans,fscore,0.004532211071544189
eee,asmt_abd,dt,kmeans,precision,0.03571428571428571
eee,asmt_abd,dt,kmeans,recall,0.15555555555555556
eee,asmt_abi,dt,kmeans,accuracy,0.9523036988968202
eee,asmt_abi,dt,kmeans,fscore,0.002592352559948153
eee,asmt_abi,dt,kmeans,precision,0.03636363636363636
eee,asmt_abi,dt,kmeans,recall,0.08888888888888889
eee,stdnt_abd,dt,kmeans,accuracy,0.9506813757300454
eee,stdnt_abd,dt,kmeans,fscore,0.002592352559948153
eee,stdnt_abd,dt,kmeans,precision,0.034782608695652174
eee,stdnt_abd,dt,kmeans,recall,0.08888888888888889
eee,stdnt_abi,dt,kmeans,accuracy,0.9503569110966904
eee,stdnt_abi,dt,kmeans,fscore,0.005177993527508091
eee,stdnt_abi,dt,kmeans,precision,0.06451612903225806
eee,stdnt_abi,dt,kmeans,recall,0.17777777777777778
eee,asmt_stdnt_abd,dt,kmeans,accuracy,0.9471122647631408
eee,asmt_stdnt_abd,dt,kmeans,fscore,0.005823358136525397
eee,asmt_stdnt_abd,dt,kmeans,precision,0.0661764705882353
eee,asmt_stdnt_abd,dt,kmeans,recall,0.2
eee,asmt_stdnt_abi,dt,kmeans,accuracy,0.9581440622972096
eee,asmt_stdnt_abi,dt,kmeans,fscore,0.0012970168612191958
eee,asmt_stdnt_abi,dt,kmeans,precision,0.022727272727272728
eee,asmt_stdnt_abi,dt,kmeans,recall,0.04444444444444445
