module,attributes,classifier,technique,metric,score
fff,asmt,dt,kmeans,accuracy,0.9832764952780692
fff,asmt,dt,kmeans,fscore,0.0
fff,asmt,dt,kmeans,precision,0.0
fff,asmt,dt,kmeans,recall,0.0
fff,stdnt,dt,kmeans,accuracy,0.9656348373557188
fff,stdnt,dt,kmeans,fscore,0.0006556087327083197
fff,stdnt,dt,kmeans,precision,0.017921146953405017
fff,stdnt,dt,kmeans,recall,0.0196078431372549
fff,abd,dt,kmeans,accuracy,0.96104407135362
fff,abd,dt,kmeans,fscore,0.0035351882160392797
fff,abd,dt,kmeans,precision,0.06870229007633588
fff,abd,dt,kmeans,recall,0.10588235294117647
fff,abi,dt,kmeans,accuracy,0.96602833158447
fff,abi,dt,kmeans,fscore,0.004841347726529277
fff,abi,dt,kmeans,precision,0.10979228486646883
fff,abi,dt,kmeans,recall,0.1450980392156863
fff,asmt_stdnt,dt,kmeans,accuracy,0.95651888772298
fff,asmt_stdnt,dt,kmeans,fscore,0.0034044781982453844
fff,asmt_stdnt,dt,kmeans,precision,0.056521739130434775
fff,asmt_stdnt,dt,kmeans,recall,0.10196078431372547
fff,asmt_abd,dt,kmeans,accuracy,0.9615687303252886
fff,asmt_abd,dt,kmeans,fscore,0.005363333115311662
fff,asmt_abd,dt,kmeans,precision,0.099273607748184
fff,asmt_abd,dt,kmeans,recall,0.1607843137254902
fff,asmt_abi,dt,kmeans,accuracy,0.9647166841552992
fff,asmt_abi,dt,kmeans,fscore,0.005885045445628719
fff,asmt_abi,dt,kmeans,precision,0.12064343163538875
fff,asmt_abi,dt,kmeans,recall,0.17647058823529413
fff,stdnt_abd,dt,kmeans,accuracy,0.960060335781742
fff,stdnt_abd,dt,kmeans,fscore,0.002881466928618206
fff,stdnt_abd,dt,kmeans,precision,0.055276381909547735
fff,stdnt_abd,dt,kmeans,recall,0.08627450980392158
fff,stdnt_abi,dt,kmeans,accuracy,0.9648478488982162
fff,stdnt_abi,dt,kmeans,fscore,0.0041884816753926715
fff,stdnt_abi,dt,kmeans,precision,0.0927536231884058
fff,stdnt_abi,dt,kmeans,recall,0.12549019607843134
fff,asmt_stdnt_abd,dt,kmeans,accuracy,0.9616343126967472
fff,asmt_stdnt_abd,dt,kmeans,fscore,0.005754642950562386
fff,asmt_stdnt_abd,dt,kmeans,precision,0.10526315789473684
fff,asmt_stdnt_abd,dt,kmeans,recall,0.17254901960784313
fff,asmt_stdnt_abi,dt,kmeans,accuracy,0.9626180482686254
fff,asmt_stdnt_abi,dt,kmeans,fscore,0.0049718696846787905
fff,asmt_stdnt_abi,dt,kmeans,precision,0.09718670076726342
fff,asmt_stdnt_abi,dt,kmeans,recall,0.14901960784313725
