module,attributes,classifier,technique,metric,score
ddd,asmt,dt,pca,accuracy,0.9348480288895576
ddd,asmt,dt,pca,fscore,0.0
ddd,asmt,dt,pca,precision,0.0
ddd,asmt,dt,pca,recall,0.0
ddd,stdnt,dt,pca,accuracy,0.8958772193800782
ddd,stdnt,dt,pca,fscore,0.0042042042042042035
ddd,stdnt,dt,pca,precision,0.04878048780487805
ddd,stdnt,dt,pca,recall,0.03233256351039261
ddd,abd,dt,pca,accuracy,0.7952151670177551
ddd,abd,dt,pca,fscore,0.03081481481481482
ddd,abd,dt,pca,precision,0.09154929577464788
ddd,abd,dt,pca,recall,0.2401847575057737
ddd,abi,dt,pca,accuracy,0.8335841107433043
ddd,abi,dt,pca,fscore,0.02114039005508412
ddd,abi,dt,pca,precision,0.08711656441717791
ddd,abi,dt,pca,recall,0.16397228637413394
ddd,asmt_stdnt,dt,pca,accuracy,0.8328317785133915
ddd,asmt_stdnt,dt,pca,fscore,0.023788284269997028
ddd,asmt_stdnt,dt,pca,precision,0.0954653937947494
ddd,asmt_stdnt,dt,pca,recall,0.1847575057736721
ddd,asmt_abd,dt,pca,accuracy,0.7953656334637376
ddd,asmt_abd,dt,pca,fscore,0.036342148027773684
ddd,asmt_abd,dt,pca,precision,0.10485933503836316
ddd,asmt_abd,dt,pca,recall,0.2840646651270208
ddd,asmt_abi,dt,pca,accuracy,0.8219981944026482
ddd,asmt_abi,dt,pca,fscore,0.03256364712847839
ddd,asmt_abi,dt,pca,precision,0.1134020618556701
ddd,asmt_abi,dt,pca,recall,0.2540415704387991
ddd,stdnt_abd,dt,pca,accuracy,0.810111345170027
ddd,stdnt_abd,dt,pca,fscore,0.02349442379182156
ddd,stdnt_abd,dt,pca,precision,0.0800405268490375
ddd,stdnt_abd,dt,pca,recall,0.1824480369515012
ddd,stdnt_abi,dt,pca,accuracy,0.8235028588624737
ddd,stdnt_abi,dt,pca,fscore,0.0255496137849079
ddd,stdnt_abi,dt,pca,precision,0.09429824561403508
ddd,stdnt_abi,dt,pca,recall,0.19861431870669746
ddd,asmt_stdnt_abd,dt,pca,accuracy,0.8343364429732171
ddd,asmt_stdnt_abd,dt,pca,fscore,0.02847819638089588
ddd,asmt_stdnt_abd,dt,pca,precision,0.11162790697674417
ddd,asmt_stdnt_abd,dt,pca,recall,0.22170900692840648
ddd,asmt_stdnt_abi,dt,pca,accuracy,0.839301835690641
ddd,asmt_stdnt_abi,dt,pca,fscore,0.033145901154187626
ddd,asmt_stdnt_abi,dt,pca,precision,0.13038416763678695
ddd,asmt_stdnt_abi,dt,pca,recall,0.2586605080831409
