module,attributes,classifier,technique,metric,score
fff,asmt,dt,pca,accuracy,0.9832764952780692
fff,asmt,dt,pca,fscore,0.0
fff,asmt,dt,pca,precision,0.0
fff,asmt,dt,pca,recall,0.0
fff,stdnt,dt,pca,accuracy,0.97599685204617
fff,stdnt,dt,pca,fscore,0.0005245213742460005
fff,stdnt,dt,pca,precision,0.03361344537815126
fff,stdnt,dt,pca,recall,0.015686274509803918
fff,abd,dt,pca,accuracy,0.9594045120671564
fff,abd,dt,pca,fscore,0.003273751063969096
fff,abd,dt,pca,precision,0.06038647342995169
fff,abd,dt,pca,recall,0.09803921568627452
fff,abi,dt,pca,accuracy,0.9647166841552992
fff,abi,dt,pca,fscore,0.004449679361340139
fff,abi,dt,pca,precision,0.09686609686609686
fff,abi,dt,pca,recall,0.13333333333333333
fff,asmt_stdnt,dt,pca,accuracy,0.948189926547744
fff,asmt_stdnt,dt,pca,fscore,0.005232862375719518
fff,asmt_stdnt,dt,pca,precision,0.06504065040650407
fff,asmt_stdnt,dt,pca,recall,0.1568627450980392
fff,asmt_abd,dt,pca,accuracy,0.9606505771248688
fff,asmt_abd,dt,pca,fscore,0.0041884816753926715
fff,asmt_abd,dt,pca,precision,0.07823960880195599
fff,asmt_abd,dt,pca,recall,0.12549019607843134
fff,asmt_abi,dt,pca,accuracy,0.9636017838405035
fff,asmt_abi,dt,pca,fscore,0.004710808688824915
fff,asmt_abi,dt,pca,precision,0.0967741935483871
fff,asmt_abi,dt,pca,recall,0.1411764705882353
fff,stdnt_abd,dt,pca,accuracy,0.9565844700944386
fff,stdnt_abd,dt,pca,fscore,0.0031430068098480877
fff,stdnt_abd,dt,pca,precision,0.05274725274725275
fff,stdnt_abd,dt,pca,recall,0.09411764705882353
fff,stdnt_abi,dt,pca,accuracy,0.9598635886673662
fff,stdnt_abi,dt,pca,fscore,0.003273751063969096
fff,stdnt_abi,dt,pca,precision,0.06142506142506143
fff,stdnt_abi,dt,pca,recall,0.09803921568627452
fff,asmt_stdnt_abd,dt,pca,accuracy,0.9611096537250788
fff,asmt_stdnt_abd,dt,pca,fscore,0.006145799280810722
fff,asmt_stdnt_abd,dt,pca,precision,0.1087962962962963
fff,asmt_stdnt_abd,dt,pca,recall,0.1843137254901961
fff,asmt_stdnt_abi,dt,pca,accuracy,0.9596668415529904
fff,asmt_stdnt_abi,dt,pca,fscore,0.004710808688824915
fff,asmt_stdnt_abi,dt,pca,precision,0.08333333333333333
fff,asmt_stdnt_abi,dt,pca,recall,0.1411764705882353
