module,attributes,classifier,technique,metric,score
ggg,asmt,dt,pca,accuracy,0.977762494268684
ggg,asmt,dt,pca,fscore,0.0
ggg,asmt,dt,pca,precision,0.0
ggg,asmt,dt,pca,recall,0.0
ggg,stdnt,dt,pca,accuracy,0.977762494268684
ggg,stdnt,dt,pca,fscore,0.0
ggg,stdnt,dt,pca,precision,0.0
ggg,stdnt,dt,pca,recall,0.0
ggg,abd,dt,pca,accuracy,0.9644658413571756
ggg,abd,dt,pca,fscore,0.0032043945983062485
ggg,abd,dt,pca,precision,0.09722222222222222
ggg,abd,dt,pca,recall,0.07216494845360824
ggg,abi,dt,pca,accuracy,0.9706556625401191
ggg,abi,dt,pca,fscore,0.0032043945983062485
ggg,abi,dt,pca,precision,0.15555555555555556
ggg,abi,dt,pca,recall,0.07216494845360824
ggg,asmt_stdnt,dt,pca,accuracy,0.9711141678129298
ggg,asmt_stdnt,dt,pca,fscore,0.002289901534234028
ggg,asmt_stdnt,dt,pca,precision,0.1282051282051282
ggg,asmt_stdnt,dt,pca,recall,0.05154639175257732
ggg,asmt_abd,dt,pca,accuracy,0.9614855570839064
ggg,asmt_abd,dt,pca,fscore,0.002289901534234028
ggg,asmt_abd,dt,pca,precision,0.061728395061728385
ggg,asmt_abd,dt,pca,recall,0.05154639175257732
ggg,asmt_abi,dt,pca,accuracy,0.9685923888124712
ggg,asmt_abi,dt,pca,fscore,0.004118050789293068
ggg,asmt_abi,dt,pca,precision,0.15517241379310345
ggg,asmt_abi,dt,pca,recall,0.09278350515463918
ggg,stdnt_abd,dt,pca,accuracy,0.9594222833562586
ggg,stdnt_abd,dt,pca,fscore,0.004574565416285453
ggg,stdnt_abd,dt,pca,precision,0.1
ggg,stdnt_abd,dt,pca,recall,0.10309278350515463
ggg,stdnt_abi,dt,pca,accuracy,0.958963778083448
ggg,stdnt_abi,dt,pca,fscore,0.0027472527472527475
ggg,stdnt_abi,dt,pca,precision,0.06382978723404255
ggg,stdnt_abi,dt,pca,recall,0.061855670103092786
ggg,asmt_stdnt_abd,dt,pca,accuracy,0.9594222833562586
ggg,asmt_stdnt_abd,dt,pca,fscore,0.0018323408153916628
ggg,asmt_stdnt_abd,dt,pca,precision,0.045454545454545456
ggg,asmt_stdnt_abd,dt,pca,recall,0.041237113402061855
ggg,asmt_stdnt_abi,dt,pca,accuracy,0.9550664832645576
ggg,asmt_stdnt_abi,dt,pca,fscore,0.0009165902841429881
ggg,asmt_stdnt_abi,dt,pca,precision,0.019417475728155338
ggg,asmt_stdnt_abi,dt,pca,recall,0.020618556701030927
