module,attributes,classifier,technique,metric,score
aaa,asmt,dt,smote+ae,accuracy,0.4379661016949152
aaa,asmt,dt,smote+ae,fscore,0.04765056254136334
aaa,asmt,dt,smote+ae,precision,0.04230317273795535
aaa,asmt,dt,smote+ae,recall,0.72
aaa,stdnt,dt,smote+ae,accuracy,0.6549152542372881
aaa,stdnt,dt,smote+ae,fscore,0.0424684804246848
aaa,stdnt,dt,smote+ae,precision,0.06118546845124283
aaa,stdnt,dt,smote+ae,recall,0.64
aaa,abd,dt,smote+ae,accuracy,0.6623728813559322
aaa,abd,dt,smote+ae,fscore,0.029392117568470277
aaa,abd,dt,smote+ae,precision,0.044715447154471545
aaa,abd,dt,smote+ae,recall,0.44
aaa,abi,dt,smote+ae,accuracy,0.5444067796610169
aaa,abi,dt,smote+ae,fscore,0.05408970976253298
aaa,abi,dt,smote+ae,precision,0.05823863636363636
aaa,abi,dt,smote+ae,recall,0.82
aaa,asmt_stdnt,dt,smote+ae,accuracy,0.7396610169491525
aaa,asmt_stdnt,dt,smote+ae,fscore,0.01747311827956989
aaa,asmt_stdnt,dt,smote+ae,precision,0.036111111111111115
aaa,asmt_stdnt,dt,smote+ae,recall,0.26
aaa,asmt_abd,dt,smote+ae,accuracy,0.7369491525423729
aaa,asmt_abd,dt,smote+ae,fscore,0.029392117568470277
aaa,asmt_abd,dt,smote+ae,precision,0.05759162303664921
aaa,asmt_abd,dt,smote+ae,recall,0.44
aaa,asmt_abi,dt,smote+ae,accuracy,0.6169491525423729
aaa,asmt_abi,dt,smote+ae,fscore,0.0424684804246848
aaa,asmt_abi,dt,smote+ae,precision,0.055267702936096716
aaa,asmt_abi,dt,smote+ae,recall,0.64
aaa,stdnt_abd,dt,smote+ae,accuracy,0.7742372881355932
aaa,stdnt_abd,dt,smote+ae,fscore,0.029392117568470277
aaa,stdnt_abd,dt,smote+ae,precision,0.0672782874617737
aaa,stdnt_abd,dt,smote+ae,recall,0.44
aaa,stdnt_abi,dt,smote+ae,accuracy,0.7762711864406779
aaa,stdnt_abi,dt,smote+ae,fscore,0.03333333333333333
aaa,stdnt_abi,dt,smote+ae,precision,0.07575757575757576
aaa,stdnt_abi,dt,smote+ae,recall,0.5
aaa,asmt_stdnt_abd,dt,smote+ae,accuracy,0.7423728813559322
aaa,asmt_stdnt_abd,dt,smote+ae,fscore,0.028074866310160432
aaa,asmt_stdnt_abd,dt,smote+ae,precision,0.05645161290322581
aaa,asmt_stdnt_abd,dt,smote+ae,recall,0.42
aaa,asmt_stdnt_abi,dt,smote+ae,accuracy,0.8033898305084746
aaa,asmt_stdnt_abi,dt,smote+ae,fscore,0.020134228187919462
aaa,asmt_stdnt_abi,dt,smote+ae,precision,0.05555555555555555
aaa,asmt_stdnt_abi,dt,smote+ae,recall,0.3
