module,attributes,classifier,technique,metric,score
ccc,asmt,dt,smote+ae,accuracy,0.7621313035204567
ccc,asmt,dt,smote+ae,fscore,0.03367633302151544
ccc,asmt,dt,smote+ae,precision,0.09060402684563758
ccc,asmt,dt,smote+ae,recall,0.20610687022900764
ccc,stdnt,dt,smote+ae,accuracy,0.5461465271170314
ccc,stdnt,dt,smote+ae,fscore,0.07997564193646606
ccc,stdnt,dt,smote+ae,precision,0.09173457508731082
ccc,stdnt,dt,smote+ae,recall,0.5012722646310432
ccc,abd,dt,smote+ae,accuracy,0.6327307326355851
ccc,abd,dt,smote+ae,fscore,0.06959183673469388
ccc,abd,dt,smote+ae,precision,0.10118694362017804
ccc,abd,dt,smote+ae,recall,0.43384223918575066
ccc,abi,dt,smote+ae,accuracy,0.5551326778729253
ccc,abi,dt,smote+ae,fscore,0.09582284851534978
ccc,abi,dt,smote+ae,precision,0.10882487425697304
ccc,abi,dt,smote+ae,recall,0.6055979643765903
ccc,asmt_stdnt,dt,smote+ae,accuracy,0.6584205518553758
ccc,asmt_stdnt,dt,smote+ae,fscore,0.049288513095483606
ccc,asmt_stdnt,dt,smote+ae,precision,0.08176530961341089
ccc,asmt_stdnt,dt,smote+ae,recall,0.30407124681933845
ccc,asmt_abd,dt,smote+ae,accuracy,0.6750185008986149
ccc,asmt_abd,dt,smote+ae,fscore,0.05969230769230769
ccc,asmt_abd,dt,smote+ae,precision,0.10139372822299653
ccc,asmt_abd,dt,smote+ae,recall,0.3702290076335878
ccc,asmt_abi,dt,smote+ae,accuracy,0.6665609472460091
ccc,asmt_abi,dt,smote+ae,fscore,0.06880359330338914
ccc,asmt_abi,dt,smote+ae,precision,0.11078238001314923
ccc,asmt_abi,dt,smote+ae,recall,0.4287531806615776
ccc,stdnt_abd,dt,smote+ae,accuracy,0.6236388624590338
ccc,stdnt_abd,dt,smote+ae,fscore,0.0656441717791411
ccc,stdnt_abd,dt,smote+ae,precision,0.0939695550351288
ccc,stdnt_abd,dt,smote+ae,recall,0.4083969465648855
ccc,stdnt_abi,dt,smote+ae,accuracy,0.5727878211227403
ccc,stdnt_abi,dt,smote+ae,fscore,0.07822023567655424
ccc,stdnt_abi,dt,smote+ae,precision,0.09565217391304348
ccc,stdnt_abi,dt,smote+ae,recall,0.489821882951654
ccc,asmt_stdnt_abd,dt,smote+ae,accuracy,0.6279733587059942
ccc,asmt_stdnt_abd,dt,smote+ae,fscore,0.059891293200697374
ccc,asmt_stdnt_abd,dt,smote+ae,precision,0.08803135363280072
ccc,asmt_stdnt_abd,dt,smote+ae,recall,0.37150127226463103
ccc,asmt_stdnt_abi,dt,smote+ae,accuracy,0.63251929379427
ccc,asmt_stdnt_abi,dt,smote+ae,fscore,0.0764616166751398
ccc,asmt_stdnt_abi,dt,smote+ae,precision,0.10923881464264963
ccc,asmt_stdnt_abi,dt,smote+ae,recall,0.4783715012722646
