module,attributes,classifier,technique,metric,score
ddd,asmt,dt,smote+ae,accuracy,0.5994583207944628
ddd,asmt,dt,smote+ae,fscore,0.09652012029213804
ddd,asmt,dt,smote+ae,precision,0.11608680675163625
ddd,asmt,dt,smote+ae,recall,0.7782909930715936
ddd,stdnt,dt,smote+ae,accuracy,0.5407764068612699
ddd,stdnt,dt,smote+ae,fscore,0.05700920917994445
ddd,stdnt,dt,smote+ae,precision,0.06480558325024925
ddd,stdnt,dt,smote+ae,recall,0.4503464203233256
ddd,abd,dt,smote+ae,accuracy,0.36412879927776093
ddd,abd,dt,smote+ae,fscore,0.10358111000142674
ddd,abd,dt,smote+ae,precision,0.08032750608541712
ddd,abd,dt,smote+ae,recall,0.8383371824480369
ddd,abi,dt,smote+ae,accuracy,0.5925368642792658
ddd,abi,dt,smote+ae,fscore,0.06323765117295642
ddd,abi,dt,smote+ae,precision,0.08010335917312661
ddd,abi,dt,smote+ae,recall,0.5011547344110855
ddd,asmt_stdnt,dt,smote+ae,accuracy,0.6707794161901895
ddd,asmt_stdnt,dt,smote+ae,fscore,0.056156770985668326
ddd,asmt_stdnt,dt,smote+ae,precision,0.08976157082748948
ddd,asmt_stdnt,dt,smote+ae,recall,0.44341801385681295
ddd,asmt_abd,dt,smote+ae,accuracy,0.6778513391513692
ddd,asmt_abd,dt,smote+ae,fscore,0.06154294881143357
ddd,asmt_abd,dt,smote+ae,precision,0.09906103286384976
ddd,asmt_abd,dt,smote+ae,recall,0.4872979214780601
ddd,asmt_abi,dt,smote+ae,accuracy,0.6248871501655131
ddd,asmt_abi,dt,smote+ae,fscore,0.06802325581395349
ddd,asmt_abi,dt,smote+ae,precision,0.0925632911392405
ddd,asmt_abi,dt,smote+ae,recall,0.5404157043879908
ddd,stdnt_abd,dt,smote+ae,accuracy,0.5504062594041529
ddd,stdnt_abd,dt,smote+ae,fscore,0.06718045659444526
ddd,stdnt_abd,dt,smote+ae,precision,0.0765661252900232
ddd,stdnt_abd,dt,smote+ae,recall,0.5334872979214781
ddd,stdnt_abi,dt,smote+ae,accuracy,0.6072825759855552
ddd,stdnt_abi,dt,smote+ae,fscore,0.05501902253438689
ddd,stdnt_abi,dt,smote+ae,precision,0.0736388562475519
ddd,stdnt_abi,dt,smote+ae,recall,0.4341801385681293
ddd,asmt_stdnt_abd,dt,smote+ae,accuracy,0.6513692446584411
ddd,asmt_stdnt_abd,dt,smote+ae,fscore,0.07194662024949232
ddd,asmt_stdnt_abd,dt,smote+ae,precision,0.10420168067226893
ddd,asmt_stdnt_abd,dt,smote+ae,recall,0.5727482678983834
ddd,asmt_stdnt_abi,dt,smote+ae,accuracy,0.6095395726752935
ddd,asmt_stdnt_abi,dt,smote+ae,fscore,0.06633692173407041
ddd,asmt_stdnt_abi,dt,smote+ae,precision,0.08708938120702826
ddd,asmt_stdnt_abi,dt,smote+ae,recall,0.5265588914549654
