module,attributes,classifier,technique,metric,score
fff,asmt,dt,smote+ae,accuracy,0.676088667366212
fff,asmt,dt,smote+ae,fscore,0.028700711053652232
fff,asmt,dt,smote+ae,precision,0.04329173166926677
fff,asmt,dt,smote+ae,recall,0.8705882352941177
fff,stdnt,dt,smote+ae,accuracy,0.6181794333683106
fff,stdnt,dt,smote+ae,fscore,0.013031013812874642
fff,stdnt,dt,smote+ae,precision,0.017340038148083926
fff,stdnt,dt,smote+ae,recall,0.392156862745098
fff,abd,dt,smote+ae,accuracy,0.4430745015739769
fff,abd,dt,smote+ae,fscore,0.025765520813102863
fff,abd,dt,smote+ae,precision,0.023045744064852342
fff,abd,dt,smote+ae,recall,0.7803921568627451
fff,abi,dt,smote+ae,accuracy,0.8018100734522561
fff,abi,dt,smote+ae,fscore,0.017809554761130972
fff,abi,dt,smote+ae,precision,0.045050970075633016
fff,abi,dt,smote+ae,recall,0.5372549019607843
fff,asmt_stdnt,dt,smote+ae,accuracy,0.6334601259181531
fff,asmt_stdnt,dt,smote+ae,fscore,0.019225772928033256
fff,asmt_stdnt,dt,smote+ae,precision,0.026287744227353464
fff,asmt_stdnt,dt,smote+ae,recall,0.5803921568627451
fff,asmt_abd,dt,smote+ae,accuracy,0.7982686253934942
fff,asmt_abd,dt,smote+ae,fscore,0.014841817471683375
fff,asmt_abd,dt,smote+ae,precision,0.037389307969826174
fff,asmt_abd,dt,smote+ae,recall,0.4470588235294118
fff,asmt_abi,dt,smote+ae,accuracy,0.8462749213011542
fff,asmt_abi,dt,smote+ae,fscore,0.018711018711018712
fff,asmt_abi,dt,smote+ae,precision,0.060580563735801424
fff,asmt_abi,dt,smote+ae,recall,0.5647058823529412
fff,stdnt_abd,dt,smote+ae,accuracy,0.7328830010493179
fff,stdnt_abd,dt,smote+ae,fscore,0.018453541260558804
fff,stdnt_abd,dt,smote+ae,precision,0.03461725987323257
fff,stdnt_abd,dt,smote+ae,recall,0.5568627450980392
fff,stdnt_abi,dt,smote+ae,accuracy,0.699501573976915
fff,stdnt_abi,dt,smote+ae,fscore,0.01935441969214782
fff,stdnt_abi,dt,smote+ae,precision,0.03221621621621622
fff,stdnt_abi,dt,smote+ae,recall,0.5843137254901961
fff,asmt_stdnt_abd,dt,smote+ae,accuracy,0.6713667366211962
fff,asmt_stdnt_abd,dt,smote+ae,fscore,0.026276616400232995
fff,asmt_stdnt_abd,dt,smote+ae,precision,0.03932584269662921
fff,asmt_stdnt_abd,dt,smote+ae,recall,0.7960784313725491
fff,asmt_stdnt_abi,dt,smote+ae,accuracy,0.7770855194123819
fff,asmt_stdnt_abi,dt,smote+ae,fscore,0.020639968845330044
fff,asmt_stdnt_abi,dt,smote+ae,precision,0.04592720970537262
fff,asmt_stdnt_abi,dt,smote+ae,recall,0.6235294117647059
