module,attributes,classifier,technique,metric,score
bbb,asmt,dt,smote+kmeans,accuracy,0.3661492374727669
bbb,asmt,dt,smote+kmeans,fscore,0.026602176541717048
bbb,asmt,dt,smote+kmeans,precision,0.02468212415856395
bbb,asmt,dt,smote+kmeans,recall,0.11757719714964372
bbb,stdnt,dt,smote+kmeans,accuracy,0.8372821350762527
bbb,stdnt,dt,smote+kmeans,fscore,0.0145985401459854
bbb,stdnt,dt,smote+kmeans,precision,0.11713665943600868
bbb,stdnt,dt,smote+kmeans,recall,0.06413301662707839
bbb,abd,dt,smote+kmeans,accuracy,0.8214869281045751
bbb,abd,dt,smote+kmeans,fscore,0.014866873901878632
bbb,abd,dt,smote+kmeans,precision,0.09499136442141624
bbb,abd,dt,smote+kmeans,recall,0.06532066508313539
bbb,abi,dt,smote+kmeans,accuracy,0.8176742919389978
bbb,abi,dt,smote+kmeans,fscore,0.011911207363291824
bbb,abi,dt,smote+kmeans,precision,0.07521367521367521
bbb,abi,dt,smote+kmeans,recall,0.05225653206650832
bbb,asmt_stdnt,dt,smote+kmeans,accuracy,0.8051470588235294
bbb,asmt_stdnt,dt,smote+kmeans,fscore,0.018615944961554026
bbb,asmt_stdnt,dt,smote+kmeans,precision,0.09491059147180192
bbb,asmt_stdnt,dt,smote+kmeans,recall,0.08194774346793349
bbb,asmt_abd,dt,smote+kmeans,accuracy,0.7893518518518519
bbb,asmt_abd,dt,smote+kmeans,fscore,0.011372867587327376
bbb,asmt_abd,dt,smote+kmeans,precision,0.053231939163498096
bbb,asmt_abd,dt,smote+kmeans,recall,0.0498812351543943
bbb,asmt_abi,dt,smote+kmeans,accuracy,0.7715141612200436
bbb,asmt_abi,dt,smote+kmeans,fscore,0.0078665400786654
bbb,asmt_abi,dt,smote+kmeans,precision,0.032438478747203583
bbb,asmt_abi,dt,smote+kmeans,recall,0.0344418052256532
bbb,stdnt_abd,dt,smote+kmeans,accuracy,0.8278867102396514
bbb,stdnt_abd,dt,smote+kmeans,fscore,0.011911207363291824
bbb,stdnt_abd,dt,smote+kmeans,precision,0.08627450980392158
bbb,stdnt_abd,dt,smote+kmeans,recall,0.05225653206650832
bbb,stdnt_abi,dt,smote+kmeans,accuracy,0.8454520697167756
bbb,stdnt_abi,dt,smote+kmeans,fscore,0.010834236186348862
bbb,stdnt_abi,dt,smote+kmeans,precision,0.10723860589812333
bbb,stdnt_abi,dt,smote+kmeans,recall,0.04750593824228029
bbb,asmt_stdnt_abd,dt,smote+kmeans,accuracy,0.8044662309368191
bbb,asmt_stdnt_abd,dt,smote+kmeans,fscore,0.007326007326007327
bbb,asmt_stdnt_abd,dt,smote+kmeans,precision,0.04166666666666666
bbb,asmt_stdnt_abd,dt,smote+kmeans,recall,0.032066508313539195
bbb,asmt_stdnt_abi,dt,smote+kmeans,accuracy,0.7591230936819172
bbb,asmt_stdnt_abi,dt,smote+kmeans,fscore,0.012987012987012988
bbb,asmt_stdnt_abi,dt,smote+kmeans,precision,0.0469208211143695
bbb,asmt_stdnt_abi,dt,smote+kmeans,recall,0.05700712589073635
