module,attributes,classifier,technique,metric,score
ccc,asmt,dt,smote+kmeans,accuracy,0.7621313035204567
ccc,asmt,dt,smote+kmeans,fscore,0.03367633302151544
ccc,asmt,dt,smote+kmeans,precision,0.09060402684563758
ccc,asmt,dt,smote+kmeans,recall,0.20610687022900764
ccc,stdnt,dt,smote+kmeans,accuracy,0.7380272756105296
ccc,stdnt,dt,smote+kmeans,fscore,0.04505528572904826
ccc,stdnt,dt,smote+kmeans,precision,0.1024436090225564
ccc,stdnt,dt,smote+kmeans,recall,0.27735368956743
ccc,abd,dt,smote+kmeans,accuracy,0.7806322021355323
ccc,abd,dt,smote+kmeans,fscore,0.03978862294062791
ccc,abd,dt,smote+kmeans,precision,0.11476389719067545
ccc,abd,dt,smote+kmeans,recall,0.2442748091603053
ccc,abi,dt,smote+kmeans,accuracy,0.761814145258484
ccc,abi,dt,smote+kmeans,fscore,0.04505528572904826
ccc,abi,dt,smote+kmeans,precision,0.11455596426694692
ccc,abi,dt,smote+kmeans,recall,0.27735368956743
ccc,asmt_stdnt,dt,smote+kmeans,accuracy,0.7258695422349085
ccc,asmt_stdnt,dt,smote+kmeans,fscore,0.04948963810702135
ccc,asmt_stdnt,dt,smote+kmeans,precision,0.104940970703979
ccc,asmt_stdnt,dt,smote+kmeans,recall,0.3053435114503817
ccc,asmt_abd,dt,smote+kmeans,accuracy,0.7454276350565598
ccc,asmt_abd,dt,smote+kmeans,fscore,0.0462666528968295
ccc,asmt_abd,dt,smote+kmeans,precision,0.10821256038647344
ccc,asmt_abd,dt,smote+kmeans,recall,0.2849872773536896
ccc,asmt_abi,dt,smote+kmeans,accuracy,0.7435246854847235
ccc,asmt_abi,dt,smote+kmeans,fscore,0.0474765197646816
ccc,asmt_abi,dt,smote+kmeans,precision,0.10952380952380952
ccc,asmt_abi,dt,smote+kmeans,recall,0.2926208651399491
ccc,stdnt_abd,dt,smote+kmeans,accuracy,0.7656200444021567
ccc,stdnt_abd,dt,smote+kmeans,fscore,0.041209360115966036
ccc,stdnt_abd,dt,smote+kmeans,precision,0.1088026243849098
ccc,stdnt_abd,dt,smote+kmeans,recall,0.25318066157760816
ccc,stdnt_abi,dt,smote+kmeans,accuracy,0.7567396130669204
ccc,stdnt_abi,dt,smote+kmeans,fscore,0.04888613861386139
ccc,stdnt_abi,dt,smote+kmeans,precision,0.1191553544494721
ccc,stdnt_abi,dt,smote+kmeans,recall,0.3015267175572519
ccc,asmt_stdnt_abd,dt,smote+kmeans,accuracy,0.7848609789618353
ccc,asmt_stdnt_abd,dt,smote+kmeans,fscore,0.03958549222797928
ccc,asmt_stdnt_abd,dt,smote+kmeans,precision,0.11710606989576948
ccc,asmt_stdnt_abd,dt,smote+kmeans,recall,0.2430025445292621
ccc,asmt_stdnt_abi,dt,smote+kmeans,accuracy,0.7552595411777143
ccc,asmt_stdnt_abi,dt,smote+kmeans,fscore,0.05049464138499588
ccc,asmt_stdnt_abi,dt,smote+kmeans,precision,0.12134720158494305
ccc,asmt_stdnt_abi,dt,smote+kmeans,recall,0.31170483460559795
