module,attributes,classifier,technique,metric,score
eee,asmt,dt,smote+kmeans,accuracy,0.5502920181700195
eee,asmt,dt,smote+kmeans,fscore,0.02118780096308186
eee,asmt,dt,smote+kmeans,precision,0.023454157782515996
eee,asmt,dt,smote+kmeans,recall,0.7333333333333333
eee,stdnt,dt,smote+kmeans,accuracy,0.9386761842959116
eee,stdnt,dt,smote+kmeans,fscore,0.0
eee,stdnt,dt,smote+kmeans,precision,0.0
eee,stdnt,dt,smote+kmeans,recall,0.0
eee,abd,dt,smote+kmeans,accuracy,0.9383517196625568
eee,abd,dt,smote+kmeans,fscore,0.005177993527508091
eee,abd,dt,smote+kmeans,precision,0.049689440993788817
eee,abd,dt,smote+kmeans,recall,0.17777777777777778
eee,abi,dt,smote+kmeans,accuracy,0.937378325762492
eee,abi,dt,smote+kmeans,fscore,0.003886010362694301
eee,abi,dt,smote+kmeans,precision,0.0375
eee,abi,dt,smote+kmeans,recall,0.13333333333333333
eee,asmt_stdnt,dt,smote+kmeans,accuracy,0.9049318624269954
eee,asmt_stdnt,dt,smote+kmeans,fscore,0.003239390994493035
eee,asmt_stdnt,dt,smote+kmeans,precision,0.01937984496124031
eee,asmt_stdnt,dt,smote+kmeans,recall,0.1111111111111111
eee,asmt_abd,dt,smote+kmeans,accuracy,0.9188838416612588
eee,asmt_abd,dt,smote+kmeans,fscore,0.00646830530401035
eee,asmt_abd,dt,smote+kmeans,precision,0.04444444444444445
eee,asmt_abd,dt,smote+kmeans,recall,0.2222222222222222
eee,asmt_abi,dt,smote+kmeans,accuracy,0.9107722258273848
eee,asmt_abi,dt,smote+kmeans,fscore,0.003886010362694301
eee,asmt_abi,dt,smote+kmeans,precision,0.02479338842975207
eee,asmt_abi,dt,smote+kmeans,recall,0.13333333333333333
eee,stdnt_abd,dt,smote+kmeans,accuracy,0.9357560025957172
eee,stdnt_abd,dt,smote+kmeans,fscore,0.002592352559948153
eee,stdnt_abd,dt,smote+kmeans,precision,0.024844720496894408
eee,stdnt_abd,dt,smote+kmeans,recall,0.08888888888888889
eee,stdnt_abi,dt,smote+kmeans,accuracy,0.936404931862427
eee,stdnt_abi,dt,smote+kmeans,fscore,0.003886010362694301
eee,stdnt_abi,dt,smote+kmeans,precision,0.03680981595092025
eee,stdnt_abi,dt,smote+kmeans,recall,0.13333333333333333
eee,asmt_stdnt_abd,dt,smote+kmeans,accuracy,0.9289422452952628
eee,asmt_stdnt_abd,dt,smote+kmeans,fscore,0.005823358136525397
eee,asmt_stdnt_abd,dt,smote+kmeans,precision,0.046875
eee,asmt_stdnt_abd,dt,smote+kmeans,recall,0.2
eee,asmt_stdnt_abi,dt,smote+kmeans,accuracy,0.9046073977936404
eee,asmt_stdnt_abi,dt,smote+kmeans,fscore,0.00646830530401035
eee,asmt_stdnt_abi,dt,smote+kmeans,precision,0.03717472118959108
eee,asmt_stdnt_abi,dt,smote+kmeans,recall,0.2222222222222222
