module,attributes,classifier,technique,metric,score
ggg,asmt,dt,smote+kmeans,accuracy,0.7581384685923888
ggg,asmt,dt,smote+kmeans,fscore,0.018173557473875508
ggg,asmt,dt,smote+kmeans,precision,0.03853564547206165
ggg,asmt,dt,smote+kmeans,recall,0.4123711340206185
ggg,stdnt,dt,smote+kmeans,accuracy,0.871160018340211
ggg,stdnt,dt,smote+kmeans,fscore,0.0013745704467353953
ggg,stdnt,dt,smote+kmeans,precision,0.006369426751592357
ggg,stdnt,dt,smote+kmeans,recall,0.030927835051546393
ggg,abd,dt,smote+kmeans,accuracy,0.9202200825309492
ggg,abd,dt,smote+kmeans,fscore,0.004574565416285453
ggg,abd,dt,smote+kmeans,precision,0.03690036900369004
ggg,abd,dt,smote+kmeans,recall,0.10309278350515463
ggg,abi,dt,smote+kmeans,accuracy,0.8477762494268684
ggg,abi,dt,smote+kmeans,fscore,0.01139731023478459
ggg,abi,dt,smote+kmeans,precision,0.040518638573743916
ggg,abi,dt,smote+kmeans,recall,0.25773195876288657
ggg,asmt_stdnt,dt,smote+kmeans,accuracy,0.9232003668042182
ggg,asmt_stdnt,dt,smote+kmeans,fscore,0.0018323408153916628
ggg,asmt_stdnt,dt,smote+kmeans,precision,0.016260162601626018
ggg,asmt_stdnt,dt,smote+kmeans,recall,0.041237113402061855
ggg,asmt_abd,dt,smote+kmeans,accuracy,0.9261806510774874
ggg,asmt_abd,dt,smote+kmeans,fscore,0.005942857142857143
ggg,asmt_abd,dt,smote+kmeans,precision,0.05179282868525897
ggg,asmt_abd,dt,smote+kmeans,recall,0.13402061855670105
ggg,asmt_abi,dt,smote+kmeans,accuracy,0.8927097661623109
ggg,asmt_abi,dt,smote+kmeans,fscore,0.0104903078677309
ggg,asmt_abi,dt,smote+kmeans,precision,0.05515587529976019
ggg,asmt_abi,dt,smote+kmeans,recall,0.2371134020618557
ggg,stdnt_abd,dt,smote+kmeans,accuracy,0.9206785878037598
ggg,stdnt_abd,dt,smote+kmeans,fscore,0.005486968449931413
ggg,stdnt_abd,dt,smote+kmeans,precision,0.04395604395604396
ggg,stdnt_abd,dt,smote+kmeans,recall,0.12371134020618554
ggg,stdnt_abi,dt,smote+kmeans,accuracy,0.9176983035304906
ggg,stdnt_abi,dt,smote+kmeans,fscore,0.005486968449931413
ggg,stdnt_abi,dt,smote+kmeans,precision,0.04195804195804196
ggg,stdnt_abi,dt,smote+kmeans,recall,0.12371134020618554
ggg,asmt_stdnt_abd,dt,smote+kmeans,accuracy,0.9211370930765704
ggg,asmt_stdnt_abd,dt,smote+kmeans,fscore,0.003661327231121281
ggg,asmt_stdnt_abd,dt,smote+kmeans,precision,0.030418250950570342
ggg,asmt_stdnt_abd,dt,smote+kmeans,recall,0.08247422680412371
ggg,asmt_stdnt_abi,dt,smote+kmeans,accuracy,0.9392480513525906
ggg,asmt_stdnt_abi,dt,smote+kmeans,fscore,0.004574565416285453
ggg,asmt_stdnt_abi,dt,smote+kmeans,precision,0.05319148936170213
ggg,asmt_stdnt_abi,dt,smote+kmeans,recall,0.10309278350515463
