module,attributes,classifier,technique,metric,score
bbb,asmt,dt,smote+pca,accuracy,0.4862472766884531
bbb,asmt,dt,smote+pca,fscore,0.01271817074820728
bbb,asmt,dt,smote+pca,precision,0.015537190082644628
bbb,asmt,dt,smote+pca,recall,0.05581947743467933
bbb,stdnt,dt,smote+pca,accuracy,0.7843137254901961
bbb,stdnt,dt,smote+pca,fscore,0.031099195710455763
bbb,stdnt,dt,smote+pca,precision,0.1190965092402464
bbb,stdnt,dt,smote+pca,recall,0.1377672209026128
bbb,abd,dt,smote+pca,accuracy,0.7784586056644879
bbb,abd,dt,smote+pca,fscore,0.015671440151310456
bbb,abd,dt,smote+pca,precision,0.06437291897891231
bbb,abd,dt,smote+pca,recall,0.0688836104513064
bbb,abi,dt,smote+pca,accuracy,0.778322440087146
bbb,abi,dt,smote+pca,fscore,0.01674318120442884
bbb,abi,dt,smote+pca,precision,0.06813186813186813
bbb,abi,dt,smote+pca,recall,0.07363420427553444
bbb,asmt_stdnt,dt,smote+pca,accuracy,0.7060185185185185
bbb,asmt_stdnt,dt,smote+pca,fscore,0.02128519466522969
bbb,asmt_stdnt,dt,smote+pca,precision,0.053559322033898314
bbb,asmt_stdnt,dt,smote+pca,recall,0.09382422802850356
bbb,asmt_abd,dt,smote+pca,accuracy,0.8075980392156863
bbb,asmt_abd,dt,smote+pca,fscore,0.01271817074820728
bbb,asmt_abd,dt,smote+pca,precision,0.07067669172932331
bbb,asmt_abd,dt,smote+pca,recall,0.05581947743467933
bbb,asmt_abi,dt,smote+pca,accuracy,0.8018790849673203
bbb,asmt_abi,dt,smote+pca,fscore,0.008946726311508744
bbb,asmt_abi,dt,smote+pca,precision,0.04860088365243005
bbb,asmt_abi,dt,smote+pca,recall,0.039192399049881234
bbb,stdnt_abd,dt,smote+pca,accuracy,0.8206699346405228
bbb,stdnt_abd,dt,smote+pca,fscore,0.018615944961554026
bbb,stdnt_abd,dt,smote+pca,precision,0.11256117455138663
bbb,stdnt_abd,dt,smote+pca,recall,0.08194774346793349
bbb,stdnt_abi,dt,smote+pca,accuracy,0.8020152505446623
bbb,stdnt_abi,dt,smote+pca,fscore,0.015403323875152006
bbb,stdnt_abi,dt,smote+pca,precision,0.07851239669421488
bbb,stdnt_abi,dt,smote+pca,recall,0.06769596199524941
bbb,asmt_stdnt_abd,dt,smote+pca,accuracy,0.7760076252723311
bbb,asmt_stdnt_abd,dt,smote+pca,fscore,0.011103588354773191
bbb,asmt_stdnt_abd,dt,smote+pca,precision,0.04632768361581921
bbb,asmt_stdnt_abd,dt,smote+pca,recall,0.048693586698337295
bbb,asmt_stdnt_abi,dt,smote+pca,accuracy,0.8003812636165577
bbb,asmt_stdnt_abi,dt,smote+pca,fscore,0.011911207363291824
bbb,asmt_stdnt_abi,dt,smote+pca,precision,0.06179775280898876
bbb,asmt_stdnt_abi,dt,smote+pca,recall,0.05225653206650832
