module,attributes,classifier,technique,metric,score
ccc,asmt,dt,smote+pca,accuracy,0.7621313035204567
ccc,asmt,dt,smote+pca,fscore,0.03367633302151544
ccc,asmt,dt,smote+pca,precision,0.09060402684563758
ccc,asmt,dt,smote+pca,recall,0.20610687022900764
ccc,stdnt,dt,smote+pca,accuracy,0.6478486097896183
ccc,stdnt,dt,smote+pca,fscore,0.06168032786885246
ccc,stdnt,dt,smote+pca,precision,0.09564664760088974
ccc,stdnt,dt,smote+pca,recall,0.3829516539440204
ccc,abd,dt,smote+pca,accuracy,0.7259752616555661
ccc,abd,dt,smote+pca,fscore,0.0543042270904042
ccc,abd,dt,smote+pca,precision,0.11311053984575835
ccc,abd,dt,smote+pca,recall,0.33587786259541985
ccc,abi,dt,smote+pca,accuracy,0.720054974098742
ccc,abi,dt,smote+pca,fscore,0.05949328136219099
ccc,abi,dt,smote+pca,precision,0.11875511875511875
ccc,abi,dt,smote+pca,recall,0.36895674300254455
ccc,asmt_stdnt,dt,smote+pca,accuracy,0.7586425626387567
ccc,asmt_stdnt,dt,smote+pca,fscore,0.040397762585456805
ccc,asmt_stdnt,dt,smote+pca,precision,0.10333863275039744
ccc,asmt_stdnt,dt,smote+pca,recall,0.2480916030534351
ccc,asmt_abd,dt,smote+pca,accuracy,0.7197378158367692
ccc,asmt_abd,dt,smote+pca,fscore,0.054904380012338064
ccc,asmt_abd,dt,smote+pca,precision,0.11129637348895373
ccc,asmt_abd,dt,smote+pca,recall,0.33969465648854963
ccc,asmt_abi,dt,smote+pca,accuracy,0.7261867004968813
ccc,asmt_abi,dt,smote+pca,fscore,0.05310280950910775
ccc,asmt_abi,dt,smote+pca,precision,0.11120689655172414
ccc,asmt_abi,dt,smote+pca,recall,0.3282442748091603
ccc,stdnt_abd,dt,smote+pca,accuracy,0.7174119885823026
ccc,stdnt_abd,dt,smote+pca,fscore,0.05949328136219099
ccc,stdnt_abd,dt,smote+pca,precision,0.11755168220510742
ccc,stdnt_abd,dt,smote+pca,recall,0.36895674300254455
ccc,stdnt_abi,dt,smote+pca,accuracy,0.7382387144518449
ccc,stdnt_abi,dt,smote+pca,fscore,0.05189990732159407
ccc,stdnt_abi,dt,smote+pca,precision,0.11485870556061988
ccc,stdnt_abi,dt,smote+pca,recall,0.32061068702290074
ccc,asmt_stdnt_abd,dt,smote+pca,accuracy,0.7484934982556296
ccc,asmt_stdnt_abd,dt,smote+pca,fscore,0.05069551777434312
ccc,asmt_stdnt_abd,dt,smote+pca,precision,0.11798561151079134
ccc,asmt_stdnt_abd,dt,smote+pca,recall,0.31297709923664124
ccc,asmt_stdnt_abi,dt,smote+pca,accuracy,0.7461676710011629
ccc,asmt_stdnt_abi,dt,smote+pca,fscore,0.04707339733663673
ccc,asmt_stdnt_abi,dt,smote+pca,precision,0.11009174311926606
ccc,asmt_stdnt_abi,dt,smote+pca,recall,0.2900763358778626
