module,attributes,classifier,technique,metric,score
ddd,asmt,dt,smote+pca,accuracy,0.40941919951850736
ddd,asmt,dt,smote+pca,fscore,0.10682238997293833
ddd,asmt,dt,smote+pca,precision,0.0884016973125884
ddd,asmt,dt,smote+pca,recall,0.8660508083140878
ddd,stdnt,dt,smote+pca,accuracy,0.6688233523924165
ddd,stdnt,dt,smote+pca,fscore,0.04097273397199705
ddd,stdnt,dt,smote+pca,precision,0.06793743890518084
ddd,stdnt,dt,smote+pca,recall,0.3210161662817552
ddd,abd,dt,smote+pca,accuracy,0.7109539572675293
ddd,abd,dt,smote+pca,fscore,0.050454678791434435
ddd,abd,dt,smote+pca,precision,0.09388646288209608
ddd,abd,dt,smote+pca,recall,0.3972286374133949
ddd,abi,dt,smote+pca,accuracy,0.7108034908215468
ddd,abi,dt,smote+pca,fscore,0.05188333577605159
ddd,abi,dt,smote+pca,precision,0.09603906673901247
ddd,abi,dt,smote+pca,recall,0.40877598152424943
ddd,asmt_stdnt,dt,smote+pca,accuracy,0.7016250376166115
ddd,asmt_stdnt,dt,smote+pca,fscore,0.05786090005844535
ddd,asmt_stdnt,dt,smote+pca,precision,0.10174717368961972
ddd,asmt_stdnt,dt,smote+pca,recall,0.4572748267898383
ddd,asmt_abd,dt,smote+pca,accuracy,0.7144146855251279
ddd,asmt_abd,dt,smote+pca,fscore,0.054164836773532433
ddd,asmt_abd,dt,smote+pca,precision,0.1008174386920981
ddd,asmt_abd,dt,smote+pca,recall,0.4272517321016167
ddd,asmt_abi,dt,smote+pca,accuracy,0.7011736382786639
ddd,asmt_abi,dt,smote+pca,fscore,0.059278726821433786
ddd,asmt_abi,dt,smote+pca,precision,0.10362429811128128
ddd,asmt_abi,dt,smote+pca,recall,0.4688221709006928
ddd,stdnt_abd,dt,smote+pca,accuracy,0.7284080650015047
ddd,stdnt_abd,dt,smote+pca,fscore,0.04414361389052384
ddd,stdnt_abd,dt,smote+pca,precision,0.08971291866028708
ddd,stdnt_abd,dt,smote+pca,recall,0.3464203233256351
ddd,stdnt_abi,dt,smote+pca,accuracy,0.6984652422509781
ddd,stdnt_abi,dt,smote+pca,fscore,0.04701733764325595
ddd,stdnt_abi,dt,smote+pca,precision,0.08461131676361712
ddd,stdnt_abi,dt,smote+pca,recall,0.3695150115473441
ddd,asmt_stdnt_abd,dt,smote+pca,accuracy,0.7258501354198014
ddd,asmt_stdnt_abd,dt,smote+pca,fscore,0.05558806319485079
ddd,asmt_stdnt_abd,dt,smote+pca,precision,0.10740531373657433
ddd,asmt_stdnt_abd,dt,smote+pca,recall,0.4387990762124711
ddd,asmt_stdnt_abi,dt,smote+pca,accuracy,0.7187782124586217
ddd,asmt_stdnt_abi,dt,smote+pca,fscore,0.06041149861374581
ddd,asmt_stdnt_abi,dt,smote+pca,precision,0.11189189189189187
ddd,asmt_stdnt_abi,dt,smote+pca,recall,0.4780600461893764
