module,attributes,classifier,technique,metric,score
ggg,asmt,dt,smote+pca,accuracy,0.7581384685923888
ggg,asmt,dt,smote+pca,fscore,0.018173557473875508
ggg,asmt,dt,smote+pca,precision,0.03853564547206165
ggg,asmt,dt,smote+pca,recall,0.4123711340206185
ggg,stdnt,dt,smote+pca,accuracy,0.8766620816139385
ggg,stdnt,dt,smote+pca,fscore,0.005486968449931413
ggg,stdnt,dt,smote+pca,precision,0.025806451612903226
ggg,stdnt,dt,smote+pca,recall,0.12371134020618554
ggg,abd,dt,smote+pca,accuracy,0.8766620816139385
ggg,abd,dt,smote+pca,fscore,0.005030871255431054
ggg,abd,dt,smote+pca,precision,0.02375809935205184
ggg,abd,dt,smote+pca,recall,0.1134020618556701
ggg,abi,dt,smote+pca,accuracy,0.8372306281522237
ggg,abi,dt,smote+pca,fscore,0.014565316340464268
ggg,abi,dt,smote+pca,precision,0.047267355982274745
ggg,abi,dt,smote+pca,recall,0.32989690721649484
ggg,asmt_stdnt,dt,smote+pca,accuracy,0.8940852819807428
ggg,asmt_stdnt,dt,smote+pca,fscore,0.003661327231121281
ggg,asmt_stdnt,dt,smote+pca,precision,0.02099737532808399
ggg,asmt_stdnt,dt,smote+pca,recall,0.08247422680412371
ggg,asmt_abd,dt,smote+pca,accuracy,0.8723062815222375
ggg,asmt_abd,dt,smote+pca,fscore,0.008673818762839534
ggg,asmt_abd,dt,smote+pca,precision,0.03815261044176707
ggg,asmt_abd,dt,smote+pca,recall,0.1958762886597938
ggg,asmt_abi,dt,smote+pca,accuracy,0.8509857863365429
ggg,asmt_abi,dt,smote+pca,fscore,0.01275626423690205
ggg,asmt_abi,dt,smote+pca,precision,0.045977011494252866
ggg,asmt_abi,dt,smote+pca,recall,0.28865979381443296
ggg,stdnt_abd,dt,smote+pca,accuracy,0.8963778083447959
ggg,stdnt_abd,dt,smote+pca,fscore,0.008673818762839534
ggg,stdnt_abd,dt,smote+pca,precision,0.04834605597964377
ggg,stdnt_abd,dt,smote+pca,recall,0.1958762886597938
ggg,stdnt_abi,dt,smote+pca,accuracy,0.8984410820724439
ggg,stdnt_abi,dt,smote+pca,fscore,0.0073092736409319315
ggg,stdnt_abi,dt,smote+pca,precision,0.042328042328042326
ggg,stdnt_abi,dt,smote+pca,recall,0.16494845360824742
ggg,asmt_stdnt_abd,dt,smote+pca,accuracy,0.8812471343420449
ggg,asmt_stdnt_abd,dt,smote+pca,fscore,0.010036496350364963
ggg,asmt_stdnt_abd,dt,smote+pca,precision,0.04731182795698925
ggg,asmt_stdnt_abd,dt,smote+pca,recall,0.2268041237113402
ggg,asmt_stdnt_abi,dt,smote+pca,accuracy,0.9110499770747365
ggg,asmt_stdnt_abi,dt,smote+pca,fscore,0.00821917808219178
ggg,asmt_stdnt_abi,dt,smote+pca,precision,0.05504587155963303
ggg,asmt_stdnt_abi,dt,smote+pca,recall,0.1855670103092784
