module,attributes,classifier,technique,metric,score
bbb,asmt,dt,smote,accuracy,0.3661492374727669
bbb,asmt,dt,smote,fscore,0.026602176541717048
bbb,asmt,dt,smote,precision,0.02468212415856395
bbb,asmt,dt,smote,recall,0.11757719714964372
bbb,stdnt,dt,smote,accuracy,0.8419117647058824
bbb,stdnt,dt,smote,fscore,0.013524479307546659
bbb,stdnt,dt,smote,precision,0.11933174224343675
bbb,stdnt,dt,smote,recall,0.05938242280285035
bbb,abd,dt,smote,accuracy,0.815359477124183
bbb,abd,dt,smote,fscore,0.011911207363291824
bbb,abd,dt,smote,precision,0.07308970099667775
bbb,abd,dt,smote,recall,0.05225653206650832
bbb,abi,dt,smote,accuracy,0.7988834422657952
bbb,abi,dt,smote,fscore,0.011103588354773191
bbb,abi,dt,smote,precision,0.057182705718270575
bbb,abi,dt,smote,recall,0.048693586698337295
bbb,asmt_stdnt,dt,smote,accuracy,0.6395697167755992
bbb,asmt_stdnt,dt,smote,fscore,0.010025741769407941
bbb,asmt_stdnt,dt,smote,precision,0.019691325172964343
bbb,asmt_stdnt,dt,smote,recall,0.043942992874109264
bbb,asmt_abd,dt,smote,accuracy,0.715822440087146
bbb,asmt_abd,dt,smote,fscore,0.011372867587327376
bbb,asmt_abd,dt,smote,precision,0.03160270880361174
bbb,asmt_abd,dt,smote,recall,0.0498812351543943
bbb,asmt_abi,dt,smote,accuracy,0.7732843137254902
bbb,asmt_abi,dt,smote,fscore,0.010834236186348862
bbb,asmt_abi,dt,smote,precision,0.044296788482835
bbb,asmt_abi,dt,smote,recall,0.04750593824228029
bbb,stdnt_abd,dt,smote,accuracy,0.8306100217864923
bbb,stdnt_abd,dt,smote,fscore,0.010025741769407941
bbb,stdnt_abd,dt,smote,precision,0.07773109243697479
bbb,stdnt_abd,dt,smote,recall,0.043942992874109264
bbb,stdnt_abi,dt,smote,accuracy,0.8404139433551199
bbb,stdnt_abi,dt,smote,fscore,0.010025741769407941
bbb,stdnt_abi,dt,smote,precision,0.09158415841584157
bbb,stdnt_abi,dt,smote,recall,0.043942992874109264
bbb,asmt_stdnt_abd,dt,smote,accuracy,0.6956699346405228
bbb,asmt_stdnt_abd,dt,smote,fscore,0.008946726311508744
bbb,asmt_stdnt_abd,dt,smote,precision,0.022618231665524333
bbb,asmt_stdnt_abd,dt,smote,recall,0.039192399049881234
bbb,asmt_stdnt_abi,dt,smote,accuracy,0.7090141612200436
bbb,asmt_stdnt_abi,dt,smote,fscore,0.009216589861751152
bbb,asmt_stdnt_abi,dt,smote,precision,0.02494497432134996
bbb,asmt_stdnt_abi,dt,smote,recall,0.04038004750593825
