module,attributes,classifier,technique,metric,score
eee,asmt,dt,smote,accuracy,0.5502920181700195
eee,asmt,dt,smote,fscore,0.02118780096308186
eee,asmt,dt,smote,precision,0.023454157782515996
eee,asmt,dt,smote,recall,0.7333333333333333
eee,stdnt,dt,smote,accuracy,0.9568462037637896
eee,stdnt,dt,smote,fscore,0.002592352559948153
eee,stdnt,dt,smote,precision,0.04166666666666666
eee,stdnt,dt,smote,recall,0.08888888888888889
eee,abd,dt,smote,accuracy,0.9438676184295912
eee,abd,dt,smote,fscore,0.0019448946515397078
eee,abd,dt,smote,precision,0.022388059701492536
eee,abd,dt,smote,recall,0.06666666666666668
eee,abi,dt,smote,accuracy,0.9467878001297858
eee,abi,dt,smote,fscore,0.003886010362694301
eee,abi,dt,smote,precision,0.04580152671755725
eee,abi,dt,smote,recall,0.13333333333333333
eee,asmt_stdnt,dt,smote,accuracy,0.7469175859831279
eee,asmt_stdnt,dt,smote,fscore,0.01353528843055108
eee,asmt_stdnt,dt,smote,precision,0.027027027027027032
eee,asmt_stdnt,dt,smote,recall,0.4666666666666667
eee,asmt_abd,dt,smote,accuracy,0.9218040233614536
eee,asmt_abd,dt,smote,fscore,0.005177993527508091
eee,asmt_abd,dt,smote,precision,0.03773584905660377
eee,asmt_abd,dt,smote,recall,0.17777777777777778
eee,asmt_abi,dt,smote,accuracy,0.9351070733290072
eee,asmt_abi,dt,smote,fscore,0.003886010362694301
eee,asmt_abi,dt,smote,precision,0.03592814371257485
eee,asmt_abi,dt,smote,recall,0.13333333333333333
eee,stdnt_abd,dt,smote,accuracy,0.9519792342634652
eee,stdnt_abd,dt,smote,fscore,0.00646830530401035
eee,stdnt_abd,dt,smote,precision,0.08130081300813008
eee,stdnt_abd,dt,smote,recall,0.2222222222222222
eee,stdnt_abi,dt,smote,accuracy,0.9523036988968202
eee,stdnt_abi,dt,smote,fscore,0.004532211071544189
eee,stdnt_abi,dt,smote,precision,0.0603448275862069
eee,stdnt_abi,dt,smote,recall,0.15555555555555556
eee,asmt_stdnt_abd,dt,smote,accuracy,0.8877352368591823
eee,asmt_stdnt_abd,dt,smote,fscore,0.008400646203554121
eee,asmt_stdnt_abd,dt,smote,precision,0.03975535168195719
eee,asmt_stdnt_abd,dt,smote,recall,0.2888888888888889
eee,asmt_stdnt_abi,dt,smote,accuracy,0.8831927319922128
eee,asmt_stdnt_abi,dt,smote,fscore,0.007112835434852894
eee,asmt_stdnt_abi,dt,smote,precision,0.032640949554896145
eee,asmt_stdnt_abi,dt,smote,recall,0.24444444444444444
