module,attributes,classifier,technique,metric,score
fff,asmt,dt,smote,accuracy,0.676088667366212
fff,asmt,dt,smote,fscore,0.028700711053652232
fff,asmt,dt,smote,precision,0.04329173166926677
fff,asmt,dt,smote,recall,0.8705882352941177
fff,stdnt,dt,smote,accuracy,0.9066762854144806
fff,stdnt,dt,smote,fscore,0.0035351882160392797
fff,stdnt,dt,smote,precision,0.0220949263502455
fff,stdnt,dt,smote,recall,0.10588235294117647
fff,abd,dt,smote,accuracy,0.9428121720881428
fff,abd,dt,smote,fscore,0.007318348144276007
fff,abd,dt,smote,precision,0.07681755829903979
fff,abd,dt,smote,recall,0.2196078431372549
fff,abi,dt,smote,accuracy,0.9400577124868836
fff,abi,dt,smote,fscore,0.00822937757168049
fff,abi,dt,smote,precision,0.08025477707006369
fff,abi,dt,smote,recall,0.24705882352941175
fff,asmt_stdnt,dt,smote,accuracy,0.8665398740818469
fff,asmt_stdnt,dt,smote,fscore,0.010308605728453057
fff,asmt_stdnt,dt,smote,precision,0.04076367389060888
fff,asmt_stdnt,dt,smote,recall,0.30980392156862746
fff,asmt_abd,dt,smote,accuracy,0.9361227701993704
fff,asmt_abd,dt,smote,fscore,0.009399477806788513
fff,asmt_abd,dt,smote,precision,0.08342989571263036
fff,asmt_abd,dt,smote,recall,0.2823529411764706
fff,asmt_abi,dt,smote,accuracy,0.8925104931794333
fff,asmt_abi,dt,smote,fscore,0.008749591903362716
fff,asmt_abi,dt,smote,precision,0.04413702239789196
fff,asmt_abi,dt,smote,recall,0.2627450980392157
fff,stdnt_abd,dt,smote,accuracy,0.949632738719832
fff,stdnt_abd,dt,smote,fscore,0.0043190890648517775
fff,stdnt_abd,dt,smote,precision,0.056994818652849735
fff,stdnt_abd,dt,smote,recall,0.12941176470588234
fff,stdnt_abi,dt,smote,accuracy,0.9490424973767052
fff,stdnt_abi,dt,smote,fscore,0.007188133045808011
fff,stdnt_abi,dt,smote,precision,0.08702531645569621
fff,stdnt_abi,dt,smote,recall,0.21568627450980396
fff,asmt_stdnt_abd,dt,smote,accuracy,0.921825813221406
fff,asmt_stdnt_abd,dt,smote,fscore,0.007188133045808011
fff,asmt_stdnt_abd,dt,smote,precision,0.05253104106972302
fff,asmt_stdnt_abd,dt,smote,recall,0.21568627450980396
fff,asmt_stdnt_abi,dt,smote,accuracy,0.9514690451206717
fff,asmt_stdnt_abi,dt,smote,fscore,0.0067973856209150325
fff,asmt_stdnt_abi,dt,smote,precision,0.08828522920203735
fff,asmt_stdnt_abi,dt,smote,recall,0.20392156862745095
