module,attributes,classifier,technique,metric,score
aaa,asmt,ff,base,accuracy,0.9661016949152542
aaa,asmt,ff,base,fscore,0.0
aaa,asmt,ff,base,precision,0.0
aaa,asmt,ff,base,recall,0.0
aaa,stdnt,ff,base,accuracy,0.9661016949152542
aaa,stdnt,ff,base,fscore,0.0
aaa,stdnt,ff,base,precision,0.0
aaa,stdnt,ff,base,recall,0.0
aaa,abd,ff,base,accuracy,0.9661016949152542
aaa,abd,ff,base,fscore,0.0
aaa,abd,ff,base,precision,0.0
aaa,abd,ff,base,recall,0.0
aaa,abi,ff,base,accuracy,0.9661016949152542
aaa,abi,ff,base,fscore,0.0
aaa,abi,ff,base,precision,0.0
aaa,abi,ff,base,recall,0.0
aaa,asmt_stdnt,ff,base,accuracy,0.9661016949152542
aaa,asmt_stdnt,ff,base,fscore,0.0
aaa,asmt_stdnt,ff,base,precision,0.0
aaa,asmt_stdnt,ff,base,recall,0.0
aaa,asmt_abd,ff,base,accuracy,0.9661016949152542
aaa,asmt_abd,ff,base,fscore,0.0
aaa,asmt_abd,ff,base,precision,0.0
aaa,asmt_abd,ff,base,recall,0.0
aaa,asmt_abi,ff,base,accuracy,0.96
aaa,asmt_abi,ff,base,fscore,0.0013550135501355014
aaa,asmt_abi,ff,base,precision,0.09090909090909091
aaa,asmt_abi,ff,base,recall,0.02
aaa,stdnt_abd,ff,base,accuracy,0.9647457627118644
aaa,stdnt_abd,ff,base,fscore,0.0013550135501355014
aaa,stdnt_abd,ff,base,precision,0.25
aaa,stdnt_abd,ff,base,recall,0.02
aaa,stdnt_abi,ff,base,accuracy,0.9640677966101695
aaa,stdnt_abi,ff,base,fscore,0.0013550135501355014
aaa,stdnt_abi,ff,base,precision,0.2
aaa,stdnt_abi,ff,base,recall,0.02
aaa,asmt_stdnt_abd,ff,base,accuracy,0.9593220338983051
aaa,asmt_stdnt_abd,ff,base,fscore,0.006756756756756757
aaa,asmt_stdnt_abd,ff,base,precision,0.25
aaa,asmt_stdnt_abd,ff,base,recall,0.1
aaa,asmt_stdnt_abi,ff,base,accuracy,0.9647457627118644
aaa,asmt_stdnt_abi,ff,base,fscore,0.005409060175794456
aaa,asmt_stdnt_abi,ff,base,precision,0.4
aaa,asmt_stdnt_abi,ff,base,recall,0.08
