module,attributes,classifier,technique,metric,score
ggg,asmt,ff,base,accuracy,0.9777624942686841
ggg,asmt,ff,base,fscore,0.0
ggg,asmt,ff,base,precision,0.0
ggg,asmt,ff,base,recall,0.0
ggg,stdnt,ff,base,accuracy,0.9777624942686841
ggg,stdnt,ff,base,fscore,0.0
ggg,stdnt,ff,base,precision,0.0
ggg,stdnt,ff,base,recall,0.0
ggg,abd,ff,base,accuracy,0.9777624942686841
ggg,abd,ff,base,fscore,0.0
ggg,abd,ff,base,precision,0.0
ggg,abd,ff,base,recall,0.0
ggg,abi,ff,base,accuracy,0.9777624942686841
ggg,abi,ff,base,fscore,0.0
ggg,abi,ff,base,precision,0.0
ggg,abi,ff,base,recall,0.0
ggg,asmt_stdnt,ff,base,accuracy,0.9777624942686841
ggg,asmt_stdnt,ff,base,fscore,0.0
ggg,asmt_stdnt,ff,base,precision,0.0
ggg,asmt_stdnt,ff,base,recall,0.0
ggg,asmt_abd,ff,base,accuracy,0.9777624942686841
ggg,asmt_abd,ff,base,fscore,0.0
ggg,asmt_abd,ff,base,precision,0.0
ggg,asmt_abd,ff,base,recall,0.0
ggg,asmt_abi,ff,base,accuracy,0.9777624942686841
ggg,asmt_abi,ff,base,fscore,0.0
ggg,asmt_abi,ff,base,precision,0.0
ggg,asmt_abi,ff,base,recall,0.0
ggg,stdnt_abd,ff,base,accuracy,0.9777624942686841
ggg,stdnt_abd,ff,base,fscore,0.0
ggg,stdnt_abd,ff,base,precision,0.0
ggg,stdnt_abd,ff,base,recall,0.0
ggg,stdnt_abi,ff,base,accuracy,0.9770747363594682
ggg,stdnt_abi,ff,base,fscore,0.00045840018336007336
ggg,stdnt_abi,ff,base,precision,0.2
ggg,stdnt_abi,ff,base,recall,0.010309278350515464
ggg,asmt_stdnt_abd,ff,base,accuracy,0.9777624942686841
ggg,asmt_stdnt_abd,ff,base,fscore,0.0
ggg,asmt_stdnt_abd,ff,base,precision,0.0
ggg,asmt_stdnt_abd,ff,base,recall,0.0
ggg,asmt_stdnt_abi,ff,base,accuracy,0.9773039889958735
ggg,asmt_stdnt_abi,ff,base,fscore,0.0
ggg,asmt_stdnt_abi,ff,base,precision,0.0
ggg,asmt_stdnt_abi,ff,base,recall,0.0
