module,attributes,classifier,technique,metric,score
ccc,asmt,ff,ae,accuracy,0.9169045353631462
ccc,asmt,ff,ae,fscore,0.0
ccc,asmt,ff,ae,precision,0.0
ccc,asmt,ff,ae,recall,0.0
ccc,stdnt,ff,ae,accuracy,0.9169045353631462
ccc,stdnt,ff,ae,fscore,0.0
ccc,stdnt,ff,ae,precision,0.0
ccc,stdnt,ff,ae,recall,0.0
ccc,abd,ff,ae,accuracy,0.9169045353631462
ccc,abd,ff,ae,fscore,0.0
ccc,abd,ff,ae,precision,0.0
ccc,abd,ff,ae,recall,0.0
ccc,abi,ff,ae,accuracy,0.9169045353631462
ccc,abi,ff,ae,fscore,0.0
ccc,abi,ff,ae,precision,0.0
ccc,abi,ff,ae,recall,0.0
ccc,asmt_stdnt,ff,ae,accuracy,0.9169045353631462
ccc,asmt_stdnt,ff,ae,fscore,0.0
ccc,asmt_stdnt,ff,ae,precision,0.0
ccc,asmt_stdnt,ff,ae,recall,0.0
ccc,asmt_abd,ff,ae,accuracy,0.9169045353631462
ccc,asmt_abd,ff,ae,fscore,0.0
ccc,asmt_abd,ff,ae,precision,0.0
ccc,asmt_abd,ff,ae,recall,0.0
ccc,asmt_abi,ff,ae,accuracy,0.9169045353631462
ccc,asmt_abi,ff,ae,fscore,0.0
ccc,asmt_abi,ff,ae,precision,0.0
ccc,asmt_abi,ff,ae,recall,0.0
ccc,stdnt_abd,ff,ae,accuracy,0.9169045353631462
ccc,stdnt_abd,ff,ae,fscore,0.0
ccc,stdnt_abd,ff,ae,precision,0.0
ccc,stdnt_abd,ff,ae,recall,0.0
ccc,stdnt_abi,ff,ae,accuracy,0.9169045353631462
ccc,stdnt_abi,ff,ae,fscore,0.0
ccc,stdnt_abi,ff,ae,precision,0.0
ccc,stdnt_abi,ff,ae,recall,0.0
ccc,asmt_stdnt_abd,ff,ae,accuracy,0.9169045353631462
ccc,asmt_stdnt_abd,ff,ae,fscore,0.0
ccc,asmt_stdnt_abd,ff,ae,precision,0.0
ccc,asmt_stdnt_abd,ff,ae,recall,0.0
ccc,asmt_stdnt_abi,ff,ae,accuracy,0.9169045353631462
ccc,asmt_stdnt_abi,ff,ae,fscore,0.0
ccc,asmt_stdnt_abi,ff,ae,precision,0.0
ccc,asmt_stdnt_abi,ff,ae,recall,0.0
