module,attributes,classifier,technique,metric,score
ddd,asmt,ff,ae,accuracy,0.9348480288895576
ddd,asmt,ff,ae,fscore,0.0
ddd,asmt,ff,ae,precision,0.0
ddd,asmt,ff,ae,recall,0.0
ddd,stdnt,ff,ae,accuracy,0.9348480288895576
ddd,stdnt,ff,ae,fscore,0.0
ddd,stdnt,ff,ae,precision,0.0
ddd,stdnt,ff,ae,recall,0.0
ddd,abd,ff,ae,accuracy,0.9348480288895576
ddd,abd,ff,ae,fscore,0.0
ddd,abd,ff,ae,precision,0.0
ddd,abd,ff,ae,recall,0.0
ddd,abi,ff,ae,accuracy,0.9348480288895576
ddd,abi,ff,ae,fscore,0.0
ddd,abi,ff,ae,precision,0.0
ddd,abi,ff,ae,recall,0.0
ddd,asmt_stdnt,ff,ae,accuracy,0.9348480288895576
ddd,asmt_stdnt,ff,ae,fscore,0.0
ddd,asmt_stdnt,ff,ae,precision,0.0
ddd,asmt_stdnt,ff,ae,recall,0.0
ddd,asmt_abd,ff,ae,accuracy,0.9348480288895576
ddd,asmt_abd,ff,ae,fscore,0.0
ddd,asmt_abd,ff,ae,precision,0.0
ddd,asmt_abd,ff,ae,recall,0.0
ddd,asmt_abi,ff,ae,accuracy,0.9348480288895576
ddd,asmt_abi,ff,ae,fscore,0.0
ddd,asmt_abi,ff,ae,precision,0.0
ddd,asmt_abi,ff,ae,recall,0.0
ddd,stdnt_abd,ff,ae,accuracy,0.9348480288895576
ddd,stdnt_abd,ff,ae,fscore,0.0
ddd,stdnt_abd,ff,ae,precision,0.0
ddd,stdnt_abd,ff,ae,recall,0.0
ddd,stdnt_abi,ff,ae,accuracy,0.9348480288895576
ddd,stdnt_abi,ff,ae,fscore,0.0
ddd,stdnt_abi,ff,ae,precision,0.0
ddd,stdnt_abi,ff,ae,recall,0.0
ddd,asmt_stdnt_abd,ff,ae,accuracy,0.9348480288895576
ddd,asmt_stdnt_abd,ff,ae,fscore,0.0
ddd,asmt_stdnt_abd,ff,ae,precision,0.0
ddd,asmt_stdnt_abd,ff,ae,recall,0.0
ddd,asmt_stdnt_abi,ff,ae,accuracy,0.9348480288895576
ddd,asmt_stdnt_abi,ff,ae,fscore,0.0
ddd,asmt_stdnt_abi,ff,ae,precision,0.0
ddd,asmt_stdnt_abi,ff,ae,recall,0.0
