module,attributes,classifier,technique,metric,score
ggg,asmt,ff,ae,accuracy,0.9777624942686841
ggg,asmt,ff,ae,fscore,0.0
ggg,asmt,ff,ae,precision,0.0
ggg,asmt,ff,ae,recall,0.0
ggg,stdnt,ff,ae,accuracy,0.9777624942686841
ggg,stdnt,ff,ae,fscore,0.0
ggg,stdnt,ff,ae,precision,0.0
ggg,stdnt,ff,ae,recall,0.0
ggg,abd,ff,ae,accuracy,0.9777624942686841
ggg,abd,ff,ae,fscore,0.0
ggg,abd,ff,ae,precision,0.0
ggg,abd,ff,ae,recall,0.0
ggg,abi,ff,ae,accuracy,0.9777624942686841
ggg,abi,ff,ae,fscore,0.0
ggg,abi,ff,ae,precision,0.0
ggg,abi,ff,ae,recall,0.0
ggg,asmt_stdnt,ff,ae,accuracy,0.9777624942686841
ggg,asmt_stdnt,ff,ae,fscore,0.0
ggg,asmt_stdnt,ff,ae,precision,0.0
ggg,asmt_stdnt,ff,ae,recall,0.0
ggg,asmt_abd,ff,ae,accuracy,0.9777624942686841
ggg,asmt_abd,ff,ae,fscore,0.0
ggg,asmt_abd,ff,ae,precision,0.0
ggg,asmt_abd,ff,ae,recall,0.0
ggg,asmt_abi,ff,ae,accuracy,0.9777624942686841
ggg,asmt_abi,ff,ae,fscore,0.0
ggg,asmt_abi,ff,ae,precision,0.0
ggg,asmt_abi,ff,ae,recall,0.0
ggg,stdnt_abd,ff,ae,accuracy,0.9777624942686841
ggg,stdnt_abd,ff,ae,fscore,0.0
ggg,stdnt_abd,ff,ae,precision,0.0
ggg,stdnt_abd,ff,ae,recall,0.0
ggg,stdnt_abi,ff,ae,accuracy,0.9777624942686841
ggg,stdnt_abi,ff,ae,fscore,0.0
ggg,stdnt_abi,ff,ae,precision,0.0
ggg,stdnt_abi,ff,ae,recall,0.0
ggg,asmt_stdnt_abd,ff,ae,accuracy,0.9777624942686841
ggg,asmt_stdnt_abd,ff,ae,fscore,0.0
ggg,asmt_stdnt_abd,ff,ae,precision,0.0
ggg,asmt_stdnt_abd,ff,ae,recall,0.0
ggg,asmt_stdnt_abi,ff,ae,accuracy,0.9777624942686841
ggg,asmt_stdnt_abi,ff,ae,fscore,0.0
ggg,asmt_stdnt_abi,ff,ae,precision,0.0
ggg,asmt_stdnt_abi,ff,ae,recall,0.0
