module,attributes,classifier,technique,metric,score
bbb,asmt,ff,kmeans,accuracy,0.8853485838779956
bbb,asmt,ff,kmeans,fscore,0.0
bbb,asmt,ff,kmeans,precision,0.0
bbb,asmt,ff,kmeans,recall,0.0
bbb,stdnt,ff,kmeans,accuracy,0.8853485838779956
bbb,stdnt,ff,kmeans,fscore,0.0
bbb,stdnt,ff,kmeans,precision,0.0
bbb,stdnt,ff,kmeans,recall,0.0
bbb,abd,ff,kmeans,accuracy,0.8853485838779956
bbb,abd,ff,kmeans,fscore,0.0
bbb,abd,ff,kmeans,precision,0.0
bbb,abd,ff,kmeans,recall,0.0
bbb,abi,ff,kmeans,accuracy,0.8853485838779956
bbb,abi,ff,kmeans,fscore,0.0
bbb,abi,ff,kmeans,precision,0.0
bbb,abi,ff,kmeans,recall,0.0
bbb,asmt_stdnt,ff,kmeans,accuracy,0.8853485838779956
bbb,asmt_stdnt,ff,kmeans,fscore,0.0
bbb,asmt_stdnt,ff,kmeans,precision,0.0
bbb,asmt_stdnt,ff,kmeans,recall,0.0
bbb,asmt_abd,ff,kmeans,accuracy,0.8853485838779956
bbb,asmt_abd,ff,kmeans,fscore,0.0
bbb,asmt_abd,ff,kmeans,precision,0.0
bbb,asmt_abd,ff,kmeans,recall,0.0
bbb,asmt_abi,ff,kmeans,accuracy,0.8853485838779956
bbb,asmt_abi,ff,kmeans,fscore,0.0
bbb,asmt_abi,ff,kmeans,precision,0.0
bbb,asmt_abi,ff,kmeans,recall,0.0
bbb,stdnt_abd,ff,kmeans,accuracy,0.8830337690631809
bbb,stdnt_abd,ff,kmeans,fscore,0.0
bbb,stdnt_abd,ff,kmeans,precision,0.0
bbb,stdnt_abd,ff,kmeans,recall,0.0
bbb,stdnt_abi,ff,kmeans,accuracy,0.8853485838779956
bbb,stdnt_abi,ff,kmeans,fscore,0.0
bbb,stdnt_abi,ff,kmeans,precision,0.0
bbb,stdnt_abi,ff,kmeans,recall,0.0
bbb,asmt_stdnt_abd,ff,kmeans,accuracy,0.8852124183006536
bbb,asmt_stdnt_abd,ff,kmeans,fscore,0.0
bbb,asmt_stdnt_abd,ff,kmeans,precision,0.0
bbb,asmt_stdnt_abd,ff,kmeans,recall,0.0
bbb,asmt_stdnt_abi,ff,kmeans,accuracy,0.8662854030501089
bbb,asmt_stdnt_abi,ff,kmeans,fscore,0.0005445140212360468
bbb,asmt_stdnt_abi,ff,kmeans,precision,0.013888888888888888
bbb,asmt_stdnt_abi,ff,kmeans,recall,0.0023752969121140144
