module,attributes,classifier,technique,metric,score
ddd,asmt,ff,kmeans,accuracy,0.9348480288895576
ddd,asmt,ff,kmeans,fscore,0.0
ddd,asmt,ff,kmeans,precision,0.0
ddd,asmt,ff,kmeans,recall,0.0
ddd,stdnt,ff,kmeans,accuracy,0.9348480288895576
ddd,stdnt,ff,kmeans,fscore,0.0
ddd,stdnt,ff,kmeans,precision,0.0
ddd,stdnt,ff,kmeans,recall,0.0
ddd,abd,ff,kmeans,accuracy,0.9348480288895576
ddd,abd,ff,kmeans,fscore,0.0
ddd,abd,ff,kmeans,precision,0.0
ddd,abd,ff,kmeans,recall,0.0
ddd,abi,ff,kmeans,accuracy,0.9348480288895576
ddd,abi,ff,kmeans,fscore,0.0
ddd,abi,ff,kmeans,precision,0.0
ddd,abi,ff,kmeans,recall,0.0
ddd,asmt_stdnt,ff,kmeans,accuracy,0.9237135118868492
ddd,asmt_stdnt,ff,kmeans,fscore,0.008689138576779026
ddd,asmt_stdnt,ff,kmeans,precision,0.2196969696969697
ddd,asmt_stdnt,ff,kmeans,recall,0.06697459584295612
ddd,asmt_abd,ff,kmeans,accuracy,0.9161901895877219
ddd,asmt_abd,ff,kmeans,fscore,0.023788284269997028
ddd,asmt_abd,ff,kmeans,precision,0.28169014084507044
ddd,asmt_abd,ff,kmeans,recall,0.18475750577367206
ddd,asmt_abi,ff,kmeans,accuracy,0.9244658441167619
ddd,asmt_abi,ff,kmeans,fscore,0.010775217000897935
ddd,asmt_abi,ff,kmeans,precision,0.2553191489361702
ddd,asmt_abi,ff,kmeans,recall,0.08314087759815242
ddd,stdnt_abd,ff,kmeans,accuracy,0.913180860668071
ddd,stdnt_abd,ff,kmeans,fscore,0.010775217000897935
ddd,stdnt_abd,ff,kmeans,precision,0.16666666666666666
ddd,stdnt_abd,ff,kmeans,recall,0.08314087759815242
ddd,stdnt_abi,ff,kmeans,accuracy,0.8991874811916942
ddd,stdnt_abi,ff,kmeans,fscore,0.015230700313573242
ddd,stdnt_abi,ff,kmeans,precision,0.1504424778761062
ddd,stdnt_abi,ff,kmeans,recall,0.11778290993071594
ddd,asmt_stdnt_abd,ff,kmeans,accuracy,0.8937706891363226
ddd,asmt_stdnt_abd,ff,kmeans,fscore,0.024962852897474
ddd,asmt_stdnt_abd,ff,kmeans,precision,0.19047619047619047
ddd,asmt_stdnt_abd,ff,kmeans,recall,0.19399538106235567
ddd,asmt_stdnt_abi,ff,kmeans,accuracy,0.9037014745711707
ddd,asmt_stdnt_abi,ff,kmeans,fscore,0.026136026136026135
ddd,asmt_stdnt_abi,ff,kmeans,precision,0.2297650130548303
ddd,asmt_stdnt_abi,ff,kmeans,recall,0.20323325635103925
