module,attributes,classifier,technique,metric,score
fff,asmt,ff,kmeans,accuracy,0.9832764952780693
fff,asmt,ff,kmeans,fscore,0.0
fff,asmt,ff,kmeans,precision,0.0
fff,asmt,ff,kmeans,recall,0.0
fff,stdnt,ff,kmeans,accuracy,0.9832764952780693
fff,stdnt,ff,kmeans,fscore,0.0
fff,stdnt,ff,kmeans,precision,0.0
fff,stdnt,ff,kmeans,recall,0.0
fff,abd,ff,kmeans,accuracy,0.9832109129066107
fff,abd,ff,kmeans,fscore,0.0
fff,abd,ff,kmeans,precision,0.0
fff,abd,ff,kmeans,recall,0.0
fff,abi,ff,kmeans,accuracy,0.9824239244491081
fff,abi,ff,kmeans,fscore,0.00026229508196721314
fff,abi,ff,kmeans,precision,0.11764705882352941
fff,abi,ff,kmeans,recall,0.00784313725490196
fff,asmt_stdnt,ff,kmeans,accuracy,0.9832764952780693
fff,asmt_stdnt,ff,kmeans,fscore,0.0
fff,asmt_stdnt,ff,kmeans,precision,0.0
fff,asmt_stdnt,ff,kmeans,recall,0.0
fff,asmt_abd,ff,kmeans,accuracy,0.9832764952780693
fff,asmt_abd,ff,kmeans,fscore,0.0
fff,asmt_abd,ff,kmeans,precision,0.0
fff,asmt_abd,ff,kmeans,recall,0.0
fff,asmt_abi,ff,kmeans,accuracy,0.9826206715634838
fff,asmt_abi,ff,kmeans,fscore,0.0
fff,asmt_abi,ff,kmeans,precision,0.0
fff,asmt_abi,ff,kmeans,recall,0.0
fff,stdnt_abd,ff,kmeans,accuracy,0.9761935991605456
fff,stdnt_abd,ff,kmeans,fscore,0.0014417720689429189
fff,stdnt_abd,ff,kmeans,precision,0.08461538461538462
fff,stdnt_abd,ff,kmeans,recall,0.043137254901960784
fff,stdnt_abi,ff,kmeans,accuracy,0.9806532004197271
fff,stdnt_abi,ff,kmeans,fscore,0.0006556087327083197
fff,stdnt_abi,ff,kmeans,precision,0.1
fff,stdnt_abi,ff,kmeans,recall,0.0196078431372549
fff,asmt_stdnt_abd,ff,kmeans,accuracy,0.9772429171038824
fff,asmt_stdnt_abd,ff,kmeans,fscore,0.0015727391874180866
fff,asmt_stdnt_abd,ff,kmeans,precision,0.10344827586206896
fff,asmt_stdnt_abd,ff,kmeans,recall,0.047058823529411764
fff,asmt_stdnt_abi,ff,kmeans,accuracy,0.9808499475341028
fff,asmt_stdnt_abi,ff,kmeans,fscore,0.0027506712947802736
fff,asmt_stdnt_abi,ff,kmeans,precision,0.26582278481012656
fff,asmt_stdnt_abi,ff,kmeans,recall,0.08235294117647059
