module,attributes,classifier,technique,metric,score
ggg,asmt,ff,kmeans,accuracy,0.9777624942686841
ggg,asmt,ff,kmeans,fscore,0.0
ggg,asmt,ff,kmeans,precision,0.0
ggg,asmt,ff,kmeans,recall,0.0
ggg,stdnt,ff,kmeans,accuracy,0.9777624942686841
ggg,stdnt,ff,kmeans,fscore,0.0
ggg,stdnt,ff,kmeans,precision,0.0
ggg,stdnt,ff,kmeans,recall,0.0
ggg,abd,ff,kmeans,accuracy,0.9777624942686841
ggg,abd,ff,kmeans,fscore,0.0
ggg,abd,ff,kmeans,precision,0.0
ggg,abd,ff,kmeans,recall,0.0
ggg,abi,ff,kmeans,accuracy,0.9777624942686841
ggg,abi,ff,kmeans,fscore,0.0
ggg,abi,ff,kmeans,precision,0.0
ggg,abi,ff,kmeans,recall,0.0
ggg,asmt_stdnt,ff,kmeans,accuracy,0.9777624942686841
ggg,asmt_stdnt,ff,kmeans,fscore,0.0
ggg,asmt_stdnt,ff,kmeans,precision,0.0
ggg,asmt_stdnt,ff,kmeans,recall,0.0
ggg,asmt_abd,ff,kmeans,accuracy,0.9777624942686841
ggg,asmt_abd,ff,kmeans,fscore,0.0
ggg,asmt_abd,ff,kmeans,precision,0.0
ggg,asmt_abd,ff,kmeans,recall,0.0
ggg,asmt_abi,ff,kmeans,accuracy,0.9777624942686841
ggg,asmt_abi,ff,kmeans,fscore,0.0
ggg,asmt_abi,ff,kmeans,precision,0.0
ggg,asmt_abi,ff,kmeans,recall,0.0
ggg,stdnt_abd,ff,kmeans,accuracy,0.9756992205410362
ggg,stdnt_abd,ff,kmeans,fscore,0.0
ggg,stdnt_abd,ff,kmeans,precision,0.0
ggg,stdnt_abd,ff,kmeans,recall,0.0
ggg,stdnt_abi,ff,kmeans,accuracy,0.9773039889958735
ggg,stdnt_abi,ff,kmeans,fscore,0.0
ggg,stdnt_abi,ff,kmeans,precision,0.0
ggg,stdnt_abi,ff,kmeans,recall,0.0
ggg,asmt_stdnt_abd,ff,kmeans,accuracy,0.9770747363594682
ggg,asmt_stdnt_abd,ff,kmeans,fscore,0.00045840018336007336
ggg,asmt_stdnt_abd,ff,kmeans,precision,0.2
ggg,asmt_stdnt_abd,ff,kmeans,recall,0.010309278350515464
ggg,asmt_stdnt_abi,ff,kmeans,accuracy,0.9773039889958735
ggg,asmt_stdnt_abi,ff,kmeans,fscore,0.0013745704467353953
ggg,asmt_stdnt_abi,ff,kmeans,precision,0.375
ggg,asmt_stdnt_abi,ff,kmeans,recall,0.030927835051546393
