module,attributes,classifier,technique,metric,score
bbb,asmt,ff,pca,accuracy,0.8853485838779956
bbb,asmt,ff,pca,fscore,0.0
bbb,asmt,ff,pca,precision,0.0
bbb,asmt,ff,pca,recall,0.0
bbb,stdnt,ff,pca,accuracy,0.8853485838779956
bbb,stdnt,ff,pca,fscore,0.0
bbb,stdnt,ff,pca,precision,0.0
bbb,stdnt,ff,pca,recall,0.0
bbb,abd,ff,pca,accuracy,0.8853485838779956
bbb,abd,ff,pca,fscore,0.0
bbb,abd,ff,pca,precision,0.0
bbb,abd,ff,pca,recall,0.0
bbb,abi,ff,pca,accuracy,0.8853485838779956
bbb,abi,ff,pca,fscore,0.0
bbb,abi,ff,pca,precision,0.0
bbb,abi,ff,pca,recall,0.0
bbb,asmt_stdnt,ff,pca,accuracy,0.8853485838779956
bbb,asmt_stdnt,ff,pca,fscore,0.0
bbb,asmt_stdnt,ff,pca,precision,0.0
bbb,asmt_stdnt,ff,pca,recall,0.0
bbb,asmt_abd,ff,pca,accuracy,0.8853485838779956
bbb,asmt_abd,ff,pca,fscore,0.0
bbb,asmt_abd,ff,pca,precision,0.0
bbb,asmt_abd,ff,pca,recall,0.0
bbb,asmt_abi,ff,pca,accuracy,0.8853485838779956
bbb,asmt_abi,ff,pca,fscore,0.0
bbb,asmt_abi,ff,pca,precision,0.0
bbb,asmt_abi,ff,pca,recall,0.0
bbb,stdnt_abd,ff,pca,accuracy,0.8853485838779956
bbb,stdnt_abd,ff,pca,fscore,0.0
bbb,stdnt_abd,ff,pca,precision,0.0
bbb,stdnt_abd,ff,pca,recall,0.0
bbb,stdnt_abi,ff,pca,accuracy,0.8853485838779956
bbb,stdnt_abi,ff,pca,fscore,0.0
bbb,stdnt_abi,ff,pca,precision,0.0
bbb,stdnt_abi,ff,pca,recall,0.0
bbb,asmt_stdnt_abd,ff,pca,accuracy,0.8853485838779956
bbb,asmt_stdnt_abd,ff,pca,fscore,0.0
bbb,asmt_stdnt_abd,ff,pca,precision,0.0
bbb,asmt_stdnt_abd,ff,pca,recall,0.0
bbb,asmt_stdnt_abi,ff,pca,accuracy,0.8853485838779956
bbb,asmt_stdnt_abi,ff,pca,fscore,0.0
bbb,asmt_stdnt_abi,ff,pca,precision,0.0
bbb,asmt_stdnt_abi,ff,pca,recall,0.0
