module,attributes,classifier,technique,metric,score
ddd,asmt,ff,pca,accuracy,0.9348480288895576
ddd,asmt,ff,pca,fscore,0.0
ddd,asmt,ff,pca,precision,0.0
ddd,asmt,ff,pca,recall,0.0
ddd,stdnt,ff,pca,accuracy,0.9348480288895576
ddd,stdnt,ff,pca,fscore,0.0
ddd,stdnt,ff,pca,precision,0.0
ddd,stdnt,ff,pca,recall,0.0
ddd,abd,ff,pca,accuracy,0.9348480288895576
ddd,abd,ff,pca,fscore,0.0
ddd,abd,ff,pca,precision,0.0
ddd,abd,ff,pca,recall,0.0
ddd,abi,ff,pca,accuracy,0.9348480288895576
ddd,abi,ff,pca,fscore,0.0
ddd,abi,ff,pca,precision,0.0
ddd,abi,ff,pca,recall,0.0
ddd,asmt_stdnt,ff,pca,accuracy,0.9337947637676798
ddd,asmt_stdnt,ff,pca,fscore,0.0006016847172081829
ddd,asmt_stdnt,ff,pca,precision,0.18181818181818182
ddd,asmt_stdnt,ff,pca,recall,0.004618937644341801
ddd,asmt_abd,ff,pca,accuracy,0.9322900993078543
ddd,asmt_abd,ff,pca,fscore,0.003604686091919495
ddd,asmt_abd,ff,pca,precision,0.2926829268292683
ddd,asmt_abd,ff,pca,recall,0.02771362586605081
ddd,asmt_abi,ff,pca,accuracy,0.9140836593439663
ddd,asmt_abi,ff,pca,fscore,0.03343689894954875
ddd,asmt_abi,ff,pca,precision,0.31043956043956045
ddd,asmt_abi,ff,pca,recall,0.26096997690531176
ddd,stdnt_abd,ff,pca,accuracy,0.9348480288895576
ddd,stdnt_abd,ff,pca,fscore,0.0
ddd,stdnt_abd,ff,pca,precision,0.0
ddd,stdnt_abd,ff,pca,recall,0.0
ddd,stdnt_abi,ff,pca,accuracy,0.9348480288895576
ddd,stdnt_abi,ff,pca,fscore,0.0
ddd,stdnt_abi,ff,pca,precision,0.0
ddd,stdnt_abi,ff,pca,recall,0.0
ddd,asmt_stdnt_abd,ff,pca,accuracy,0.9276256394823954
ddd,asmt_stdnt_abd,ff,pca,fscore,0.015823257202567546
ddd,asmt_stdnt_abd,ff,pca,precision,0.34415584415584416
ddd,asmt_stdnt_abd,ff,pca,recall,0.12240184757505773
ddd,asmt_stdnt_abi,ff,pca,accuracy,0.9336442973216973
ddd,asmt_stdnt_abi,ff,pca,fscore,0.0018039687312086591
ddd,asmt_stdnt_abi,ff,pca,precision,0.3
ddd,asmt_stdnt_abi,ff,pca,recall,0.013856812933025405
