module,attributes,classifier,technique,metric,score
aaa,asmt,ff,smote+ae,accuracy,0.9661016949
aaa,asmt,ff,smote+ae,fscore,0
aaa,asmt,ff,smote+ae,precision,0
aaa,asmt,ff,smote+ae,recall,0
aaa,stdnt,ff,smote+ae,accuracy,0.7186440678
aaa,stdnt,ff,smote+ae,fscore,0.02807486631
aaa,stdnt,ff,smote+ae,precision,0.0515970516
aaa,stdnt,ff,smote+ae,recall,0.42
aaa,abd,ff,smote+ae,accuracy,0.6345762712
aaa,abd,ff,smote+ae,fscore,0.0411686587
aaa,abd,ff,smote+ae,precision,0.05626134301
aaa,abd,ff,smote+ae,recall,0.62
aaa,abi,ff,smote+ae,accuracy,0.6610169492
aaa,abi,ff,smote+ae,fscore,0.03595206391
aaa,abi,ff,smote+ae,precision,0.05357142857
aaa,abi,ff,smote+ae,recall,0.54
aaa,asmt_stdnt,ff,smote+ae,accuracy,0.6508474576
aaa,asmt_stdnt,ff,smote+ae,fscore,0.03464357095
aaa,asmt_stdnt,ff,smote+ae,precision,0.0502901354
aaa,asmt_stdnt,ff,smote+ae,recall,0.52
aaa,asmt_abd,ff,smote+ae,accuracy,0.5016949153
aaa,asmt_abd,ff,smote+ae,fscore,0.04894179894
aaa,asmt_abd,ff,smote+ae,precision,0.0487483531
aaa,asmt_abd,ff,smote+ae,recall,0.74
aaa,asmt_abi,ff,smote+ae,accuracy,0.7288135593
aaa,asmt_abi,ff,smote+ae,fscore,0.0411686587
aaa,asmt_abi,ff,smote+ae,precision,0.07524271845
aaa,asmt_abi,ff,smote+ae,recall,0.62
aaa,stdnt_abd,ff,smote+ae,accuracy,0.7328813559
aaa,stdnt_abd,ff,smote+ae,fscore,0.03333333333
aaa,stdnt_abd,ff,smote+ae,precision,0.06345177665
aaa,stdnt_abd,ff,smote+ae,recall,0.5
aaa,stdnt_abi,ff,smote+ae,accuracy,0.7545762712
aaa,stdnt_abi,ff,smote+ae,fscore,0.03333333333
aaa,stdnt_abi,ff,smote+ae,precision,0.06906077348
aaa,stdnt_abi,ff,smote+ae,recall,0.5
aaa,asmt_stdnt_abd,ff,smote+ae,accuracy,0.8027118644
aaa,asmt_stdnt_abd,ff,smote+ae,fscore,0.02543507363
aaa,asmt_stdnt_abd,ff,smote+ae,precision,0.06810035842
aaa,asmt_stdnt_abd,ff,smote+ae,recall,0.38
aaa,asmt_stdnt_abi,ff,smote+ae,accuracy,0.7837288136
aaa,asmt_stdnt_abi,ff,smote+ae,fscore,0.02939211757
aaa,asmt_stdnt_abi,ff,smote+ae,precision,0.07028753994
aaa,asmt_stdnt_abi,ff,smote+ae,recall,0.44
