module,attributes,classifier,technique,metric,score
ddd,asmt,ff,smote+ae,accuracy,0.9348480289
ddd,asmt,ff,smote+ae,fscore,0
ddd,asmt,ff,smote+ae,precision,0
ddd,asmt,ff,smote+ae,recall,0
ddd,stdnt,ff,smote+ae,accuracy,0.6331628047
ddd,stdnt,ff,smote+ae,fscore,0.04730424563
ddd,stdnt,ff,smote+ae,precision,0.06918779544
ddd,stdnt,ff,smote+ae,recall,0.3718244804
ddd,abd,ff,smote+ae,accuracy,0.5135419801
ddd,abd,ff,smote+ae,fscore,0.09679266896
ddd,abd,ff,smote+ae,precision,0.09723820483
ddd,abd,ff,smote+ae,recall,0.7806004619
ddd,abi,ff,smote+ae,accuracy,0.4384592236
ddd,abi,ff,smote+ae,fscore,0.1008715531
ddd,abi,ff,smote+ae,precision,0.08813982522
ddd,abi,ff,smote+ae,recall,0.8152424942
ddd,asmt_stdnt,ff,smote+ae,accuracy,0.6095395727
ddd,asmt_stdnt,ff,smote+ae,fscore,0.07835766951
ddd,asmt_stdnt,ff,smote+ae,precision,0.1002218935
ddd,asmt_stdnt,ff,smote+ae,recall,0.6258660508
ddd,asmt_abd,ff,smote+ae,accuracy,0.4539572675
ddd,asmt_abd,ff,smote+ae,fscore,0.1022272987
ddd,asmt_abd,ff,smote+ae,precision,0.09151329243
ddd,asmt_abd,ff,smote+ae,recall,0.8267898383
ddd,asmt_abi,ff,smote+ae,accuracy,0.5383689437
ddd,asmt_abi,ff,smote+ae,fscore,0.09978556112
ddd,asmt_abi,ff,smote+ae,precision,0.104710471
ddd,asmt_abi,ff,smote+ae,recall,0.8060046189
ddd,stdnt_abd,ff,smote+ae,accuracy,0.3745109841
ddd,stdnt_abd,ff,smote+ae,fscore,0.09733753221
ddd,stdnt_abd,ff,smote+ae,precision,0.07720254314
ddd,stdnt_abd,ff,smote+ae,recall,0.7852193995
ddd,stdnt_abi,ff,smote+ae,accuracy,0.532049353
ddd,stdnt_abi,ff,smote+ae,fscore,0.08334534968
ddd,stdnt_abi,ff,smote+ae,precision,0.08878648233
ddd,stdnt_abi,ff,smote+ae,recall,0.6674364896
ddd,asmt_stdnt_abd,ff,smote+ae,accuracy,0.6415889257
ddd,asmt_stdnt_abd,ff,smote+ae,fscore,0.08555379519
ddd,asmt_stdnt_abd,ff,smote+ae,precision,0.1167911915
ddd,asmt_stdnt_abd,ff,smote+ae,recall,0.6859122402
ddd,asmt_stdnt_abi,ff,smote+ae,accuracy,0.4885645501
ddd,asmt_stdnt_abi,ff,smote+ae,fscore,0.09542914458
ddd,asmt_stdnt_abi,ff,smote+ae,precision,0.09168502203
ddd,asmt_stdnt_abi,ff,smote+ae,recall,0.7690531178
