module,attributes,classifier,technique,metric,score
eee,asmt,ff,smote+ae,accuracy,0.0146009085
eee,asmt,ff,smote+ae,fscore,0.02878157979
eee,asmt,ff,smote+ae,precision,0.0146009085
eee,asmt,ff,smote+ae,recall,1
eee,stdnt,ff,smote+ae,accuracy,0.5736534718
eee,stdnt,ff,smote+ae,fscore,0.01417525773
eee,stdnt,ff,smote+ae,precision,0.01675552171
eee,stdnt,ff,smote+ae,recall,0.4888888889
eee,abd,ff,smote+ae,accuracy,0.7378325762
eee,abd,ff,smote+ae,fscore,0.02055234425
eee,abd,ff,smote+ae,precision,0.03869407497
eee,abd,ff,smote+ae,recall,0.7111111111
eee,abi,ff,smote+ae,accuracy,0.6482803374
eee,abi,ff,smote+ae,fscore,0.02118780096
eee,abi,ff,smote+ae,precision,0.02986425339
eee,abi,ff,smote+ae,recall,0.7333333333
eee,asmt_stdnt,ff,smote+ae,accuracy,0.5960415315
eee,asmt_stdnt,ff,smote+ae,fscore,0.01673101673
eee,asmt_stdnt,ff,smote+ae,precision,0.02076677316
eee,asmt_stdnt,ff,smote+ae,recall,0.5777777778
eee,asmt_abd,ff,smote+ae,accuracy,0.7384815055
eee,asmt_abd,ff,smote+ae,fscore,0.02245749118
eee,asmt_abd,ff,smote+ae,precision,0.0421179302
eee,asmt_abd,ff,smote+ae,recall,0.7777777778
eee,asmt_abi,ff,smote+ae,accuracy,0.6839714471
eee,asmt_abi,ff,smote+ae,fscore,0.02309172547
eee,asmt_abi,ff,smote+ae,precision,0.03596403596
eee,asmt_abi,ff,smote+ae,recall,0.8
eee,stdnt_abd,ff,smote+ae,accuracy,0.7686567164
eee,stdnt_abd,ff,smote+ae,fscore,0.01609269392
eee,stdnt_abd,ff,smote+ae,precision,0.0348189415
eee,stdnt_abd,ff,smote+ae,recall,0.5555555556
eee,stdnt_abi,ff,smote+ae,accuracy,0.7394548994
eee,stdnt_abi,ff,smote+ae,fscore,0.01032924467
eee,stdnt_abi,ff,smote+ae,precision,0.02025316456
eee,stdnt_abi,ff,smote+ae,recall,0.3555555556
eee,asmt_stdnt_abd,ff,smote+ae,accuracy,0.8101881895
eee,asmt_stdnt_abd,ff,smote+ae,fscore,0.01481481481
eee,asmt_stdnt_abd,ff,smote+ae,precision,0.03924914676
eee,asmt_stdnt_abd,ff,smote+ae,recall,0.5111111111
eee,asmt_stdnt_abi,ff,smote+ae,accuracy,0.7537313433
eee,asmt_stdnt_abi,ff,smote+ae,fscore,0.01991647928
eee,asmt_stdnt_abi,ff,smote+ae,precision,0.03994845361
eee,asmt_stdnt_abi,ff,smote+ae,recall,0.6888888889
