module,attributes,classifier,technique,metric,score
ggg,asmt,ff,smote+ae,accuracy,0.02223750573
ggg,asmt,ff,smote+ae,fscore,0.0435075129
ggg,asmt,ff,smote+ae,precision,0.02223750573
ggg,asmt,ff,smote+ae,recall,1
ggg,stdnt,ff,smote+ae,accuracy,0.6552040348
ggg,stdnt,ff,smote+ae,fscore,0.01139731023
ggg,stdnt,ff,smote+ae,precision,0.01715854496
ggg,stdnt,ff,smote+ae,recall,0.2577319588
ggg,abd,ff,smote+ae,accuracy,0.4335167354
ggg,abd,ff,smote+ae,fscore,0.0275830884
ggg,abd,ff,smote+ae,precision,0.02443910256
ggg,abd,ff,smote+ae,recall,0.6288659794
ggg,abi,ff,smote+ae,accuracy,0.5848234755
ggg,abi,ff,smote+ae,fscore,0.02936525864
ggg,abi,ff,smote+ae,precision,0.0352494577
ggg,abi,ff,smote+ae,recall,0.6701030928
ggg,asmt_stdnt,ff,smote+ae,accuracy,0.6242549289
ggg,asmt_stdnt,ff,smote+ae,fscore,0.016822005
ggg,asmt_stdnt,ff,smote+ae,precision,0.0228960396
ggg,asmt_stdnt,ff,smote+ae,recall,0.381443299
ggg,asmt_abd,ff,smote+ae,accuracy,0.6707932141
ggg,asmt_abd,ff,smote+ae,fscore,0.02445652174
ggg,asmt_abd,ff,smote+ae,precision,0.03731859019
ggg,asmt_abd,ff,smote+ae,recall,0.5567010309
ggg,asmt_abi,ff,smote+ae,accuracy,0.5584594223
ggg,asmt_abi,ff,smote+ae,fscore,0.02669079394
ggg,asmt_abi,ff,smote+ae,precision,0.0303030303
ggg,asmt_abi,ff,smote+ae,recall,0.6082474227
ggg,stdnt_abd,ff,smote+ae,accuracy,0.610958276
ggg,stdnt_abd,ff,smote+ae,fscore,0.02132002722
ggg,stdnt_abd,ff,smote+ae,precision,0.02774498229
ggg,stdnt_abd,ff,smote+ae,recall,0.4845360825
ggg,stdnt_abi,ff,smote+ae,accuracy,0.7457588262
ggg,stdnt_abi,ff,smote+ae,fscore,0.01591994542
ggg,stdnt_abi,ff,smote+ae,precision,0.03234750462
ggg,stdnt_abi,ff,smote+ae,recall,0.3608247423
ggg,asmt_stdnt_abd,ff,smote+ae,accuracy,0.7157267309
ggg,asmt_stdnt_abd,ff,smote+ae,fscore,0.01772324472
ggg,asmt_stdnt_abd,ff,smote+ae,precision,0.03194103194
ggg,asmt_stdnt_abd,ff,smote+ae,recall,0.4020618557
ggg,asmt_stdnt_abi,ff,smote+ae,accuracy,0.6820265933
ggg,asmt_stdnt_abi,ff,smote+ae,fscore,0.02221718431
ggg,asmt_stdnt_abi,ff,smote+ae,precision,0.03530259366
ggg,asmt_stdnt_abi,ff,smote+ae,recall,0.5051546392
