module,attributes,classifier,technique,metric,score
ccc,asmt,ff,smote+kmeans,accuracy,0.9169045354
ccc,asmt,ff,smote+kmeans,fscore,0
ccc,asmt,ff,smote+kmeans,precision,0
ccc,asmt,ff,smote+kmeans,recall,0
ccc,stdnt,ff,smote+kmeans,accuracy,0.4008880431
ccc,stdnt,ff,smote+kmeans,fscore,0.09735492306
ccc,stdnt,ff,smote+kmeans,precision,0.0827491879
ccc,stdnt,ff,smote+kmeans,recall,0.6157760814
ccc,abd,ff,smote+kmeans,accuracy,0.6470028544
ccc,abd,ff,smote+kmeans,fscore,0.09005552751
ccc,abd,ff,smote+kmeans,precision,0.1294629898
ccc,abd,ff,smote+kmeans,recall,0.5674300254
ccc,abi,ff,smote+kmeans,accuracy,0.6383338619
ccc,abi,ff,smote+kmeans,fscore,0.08831851253
ccc,abi,ff,smote+kmeans,precision,0.1245369051
ccc,abi,ff,smote+kmeans,recall,0.5559796438
ccc,asmt_stdnt,ff,smote+kmeans,accuracy,0.7700602601
ccc,asmt_stdnt,ff,smote+kmeans,fscore,0.03632966577
ccc,asmt_stdnt,ff,smote+kmeans,precision,0.1006325474
ccc,asmt_stdnt,ff,smote+kmeans,recall,0.2226463104
ccc,asmt_abd,ff,smote+kmeans,accuracy,0.6465799767
ccc,asmt_abd,ff,smote+kmeans,fscore,0.08793208005
ccc,asmt_abd,ff,smote+kmeans,precision,0.1269331777
ccc,asmt_abd,ff,smote+kmeans,recall,0.5534351145
ccc,asmt_abi,ff,smote+kmeans,accuracy,0.6330478909
ccc,asmt_abi,ff,smote+kmeans,fscore,0.08909090909
ccc,asmt_abi,ff,smote+kmeans,precision,0.1236333053
ccc,asmt_abi,ff,smote+kmeans,recall,0.5610687023
ccc,stdnt_abd,ff,smote+kmeans,accuracy,0.8256686753
ccc,stdnt_abd,ff,smote+kmeans,fscore,0.03592192691
ccc,stdnt_abd,ff,smote+kmeans,precision,0.1430934657
ccc,stdnt_abd,ff,smote+kmeans,recall,0.2201017812
ccc,stdnt_abi,ff,smote+kmeans,accuracy,0.8023046834
ccc,stdnt_abi,ff,smote+kmeans,fscore,0.04485324514
ccc,stdnt_abi,ff,smote+kmeans,precision,0.1429512516
ccc,stdnt_abi,ff,smote+kmeans,recall,0.2760814249
ccc,asmt_stdnt_abd,ff,smote+kmeans,accuracy,0.7967015541
ccc,asmt_stdnt_abd,ff,smote+kmeans,fscore,0.03734827264
ccc,asmt_stdnt_abd,ff,smote+kmeans,precision,0.120240481
ccc,asmt_stdnt_abd,ff,smote+kmeans,recall,0.2290076336
ccc,asmt_stdnt_abi,ff,smote+kmeans,accuracy,0.8066391796
ccc,asmt_stdnt_abi,ff,smote+kmeans,fscore,0.04060072501
ccc,asmt_stdnt_abi,ff,smote+kmeans,precision,0.1365853659
ccc,asmt_stdnt_abi,ff,smote+kmeans,recall,0.2493638677
