module,attributes,classifier,technique,metric,score
eee,asmt,ff,smote+kmeans,accuracy,0.2968851395
eee,asmt,ff,smote+kmeans,fscore,0.02309172547
eee,asmt,ff,smote+kmeans,precision,0.01640838651
eee,asmt,ff,smote+kmeans,recall,0.8
eee,stdnt,ff,smote+kmeans,accuracy,0.8267358858
eee,stdnt,ff,smote+kmeans,fscore,0.005177993528
eee,stdnt,ff,smote+kmeans,precision,0.01584158416
eee,stdnt,ff,smote+kmeans,recall,0.1777777778
eee,abd,ff,smote+kmeans,accuracy,0.9383517197
eee,abd,ff,smote+kmeans,fscore,0.006468305304
eee,abd,ff,smote+kmeans,precision,0.06060606061
eee,abd,ff,smote+kmeans,recall,0.2222222222
eee,abi,ff,smote+kmeans,accuracy,0.9367293965
eee,abi,ff,smote+kmeans,fscore,0.009043927649
eee,abi,ff,smote+kmeans,precision,0.07865168539
eee,abi,ff,smote+kmeans,recall,0.3111111111
eee,asmt_stdnt,ff,smote+kmeans,accuracy,0.9211550941
eee,asmt_stdnt,ff,smote+kmeans,fscore,0.00259235256
eee,asmt_stdnt,ff,smote+kmeans,precision,0.01941747573
eee,asmt_stdnt,ff,smote+kmeans,recall,0.08888888889
eee,asmt_abd,ff,smote+kmeans,accuracy,0.9321868916
eee,asmt_abd,ff,smote+kmeans,fscore,0.01032924467
eee,asmt_abd,ff,smote+kmeans,precision,0.08163265306
eee,asmt_abd,ff,smote+kmeans,recall,0.3555555556
eee,asmt_abi,ff,smote+kmeans,accuracy,0.9231018819
eee,asmt_abi,ff,smote+kmeans,fscore,0.01417525773
eee,asmt_abi,ff,smote+kmeans,precision,0.09322033898
eee,asmt_abi,ff,smote+kmeans,recall,0.4888888889
eee,stdnt_abd,ff,smote+kmeans,accuracy,0.9532770928
eee,stdnt_abd,ff,smote+kmeans,fscore,0.004532211072
eee,stdnt_abd,ff,smote+kmeans,precision,0.06194690265
eee,stdnt_abd,ff,smote+kmeans,recall,0.1555555556
eee,stdnt_abi,ff,smote+kmeans,accuracy,0.9652822842
eee,stdnt_abi,ff,smote+kmeans,fscore,0.0006487187804
eee,stdnt_abi,ff,smote+kmeans,precision,0.015625
eee,stdnt_abi,ff,smote+kmeans,recall,0.02222222222
eee,asmt_stdnt_abd,ff,smote+kmeans,accuracy,0.9685269306
eee,asmt_stdnt_abd,ff,smote+kmeans,fscore,0.00259235256
eee,asmt_stdnt_abd,ff,smote+kmeans,precision,0.06666666667
eee,asmt_stdnt_abd,ff,smote+kmeans,recall,0.08888888889
eee,asmt_stdnt_abi,ff,smote+kmeans,accuracy,0.9558728099
eee,asmt_stdnt_abi,ff,smote+kmeans,fscore,0.003239390994
eee,asmt_stdnt_abi,ff,smote+kmeans,precision,0.0495049505
eee,asmt_stdnt_abi,ff,smote+kmeans,recall,0.1111111111
