module,attributes,classifier,technique,metric,score
fff,asmt,ff,smote+kmeans,accuracy,0.6760886674
fff,asmt,ff,smote+kmeans,fscore,0.02870071105
fff,asmt,ff,smote+kmeans,precision,0.04329173167
fff,asmt,ff,smote+kmeans,recall,0.8705882353
fff,stdnt,ff,smote+kmeans,accuracy,0.537775446
fff,stdnt,ff,smote+kmeans,fscore,0.0165203252
fff,stdnt,ff,smote+kmeans,precision,0.01802185327
fff,stdnt,ff,smote+kmeans,recall,0.4980392157
fff,abd,ff,smote+kmeans,accuracy,0.8944779643
fff,abd,ff,smote+kmeans,fscore,0.01251303441
fff,abd,ff,smote+kmeans,precision,0.06209573092
fff,abd,ff,smote+kmeans,recall,0.3764705882
fff,abi,ff,smote+kmeans,accuracy,0.5438746065
fff,abi,ff,smote+kmeans,fscore,0.01354872329
fff,abi,ff,smote+kmeans,precision,0.01505500869
fff,abi,ff,smote+kmeans,recall,0.4078431373
fff,asmt_stdnt,ff,smote+kmeans,accuracy,0.8988719832
fff,asmt_stdnt,ff,smote+kmeans,fscore,0.004841347727
fff,asmt_stdnt,ff,smote+kmeans,precision,0.02718589273
fff,asmt_stdnt,ff,smote+kmeans,recall,0.1450980392
fff,asmt_abd,ff,smote+kmeans,accuracy,0.9101521511
fff,asmt_abd,ff,smote+kmeans,fscore,0.01471258382
fff,asmt_abd,ff,smote+kmeans,precision,0.08426547353
fff,asmt_abd,ff,smote+kmeans,recall,0.4431372549
fff,asmt_abi,ff,smote+kmeans,accuracy,0.5565975866
fff,asmt_abi,ff,smote+kmeans,fscore,0.01419548089
fff,asmt_abi,ff,smote+kmeans,precision,0.01621058894
fff,asmt_abi,ff,smote+kmeans,recall,0.4274509804
fff,stdnt_abd,ff,smote+kmeans,accuracy,0.9497639035
fff,stdnt_abd,ff,smote+kmeans,fscore,0.005232862376
fff,stdnt_abd,ff,smote+kmeans,precision,0.06768189509
fff,stdnt_abd,ff,smote+kmeans,recall,0.1568627451
fff,stdnt_abi,ff,smote+kmeans,accuracy,0.9597980063
fff,stdnt_abi,ff,smote+kmeans,fscore,0.004580252568
fff,stdnt_abi,ff,smote+kmeans,precision,0.08177570093
fff,stdnt_abi,ff,smote+kmeans,recall,0.137254902
fff,asmt_stdnt_abd,ff,smote+kmeans,accuracy,0.9539611752
fff,asmt_stdnt_abd,ff,smote+kmeans,fscore,0.006406484932
fff,asmt_stdnt_abd,ff,smote+kmeans,precision,0.08990825688
fff,asmt_stdnt_abd,ff,smote+kmeans,recall,0.1921568627
fff,asmt_stdnt_abi,ff,smote+kmeans,accuracy,0.954616999
fff,asmt_stdnt_abi,ff,smote+kmeans,fscore,0.008359456635
fff,asmt_stdnt_abi,ff,smote+kmeans,precision,0.1132743363
fff,asmt_stdnt_abi,ff,smote+kmeans,recall,0.2509803922
