module,attributes,classifier,technique,metric,score
aaa,asmt,ff,smote+pca,accuracy,0.43796610169491523
aaa,asmt,ff,smote+pca,fscore,0.04765056254136334
aaa,asmt,ff,smote+pca,precision,0.04230317273795535
aaa,asmt,ff,smote+pca,recall,0.72
aaa,stdnt,ff,smote+pca,accuracy,0.8447457627118644
aaa,stdnt,ff,smote+pca,fscore,0.013468013468013467
aaa,stdnt,ff,smote+pca,precision,0.05025125628140704
aaa,stdnt,ff,smote+pca,recall,0.2
aaa,abd,ff,smote+pca,accuracy,0.8359322033898305
aaa,abd,ff,smote+pca,fscore,0.021462105969148222
aaa,abd,ff,smote+pca,precision,0.07142857142857142
aaa,abd,ff,smote+pca,recall,0.32
aaa,abi,ff,smote+pca,accuracy,0.8928813559322034
aaa,abi,ff,smote+pca,fscore,0.014804845222072678
aaa,abi,ff,smote+pca,precision,0.08461538461538462
aaa,abi,ff,smote+pca,recall,0.22
aaa,asmt_stdnt,ff,smote+pca,accuracy,0.9159322033898305
aaa,asmt_stdnt,ff,smote+pca,fscore,0.0040595399188092015
aaa,asmt_stdnt,ff,smote+pca,precision,0.0375
aaa,asmt_stdnt,ff,smote+pca,recall,0.06
aaa,asmt_abd,ff,smote+pca,accuracy,0.92
aaa,asmt_abd,ff,smote+pca,fscore,0.01747311827956989
aaa,asmt_abd,ff,smote+pca,precision,0.13829787234042554
aaa,asmt_abd,ff,smote+pca,recall,0.26
aaa,asmt_abi,ff,smote+pca,accuracy,0.8779661016949153
aaa,asmt_abi,ff,smote+pca,fscore,0.020134228187919462
aaa,asmt_abi,ff,smote+pca,precision,0.09375
aaa,asmt_abi,ff,smote+pca,recall,0.3
aaa,stdnt_abd,ff,smote+pca,accuracy,0.936271186440678
aaa,stdnt_abd,ff,smote+pca,fscore,0.012129380053908356
aaa,stdnt_abd,ff,smote+pca,precision,0.14516129032258066
aaa,stdnt_abd,ff,smote+pca,recall,0.18
aaa,stdnt_abi,ff,smote+pca,accuracy,0.9349152542372882
aaa,stdnt_abi,ff,smote+pca,fscore,0.006756756756756757
aaa,stdnt_abi,ff,smote+pca,precision,0.08928571428571429
aaa,stdnt_abi,ff,smote+pca,recall,0.1
aaa,asmt_stdnt_abd,ff,smote+pca,accuracy,0.9416949152542373
aaa,asmt_stdnt_abd,ff,smote+pca,fscore,0.009446693657219974
aaa,asmt_stdnt_abd,ff,smote+pca,precision,0.14
aaa,asmt_stdnt_abd,ff,smote+pca,recall,0.14
aaa,asmt_stdnt_abi,ff,smote+pca,accuracy,0.9430508474576271
aaa,asmt_stdnt_abi,ff,smote+pca,fscore,0.009446693657219974
aaa,asmt_stdnt_abi,ff,smote+pca,precision,0.14583333333333334
aaa,asmt_stdnt_abi,ff,smote+pca,recall,0.14
