module,attributes,classifier,technique,metric,score
bbb,asmt,ff,smote+pca,accuracy,0.3661492374727669
bbb,asmt,ff,smote+pca,fscore,0.026602176541717048
bbb,asmt,ff,smote+pca,precision,0.02468212415856395
bbb,asmt,ff,smote+pca,recall,0.11757719714964371
bbb,stdnt,ff,smote+pca,accuracy,0.755582788671024
bbb,stdnt,ff,smote+pca,fscore,0.044207723035952065
bbb,stdnt,ff,smote+pca,precision,0.12918287937743192
bbb,stdnt,ff,smote+pca,recall,0.19714964370546317
bbb,abd,ff,smote+pca,accuracy,0.7445533769063181
bbb,abd,ff,smote+pca,fscore,0.0326814894186981
bbb,abd,ff,smote+pca,precision,0.09546165884194054
bbb,abd,ff,smote+pca,recall,0.14489311163895488
bbb,abi,ff,smote+pca,accuracy,0.7908496732026143
bbb,abi,ff,smote+pca,fscore,0.019417475728155338
bbb,abi,ff,smote+pca,precision,0.08591885441527446
bbb,abi,ff,smote+pca,recall,0.0855106888361045
bbb,asmt_stdnt,ff,smote+pca,accuracy,0.8050108932461874
bbb,asmt_stdnt,ff,smote+pca,fscore,0.01002574176940794
bbb,asmt_stdnt,ff,smote+pca,precision,0.05572289156626506
bbb,asmt_stdnt,ff,smote+pca,recall,0.043942992874109264
bbb,asmt_abd,ff,smote+pca,accuracy,0.7988834422657952
bbb,asmt_abd,ff,smote+pca,fscore,0.007596310363537711
bbb,asmt_abd,ff,smote+pca,precision,0.04052098408104197
bbb,asmt_abd,ff,smote+pca,recall,0.0332541567695962
bbb,asmt_abi,ff,smote+pca,accuracy,0.7843137254901961
bbb,asmt_abi,ff,smote+pca,fscore,0.01701093560145808
bbb,asmt_abi,ff,smote+pca,precision,0.07258064516129033
bbb,asmt_abi,ff,smote+pca,recall,0.07482185273159145
bbb,stdnt_abd,ff,smote+pca,accuracy,0.8431372549019608
bbb,stdnt_abd,ff,smote+pca,fscore,0.009486380268329042
bbb,stdnt_abd,ff,smote+pca,precision,0.09210526315789473
bbb,stdnt_abd,ff,smote+pca,recall,0.04156769596199525
bbb,stdnt_abi,ff,smote+pca,accuracy,0.8492647058823529
bbb,stdnt_abi,ff,smote+pca,fscore,0.011911207363291824
bbb,stdnt_abi,ff,smote+pca,precision,0.12464589235127478
bbb,stdnt_abi,ff,smote+pca,recall,0.052256532066508314
bbb,asmt_stdnt_abd,ff,smote+pca,accuracy,0.8434095860566448
bbb,asmt_stdnt_abd,ff,smote+pca,fscore,0.0024479804161566705
bbb,asmt_stdnt_abd,ff,smote+pca,precision,0.027607361963190184
bbb,asmt_stdnt_abd,ff,smote+pca,recall,0.010688836104513063
bbb,asmt_stdnt_abi,ff,smote+pca,accuracy,0.8528050108932462
bbb,asmt_stdnt_abi,ff,smote+pca,fscore,0.0032626427406199023
bbb,asmt_stdnt_abi,ff,smote+pca,precision,0.045627376425855515
bbb,asmt_stdnt_abi,ff,smote+pca,recall,0.014251781472684086
