module,attributes,classifier,technique,metric,score
ccc,asmt,ff,smote+pca,accuracy,0.7621313035204567
ccc,asmt,ff,smote+pca,fscore,0.03367633302151544
ccc,asmt,ff,smote+pca,precision,0.09060402684563758
ccc,asmt,ff,smote+pca,recall,0.20610687022900764
ccc,stdnt,ff,smote+pca,accuracy,0.6609578179511576
ccc,stdnt,ff,smote+pca,fscore,0.0602891418025223
ccc,stdnt,ff,smote+pca,precision,0.09770687936191426
ccc,stdnt,ff,smote+pca,recall,0.37404580152671757
ccc,abd,ff,smote+pca,accuracy,0.7157204778517814
ccc,abd,ff,smote+pca,fscore,0.06959183673469388
ccc,abd,ff,smote+pca,precision,0.13191489361702127
ccc,abd,ff,smote+pca,recall,0.43384223918575066
ccc,abi,ff,smote+pca,accuracy,0.5825140078232371
ccc,abi,ff,smote+pca,fscore,0.1023171832681312
ccc,abi,ff,smote+pca,precision,0.12192206550322734
ccc,abi,ff,smote+pca,recall,0.648854961832061
ccc,asmt_stdnt,ff,smote+pca,accuracy,0.729992599640554
ccc,asmt_stdnt,ff,smote+pca,fscore,0.04787947580229079
ccc,asmt_stdnt,ff,smote+pca,precision,0.1039426523297491
ccc,asmt_stdnt,ff,smote+pca,recall,0.2951653944020356
ccc,asmt_abd,ff,smote+pca,accuracy,0.6698382492863939
ccc,asmt_abd,ff,smote+pca,fscore,0.08522267206477732
ccc,asmt_abd,ff,smote+pca,precision,0.13243158225857188
ccc,asmt_abd,ff,smote+pca,recall,0.5356234096692112
ccc,asmt_abi,ff,smote+pca,accuracy,0.5752193677978644
ccc,asmt_abi,ff,smote+pca,fscore,0.10478861951512723
ccc,asmt_abi,ff,smote+pca,precision,0.1222533894343151
ccc,asmt_abi,ff,smote+pca,recall,0.6653944020356234
ccc,stdnt_abd,ff,smote+pca,accuracy,0.7496564118828629
ccc,stdnt_abd,ff,smote+pca,fscore,0.05989129320069737
ccc,stdnt_abd,ff,smote+pca,precision,0.1348107109879963
ccc,stdnt_abd,ff,smote+pca,recall,0.37150127226463103
ccc,stdnt_abi,ff,smote+pca,accuracy,0.7867639285336716
ccc,stdnt_abi,ff,smote+pca,fscore,0.049690721649484536
ccc,stdnt_abi,ff,smote+pca,precision,0.14068884997081144
ccc,stdnt_abi,ff,smote+pca,recall,0.30661577608142493
ccc,asmt_stdnt_abd,ff,smote+pca,accuracy,0.7502907284068083
ccc,asmt_stdnt_abd,ff,smote+pca,fscore,0.058298265421328134
ccc,asmt_stdnt_abd,ff,smote+pca,precision,0.13246268656716417
ccc,asmt_stdnt_abd,ff,smote+pca,recall,0.361323155216285
ccc,asmt_stdnt_abi,ff,smote+pca,accuracy,0.7388730309757903
ccc,asmt_stdnt_abi,ff,smote+pca,fscore,0.06386245010746085
ccc,asmt_stdnt_abi,ff,smote+pca,precision,0.13518197573656845
ccc,asmt_stdnt_abi,ff,smote+pca,recall,0.3969465648854962
