module,attributes,classifier,technique,metric,score
fff,asmt,ff,smote+pca,accuracy,0.676088667366212
fff,asmt,ff,smote+pca,fscore,0.02870071105365223
fff,asmt,ff,smote+pca,precision,0.043291731669266774
fff,asmt,ff,smote+pca,recall,0.8705882352941177
fff,stdnt,ff,smote+pca,accuracy,0.7672481636935992
fff,stdnt,ff,smote+pca,fscore,0.011735558742991264
fff,stdnt,ff,smote+pca,precision,0.025906735751295335
fff,stdnt,ff,smote+pca,recall,0.35294117647058826
fff,abd,ff,smote+pca,accuracy,0.9204485834207765
fff,abd,ff,smote+pca,fscore,0.013031013812874642
fff,abd,ff,smote+pca,precision,0.08635578583765112
fff,abd,ff,smote+pca,recall,0.39215686274509803
fff,abi,ff,smote+pca,accuracy,0.9438614900314796
fff,abi,ff,smote+pca,fscore,0.011735558742991264
fff,abi,ff,smote+pca,precision,0.11523687580025609
fff,abi,ff,smote+pca,recall,0.35294117647058826
fff,asmt_stdnt,ff,smote+pca,accuracy,0.9021511017838405
fff,asmt_stdnt,ff,smote+pca,fscore,0.008749591903362716
fff,asmt_stdnt,ff,smote+pca,precision,0.04886943836615609
fff,asmt_stdnt,ff,smote+pca,recall,0.2627450980392157
fff,asmt_abd,ff,smote+pca,accuracy,0.9256295907660022
fff,asmt_abd,ff,smote+pca,fscore,0.01251303441084463
fff,asmt_abd,ff,smote+pca,precision,0.0896358543417367
fff,asmt_abd,ff,smote+pca,recall,0.3764705882352941
fff,asmt_abi,ff,smote+pca,accuracy,0.9452387198321092
fff,asmt_abi,ff,smote+pca,fscore,0.01316046647990097
fff,asmt_abi,ff,smote+pca,precision,0.12915601023017903
fff,asmt_abi,ff,smote+pca,recall,0.396078431372549
fff,stdnt_abd,ff,smote+pca,accuracy,0.9437303252885625
fff,stdnt_abd,ff,smote+pca,fscore,0.009789205769105266
fff,stdnt_abd,ff,smote+pca,precision,0.099601593625498
fff,stdnt_abd,ff,smote+pca,recall,0.29411764705882354
fff,stdnt_abi,ff,smote+pca,accuracy,0.9563221406086044
fff,stdnt_abi,ff,smote+pca,fscore,0.007318348144276007
fff,stdnt_abi,ff,smote+pca,precision,0.10707456978967496
fff,stdnt_abi,ff,smote+pca,recall,0.2196078431372549
fff,asmt_stdnt_abd,ff,smote+pca,accuracy,0.9517969569779643
fff,asmt_stdnt_abd,ff,smote+pca,fscore,0.006927651787464872
fff,asmt_stdnt_abd,ff,smote+pca,precision,0.09044368600682594
fff,asmt_stdnt_abd,ff,smote+pca,recall,0.20784313725490197
fff,asmt_stdnt_abi,ff,smote+pca,accuracy,0.9476652675760755
fff,asmt_stdnt_abi,ff,smote+pca,fscore,0.009399477806788513
fff,asmt_stdnt_abi,ff,smote+pca,precision,0.10480349344978165
fff,asmt_stdnt_abi,ff,smote+pca,recall,0.2823529411764706
