module,attributes,classifier,technique,metric,score
fff,asmt,ff,smote,accuracy,0.676088667366212
fff,asmt,ff,smote,fscore,0.02870071105365223
fff,asmt,ff,smote,precision,0.043291731669266774
fff,asmt,ff,smote,recall,0.8705882352941177
fff,stdnt,ff,smote,accuracy,0.7945304302203567
fff,stdnt,ff,smote,fscore,0.006927651787464872
fff,stdnt,ff,smote,precision,0.017761394101876677
fff,stdnt,ff,smote,recall,0.20784313725490197
fff,abd,ff,smote,accuracy,0.9382869884575026
fff,abd,ff,smote,fscore,0.010697977821265492
fff,abd,ff,smote,precision,0.09647058823529411
fff,abd,ff,smote,recall,0.3215686274509804
fff,abi,ff,smote,accuracy,0.9271379853095488
fff,abi,ff,smote,fscore,0.009659313405560631
fff,abi,ff,smote,precision,0.07370517928286853
fff,abi,ff,smote,recall,0.2901960784313726
fff,asmt_stdnt,ff,smote,accuracy,0.9125131164742917
fff,asmt_stdnt,ff,smote,fscore,0.006276150627615063
fff,asmt_stdnt,ff,smote,precision,0.04085106382978723
fff,asmt_stdnt,ff,smote,recall,0.18823529411764706
fff,asmt_abd,ff,smote,accuracy,0.9365818467995802
fff,asmt_abd,ff,smote,fscore,0.013289902280130293
fff,asmt_abd,ff,smote,precision,0.11135371179039301
fff,asmt_abd,ff,smote,recall,0.4
fff,asmt_abi,ff,smote,accuracy,0.9462224554039874
fff,asmt_abi,ff,smote,fscore,0.013678108512994202
fff,asmt_abi,ff,smote,precision,0.13548387096774195
fff,asmt_abi,ff,smote,recall,0.4117647058823529
fff,stdnt_abd,ff,smote,accuracy,0.9450419727177335
fff,stdnt_abd,ff,smote,fscore,0.007188133045808011
fff,stdnt_abd,ff,smote,precision,0.07936507936507936
fff,stdnt_abd,ff,smote,recall,0.21568627450980393
fff,stdnt_abi,ff,smote,accuracy,0.9613719832109129
fff,stdnt_abi,ff,smote,fscore,0.006015430887929907
fff,stdnt_abi,ff,smote,precision,0.107981220657277
fff,stdnt_abi,ff,smote,recall,0.1803921568627451
fff,asmt_stdnt_abd,ff,smote,accuracy,0.9617654774396642
fff,asmt_stdnt_abd,ff,smote,fscore,0.004710808688824915
fff,asmt_stdnt_abd,ff,smote,precision,0.09
fff,asmt_stdnt_abd,ff,smote,recall,0.1411764705882353
fff,asmt_stdnt_abi,ff,smote,accuracy,0.9636673662119623
fff,asmt_stdnt_abi,ff,smote,fscore,0.005102374566625237
fff,asmt_stdnt_abi,ff,smote,precision,0.10344827586206896
fff,asmt_stdnt_abi,ff,smote,recall,0.15294117647058825
