module,attributes,classifier,technique,metric,score
ddd,asmt,knn,base,accuracy,0.9348480288895576
ddd,asmt,knn,base,fscore,0.0
ddd,asmt,knn,base,precision,0.0
ddd,asmt,knn,base,recall,0.0
ddd,stdnt,knn,base,accuracy,0.9103219981944026
ddd,stdnt,knn,base,fscore,0.0030048076923076925
ddd,stdnt,knn,base,precision,0.0546448087431694
ddd,stdnt,knn,base,recall,0.02309468822170901
ddd,abd,knn,base,accuracy,0.9103219981944026
ddd,abd,knn,base,fscore,0.011072871464910969
ddd,abd,knn,base,precision,0.15611814345991562
ddd,abd,knn,base,recall,0.08545034642032333
ddd,abi,knn,base,accuracy,0.9077640686126992
ddd,abi,knn,base,fscore,0.011965300628178284
ddd,abi,knn,base,precision,0.15384615384615385
ddd,abi,knn,base,recall,0.09237875288683604
ddd,asmt_stdnt,knn,base,accuracy,0.916190189587722
ddd,asmt_stdnt,knn,base,fscore,0.0065986802639472104
ddd,asmt_stdnt,knn,base,precision,0.13095238095238096
ddd,asmt_stdnt,knn,base,recall,0.05080831408775981
ddd,asmt_abd,knn,base,accuracy,0.9024977430033104
ddd,asmt_abd,knn,base,fscore,0.022318107424490405
ddd,asmt_abd,knn,base,precision,0.2054794520547945
ddd,asmt_abd,knn,base,recall,0.17321016166281755
ddd,asmt_abi,knn,base,accuracy,0.8943725549202528
ddd,asmt_abi,knn,base,fscore,0.02818572912030856
ddd,asmt_abi,knn,base,precision,0.2069716775599129
ddd,asmt_abi,knn,base,recall,0.21939953810623555
ddd,stdnt_abd,knn,base,accuracy,0.9059584712609088
ddd,stdnt_abd,knn,base,fscore,0.011965300628178284
ddd,stdnt_abd,knn,base,precision,0.14705882352941174
ddd,stdnt_abd,knn,base,recall,0.09237875288683604
ddd,stdnt_abi,knn,base,accuracy,0.9121275955461932
ddd,stdnt_abi,knn,base,fscore,0.0077937649880095924
ddd,stdnt_abi,knn,base,precision,0.12807881773399016
ddd,stdnt_abi,knn,base,recall,0.060046189376443425
ddd,asmt_stdnt_abd,knn,base,accuracy,0.9083659343966296
ddd,asmt_stdnt_abd,knn,base,fscore,0.013747758517632994
ddd,asmt_stdnt_abd,knn,base,precision,0.17164179104477612
ddd,asmt_stdnt_abd,knn,base,recall,0.10623556581986143
ddd,asmt_stdnt_abi,knn,base,accuracy,0.9140836593439664
ddd,asmt_stdnt_abi,knn,base,fscore,0.012856929286888922
ddd,asmt_stdnt_abi,knn,base,precision,0.19196428571428573
ddd,asmt_stdnt_abi,knn,base,recall,0.09930715935334873
