module,attributes,classifier,technique,metric,score
eee,asmt,knn,base,accuracy,0.9853990914990266
eee,asmt,knn,base,fscore,0.0
eee,asmt,knn,base,precision,0.0
eee,asmt,knn,base,recall,0.0
eee,stdnt,knn,base,accuracy,0.9853990914990266
eee,stdnt,knn,base,fscore,0.0
eee,stdnt,knn,base,precision,0.0
eee,stdnt,knn,base,recall,0.0
eee,abd,knn,base,accuracy,0.9847501622323168
eee,abd,knn,base,fscore,0.0
eee,abd,knn,base,precision,0.0
eee,abd,knn,base,recall,0.0
eee,abi,knn,base,accuracy,0.9847501622323168
eee,abi,knn,base,fscore,0.0
eee,abi,knn,base,precision,0.0
eee,abi,knn,base,recall,0.0
eee,asmt_stdnt,knn,base,accuracy,0.9837767683322518
eee,asmt_stdnt,knn,base,fscore,0.0
eee,asmt_stdnt,knn,base,precision,0.0
eee,asmt_stdnt,knn,base,recall,0.0
eee,asmt_abd,knn,base,accuracy,0.983127839065542
eee,asmt_abd,knn,base,fscore,0.0006487187804086928
eee,asmt_abd,knn,base,precision,0.1111111111111111
eee,asmt_abd,knn,base,recall,0.022222222222222227
eee,asmt_abi,knn,base,accuracy,0.9844256975989616
eee,asmt_abi,knn,base,fscore,0.0
eee,asmt_abi,knn,base,precision,0.0
eee,asmt_abi,knn,base,recall,0.0
eee,stdnt_abd,knn,base,accuracy,0.9850746268656716
eee,stdnt_abd,knn,base,fscore,0.0
eee,stdnt_abd,knn,base,precision,0.0
eee,stdnt_abd,knn,base,recall,0.0
eee,stdnt_abi,knn,base,accuracy,0.983127839065542
eee,stdnt_abi,knn,base,fscore,0.0
eee,stdnt_abi,knn,base,precision,0.0
eee,stdnt_abi,knn,base,recall,0.0
eee,asmt_stdnt_abd,knn,base,accuracy,0.9837767683322518
eee,asmt_stdnt_abd,knn,base,fscore,0.0
eee,asmt_stdnt_abd,knn,base,precision,0.0
eee,asmt_stdnt_abd,knn,base,recall,0.0
eee,asmt_stdnt_abi,knn,base,accuracy,0.9837767683322518
eee,asmt_stdnt_abi,knn,base,fscore,0.0
eee,asmt_stdnt_abi,knn,base,precision,0.0
eee,asmt_stdnt_abi,knn,base,recall,0.0
