module,attributes,classifier,technique,metric,score
ddd,asmt,knn,ae,accuracy,0.9348480288895576
ddd,asmt,knn,ae,fscore,0.0
ddd,asmt,knn,ae,precision,0.0
ddd,asmt,knn,ae,recall,0.0
ddd,stdnt,knn,ae,accuracy,0.9012940114354498
ddd,stdnt,knn,ae,fscore,0.005701425356339085
ddd,stdnt,knn,ae,precision,0.07279693486590039
ddd,stdnt,knn,ae,recall,0.04387990762124711
ddd,abd,knn,ae,accuracy,0.9298826361721336
ddd,abd,knn,ae,fscore,0.0006016847172081829
ddd,abd,knn,ae,precision,0.054054054054054064
ddd,abd,knn,ae,recall,0.0046189376443418004
ddd,abi,knn,ae,accuracy,0.9178453204935301
ddd,abi,knn,ae,fscore,0.0033047919483250713
ddd,abi,knn,ae,precision,0.08148148148148149
ddd,abi,knn,ae,recall,0.02540415704387991
ddd,asmt_stdnt,knn,ae,accuracy,0.9172434547095998
ddd,asmt_stdnt,knn,ae,fscore,0.00270473328324568
ddd,asmt_stdnt,knn,ae,precision,0.06666666666666668
ddd,asmt_stdnt,knn,ae,recall,0.020785219399538105
ddd,asmt_abd,knn,ae,accuracy,0.9091182666265424
ddd,asmt_abd,knn,ae,fscore,0.012262599072827876
ddd,asmt_abd,knn,ae,precision,0.16205533596837945
ddd,asmt_abd,knn,ae,recall,0.09468822170900693
ddd,asmt_abi,knn,ae,accuracy,0.8966295516099909
ddd,asmt_abi,knn,ae,fscore,0.016415460379047904
ddd,asmt_abi,knn,ae,precision,0.1510989010989011
ddd,asmt_abi,knn,ae,recall,0.12702078521939955
ddd,stdnt_abd,knn,ae,accuracy,0.9222088474270238
ddd,stdnt_abd,knn,ae,fscore,0.00270473328324568
ddd,stdnt_abd,knn,ae,precision,0.08823529411764706
ddd,stdnt_abd,knn,ae,recall,0.020785219399538105
ddd,stdnt_abi,knn,ae,accuracy,0.9228107132109541
ddd,stdnt_abi,knn,ae,fscore,0.0021043138433789266
ddd,stdnt_abi,knn,ae,precision,0.07446808510638298
ddd,stdnt_abi,knn,ae,recall,0.016166281755196306
ddd,asmt_stdnt_abd,knn,ae,accuracy,0.9137827264520012
ddd,asmt_stdnt_abd,knn,ae,fscore,0.00510280654359898
ddd,asmt_stdnt_abd,knn,ae,precision,0.09770114942528736
ddd,asmt_stdnt_abd,knn,ae,recall,0.03926096997690531
ddd,asmt_stdnt_abi,knn,ae,accuracy,0.91844718627746
ddd,asmt_stdnt_abi,knn,ae,fscore,0.0042042042042042035
ddd,asmt_stdnt_abi,knn,ae,precision,0.1021897810218978
ddd,asmt_stdnt_abi,knn,ae,recall,0.03233256351039261
