module,attributes,classifier,technique,metric,score
fff,asmt,knn,ae,accuracy,0.9832764952780692
fff,asmt,knn,ae,fscore,0.0
fff,asmt,knn,ae,precision,0.0
fff,asmt,knn,ae,recall,0.0
fff,stdnt,knn,ae,accuracy,0.9754066107030429
fff,stdnt,knn,ae,fscore,0.0001311561413863204
fff,stdnt,knn,ae,precision,0.008196721311475409
fff,stdnt,knn,ae,recall,0.0039215686274509795
fff,abd,knn,ae,accuracy,0.9818336831059812
fff,abd,knn,ae,fscore,0.0001311561413863204
fff,abd,knn,ae,precision,0.04166666666666666
fff,abd,knn,ae,recall,0.0039215686274509795
fff,abi,knn,ae,accuracy,0.9832109129066108
fff,abi,knn,ae,fscore,0.0001311561413863204
fff,abi,knn,ae,precision,0.3333333333333333
fff,abi,knn,ae,recall,0.0039215686274509795
fff,asmt_stdnt,knn,ae,accuracy,0.9817681007345226
fff,asmt_stdnt,knn,ae,fscore,0.0
fff,asmt_stdnt,knn,ae,precision,0.0
fff,asmt_stdnt,knn,ae,recall,0.0
fff,asmt_abd,knn,ae,accuracy,0.982423924449108
fff,asmt_abd,knn,ae,fscore,0.0001311561413863204
fff,asmt_abd,knn,ae,precision,0.06666666666666668
fff,asmt_abd,knn,ae,recall,0.0039215686274509795
fff,asmt_abi,knn,ae,accuracy,0.9823583420776496
fff,asmt_abi,knn,ae,fscore,0.0001311561413863204
fff,asmt_abi,knn,ae,precision,0.0625
fff,asmt_abi,knn,ae,recall,0.0039215686274509795
fff,stdnt_abd,knn,ae,accuracy,0.9832764952780692
fff,stdnt_abd,knn,ae,fscore,0.0
fff,stdnt_abd,knn,ae,precision,0.0
fff,stdnt_abd,knn,ae,recall,0.0
fff,stdnt_abi,knn,ae,accuracy,0.9832764952780692
fff,stdnt_abi,knn,ae,fscore,0.0
fff,stdnt_abi,knn,ae,precision,0.0
fff,stdnt_abi,knn,ae,recall,0.0
fff,asmt_stdnt_abd,knn,ae,accuracy,0.9827518363064008
fff,asmt_stdnt_abd,knn,ae,fscore,0.0001311561413863204
fff,asmt_stdnt_abd,knn,ae,precision,0.1
fff,asmt_stdnt_abd,knn,ae,recall,0.0039215686274509795
fff,asmt_stdnt_abi,knn,ae,accuracy,0.9827518363064008
fff,asmt_stdnt_abi,knn,ae,fscore,0.0005245213742460005
fff,asmt_stdnt_abi,knn,ae,precision,0.25
fff,asmt_stdnt_abi,knn,ae,recall,0.015686274509803918
