module,attributes,classifier,technique,metric,score
aaa,asmt,knn,kmeans,accuracy,0.9661016949152542
aaa,asmt,knn,kmeans,fscore,0.0
aaa,asmt,knn,kmeans,precision,0.0
aaa,asmt,knn,kmeans,recall,0.0
aaa,stdnt,knn,kmeans,accuracy,0.9661016949152542
aaa,stdnt,knn,kmeans,fscore,0.0
aaa,stdnt,knn,kmeans,precision,0.0
aaa,stdnt,knn,kmeans,recall,0.0
aaa,abd,knn,kmeans,accuracy,0.9661016949152542
aaa,abd,knn,kmeans,fscore,0.0
aaa,abd,knn,kmeans,precision,0.0
aaa,abd,knn,kmeans,recall,0.0
aaa,abi,knn,kmeans,accuracy,0.9640677966101696
aaa,abi,knn,kmeans,fscore,0.0
aaa,abi,knn,kmeans,precision,0.0
aaa,abi,knn,kmeans,recall,0.0
aaa,asmt_stdnt,knn,kmeans,accuracy,0.9654237288135592
aaa,asmt_stdnt,knn,kmeans,fscore,0.0
aaa,asmt_stdnt,knn,kmeans,precision,0.0
aaa,asmt_stdnt,knn,kmeans,recall,0.0
aaa,asmt_abd,knn,kmeans,accuracy,0.9661016949152542
aaa,asmt_abd,knn,kmeans,fscore,0.0
aaa,asmt_abd,knn,kmeans,precision,0.0
aaa,asmt_abd,knn,kmeans,recall,0.0
aaa,asmt_abi,knn,kmeans,accuracy,0.9654237288135592
aaa,asmt_abi,knn,kmeans,fscore,0.0
aaa,asmt_abi,knn,kmeans,precision,0.0
aaa,asmt_abi,knn,kmeans,recall,0.0
aaa,stdnt_abd,knn,kmeans,accuracy,0.9667796610169492
aaa,stdnt_abd,knn,kmeans,fscore,0.0013550135501355016
aaa,stdnt_abd,knn,kmeans,precision,1.0
aaa,stdnt_abd,knn,kmeans,recall,0.02
aaa,stdnt_abi,knn,kmeans,accuracy,0.9661016949152542
aaa,stdnt_abi,knn,kmeans,fscore,0.0
aaa,stdnt_abi,knn,kmeans,precision,0.0
aaa,stdnt_abi,knn,kmeans,recall,0.0
aaa,asmt_stdnt_abd,knn,kmeans,accuracy,0.9667796610169492
aaa,asmt_stdnt_abd,knn,kmeans,fscore,0.0013550135501355016
aaa,asmt_stdnt_abd,knn,kmeans,precision,1.0
aaa,asmt_stdnt_abd,knn,kmeans,recall,0.02
aaa,asmt_stdnt_abi,knn,kmeans,accuracy,0.9654237288135592
aaa,asmt_stdnt_abi,knn,kmeans,fscore,0.0
aaa,asmt_stdnt_abi,knn,kmeans,precision,0.0
aaa,asmt_stdnt_abi,knn,kmeans,recall,0.0
