module,attributes,classifier,technique,metric,score
bbb,asmt,knn,kmeans,accuracy,0.8853485838779956
bbb,asmt,knn,kmeans,fscore,0.0
bbb,asmt,knn,kmeans,precision,0.0
bbb,asmt,knn,kmeans,recall,0.0
bbb,stdnt,knn,kmeans,accuracy,0.8853485838779956
bbb,stdnt,knn,kmeans,fscore,0.0
bbb,stdnt,knn,kmeans,precision,0.0
bbb,stdnt,knn,kmeans,recall,0.0
bbb,abd,knn,kmeans,accuracy,0.883442265795207
bbb,abd,knn,kmeans,fscore,0.0
bbb,abd,knn,kmeans,precision,0.0
bbb,abd,knn,kmeans,recall,0.0
bbb,abi,knn,kmeans,accuracy,0.8850762527233116
bbb,abi,knn,kmeans,fscore,0.0
bbb,abi,knn,kmeans,precision,0.0
bbb,abi,knn,kmeans,recall,0.0
bbb,asmt_stdnt,knn,kmeans,accuracy,0.8846677559912854
bbb,asmt_stdnt,knn,kmeans,fscore,0.0
bbb,asmt_stdnt,knn,kmeans,precision,0.0
bbb,asmt_stdnt,knn,kmeans,recall,0.0
bbb,asmt_abd,knn,kmeans,accuracy,0.8820806100217865
bbb,asmt_abd,knn,kmeans,fscore,0.0
bbb,asmt_abd,knn,kmeans,precision,0.0
bbb,asmt_abd,knn,kmeans,recall,0.0
bbb,asmt_abi,knn,kmeans,accuracy,0.8788126361655774
bbb,asmt_abi,knn,kmeans,fscore,0.0002722940776038121
bbb,asmt_abi,knn,kmeans,precision,0.02
bbb,asmt_abi,knn,kmeans,recall,0.0011876484560570072
bbb,stdnt_abd,knn,kmeans,accuracy,0.8856209150326797
bbb,stdnt_abd,knn,kmeans,fscore,0.0005445140212360467
bbb,stdnt_abd,knn,kmeans,precision,1.0
bbb,stdnt_abd,knn,kmeans,recall,0.0023752969121140144
bbb,stdnt_abi,knn,kmeans,accuracy,0.8843954248366013
bbb,stdnt_abi,knn,kmeans,fscore,0.0005445140212360467
bbb,stdnt_abi,knn,kmeans,precision,0.18181818181818185
bbb,stdnt_abi,knn,kmeans,recall,0.0023752969121140144
bbb,asmt_stdnt_abd,knn,kmeans,accuracy,0.8845315904139434
bbb,asmt_stdnt_abd,knn,kmeans,fscore,0.0
bbb,asmt_stdnt_abd,knn,kmeans,precision,0.0
bbb,asmt_stdnt_abd,knn,kmeans,recall,0.0
bbb,asmt_stdnt_abi,knn,kmeans,accuracy,0.8838507625272332
bbb,asmt_stdnt_abi,knn,kmeans,fscore,0.0
bbb,asmt_stdnt_abi,knn,kmeans,precision,0.0
bbb,asmt_stdnt_abi,knn,kmeans,recall,0.0
