module,attributes,classifier,technique,metric,score
eee,asmt,knn,kmeans,accuracy,0.9853990914990266
eee,asmt,knn,kmeans,fscore,0.0
eee,asmt,knn,kmeans,precision,0.0
eee,asmt,knn,kmeans,recall,0.0
eee,stdnt,knn,kmeans,accuracy,0.9853990914990266
eee,stdnt,knn,kmeans,fscore,0.0
eee,stdnt,knn,kmeans,precision,0.0
eee,stdnt,knn,kmeans,recall,0.0
eee,abd,knn,kmeans,accuracy,0.9847501622323168
eee,abd,knn,kmeans,fscore,0.0
eee,abd,knn,kmeans,precision,0.0
eee,abd,knn,kmeans,recall,0.0
eee,abi,knn,kmeans,accuracy,0.9847501622323168
eee,abi,knn,kmeans,fscore,0.0
eee,abi,knn,kmeans,precision,0.0
eee,abi,knn,kmeans,recall,0.0
eee,asmt_stdnt,knn,kmeans,accuracy,0.982478909798832
eee,asmt_stdnt,knn,kmeans,fscore,0.0
eee,asmt_stdnt,knn,kmeans,precision,0.0
eee,asmt_stdnt,knn,kmeans,recall,0.0
eee,asmt_abd,knn,kmeans,accuracy,0.982478909798832
eee,asmt_abd,knn,kmeans,fscore,0.0006487187804086928
eee,asmt_abd,knn,kmeans,precision,0.09090909090909093
eee,asmt_abd,knn,kmeans,recall,0.022222222222222227
eee,asmt_abi,knn,kmeans,accuracy,0.9844256975989616
eee,asmt_abi,knn,kmeans,fscore,0.0
eee,asmt_abi,knn,kmeans,precision,0.0
eee,asmt_abi,knn,kmeans,recall,0.0
eee,stdnt_abd,knn,kmeans,accuracy,0.9847501622323168
eee,stdnt_abd,knn,kmeans,fscore,0.0
eee,stdnt_abd,knn,kmeans,precision,0.0
eee,stdnt_abd,knn,kmeans,recall,0.0
eee,stdnt_abi,knn,kmeans,accuracy,0.983127839065542
eee,stdnt_abi,knn,kmeans,fscore,0.0
eee,stdnt_abi,knn,kmeans,precision,0.0
eee,stdnt_abi,knn,kmeans,recall,0.0
eee,asmt_stdnt_abd,knn,kmeans,accuracy,0.9834523036988968
eee,asmt_stdnt_abd,knn,kmeans,fscore,0.0
eee,asmt_stdnt_abd,knn,kmeans,precision,0.0
eee,asmt_stdnt_abd,knn,kmeans,recall,0.0
eee,asmt_stdnt_abi,knn,kmeans,accuracy,0.9837767683322518
eee,asmt_stdnt_abi,knn,kmeans,fscore,0.0
eee,asmt_stdnt_abi,knn,kmeans,precision,0.0
eee,asmt_stdnt_abi,knn,kmeans,recall,0.0
