module,attributes,classifier,technique,metric,score
fff,asmt,knn,kmeans,accuracy,0.9832764952780692
fff,asmt,knn,kmeans,fscore,0.0
fff,asmt,knn,kmeans,precision,0.0
fff,asmt,knn,kmeans,recall,0.0
fff,stdnt,knn,kmeans,accuracy,0.9832764952780692
fff,stdnt,knn,kmeans,fscore,0.0
fff,stdnt,knn,kmeans,precision,0.0
fff,stdnt,knn,kmeans,recall,0.0
fff,abd,knn,kmeans,accuracy,0.9815057712486884
fff,abd,knn,kmeans,fscore,0.0007866789038940607
fff,abd,knn,kmeans,precision,0.15384615384615385
fff,abd,knn,kmeans,recall,0.023529411764705882
fff,abi,knn,kmeans,accuracy,0.9815057712486884
fff,abi,knn,kmeans,fscore,0.0002622950819672132
fff,abi,knn,kmeans,precision,0.06451612903225806
fff,abi,knn,kmeans,recall,0.007843137254901959
fff,asmt_stdnt,knn,kmeans,accuracy,0.9813090241343126
fff,asmt_stdnt,knn,kmeans,fscore,0.0001311561413863204
fff,asmt_stdnt,knn,kmeans,precision,0.03125
fff,asmt_stdnt,knn,kmeans,recall,0.0039215686274509795
fff,asmt_abd,knn,kmeans,accuracy,0.9818336831059812
fff,asmt_abd,knn,kmeans,fscore,0.0019655375745266327
fff,asmt_abd,knn,kmeans,precision,0.28846153846153844
fff,asmt_abd,knn,kmeans,recall,0.05882352941176471
fff,asmt_abi,knn,kmeans,accuracy,0.9819648478488984
fff,asmt_abi,knn,kmeans,fscore,0.0009177318911832188
fff,asmt_abi,knn,kmeans,precision,0.2058823529411765
fff,asmt_abi,knn,kmeans,recall,0.027450980392156862
fff,stdnt_abd,knn,kmeans,accuracy,0.9822271773347324
fff,stdnt_abd,knn,kmeans,fscore,0.0003934168251262213
fff,stdnt_abd,knn,kmeans,precision,0.13636363636363635
fff,stdnt_abd,knn,kmeans,recall,0.011764705882352941
fff,stdnt_abi,knn,kmeans,accuracy,0.9824895068205668
fff,stdnt_abi,knn,kmeans,fscore,0.0001311561413863204
fff,stdnt_abi,knn,kmeans,precision,0.07142857142857142
fff,stdnt_abi,knn,kmeans,recall,0.0039215686274509795
fff,asmt_stdnt_abd,knn,kmeans,accuracy,0.9813090241343126
fff,asmt_stdnt_abd,knn,kmeans,fscore,0.001048767697954903
fff,asmt_stdnt_abd,knn,kmeans,precision,0.17391304347826084
fff,asmt_stdnt_abd,knn,kmeans,recall,0.031372549019607836
fff,asmt_stdnt_abi,knn,kmeans,accuracy,0.9817681007345226
fff,asmt_stdnt_abi,knn,kmeans,fscore,0.0007866789038940607
fff,asmt_stdnt_abi,knn,kmeans,precision,0.17142857142857146
fff,asmt_stdnt_abi,knn,kmeans,recall,0.023529411764705882
