module,attributes,classifier,technique,metric,score
ggg,asmt,knn,kmeans,accuracy,0.977762494268684
ggg,asmt,knn,kmeans,fscore,0.0
ggg,asmt,knn,kmeans,precision,0.0
ggg,asmt,knn,kmeans,recall,0.0
ggg,stdnt,knn,kmeans,accuracy,0.977762494268684
ggg,stdnt,knn,kmeans,fscore,0.0
ggg,stdnt,knn,kmeans,precision,0.0
ggg,stdnt,knn,kmeans,recall,0.0
ggg,abd,knn,kmeans,accuracy,0.9770747363594682
ggg,abd,knn,kmeans,fscore,0.0
ggg,abd,knn,kmeans,precision,0.0
ggg,abd,knn,kmeans,recall,0.0
ggg,abi,knn,kmeans,accuracy,0.9779917469050894
ggg,abi,knn,kmeans,fscore,0.0013745704467353953
ggg,abi,knn,kmeans,precision,0.6
ggg,abi,knn,kmeans,recall,0.030927835051546393
ggg,asmt_stdnt,knn,kmeans,accuracy,0.9775332416322788
ggg,asmt_stdnt,knn,kmeans,fscore,0.0
ggg,asmt_stdnt,knn,kmeans,precision,0.0
ggg,asmt_stdnt,knn,kmeans,recall,0.0
ggg,asmt_abd,knn,kmeans,accuracy,0.9773039889958736
ggg,asmt_abd,knn,kmeans,fscore,0.00045840018336007336
ggg,asmt_abd,knn,kmeans,precision,0.25
ggg,asmt_abd,knn,kmeans,recall,0.010309278350515464
ggg,asmt_abi,knn,kmeans,accuracy,0.9779917469050894
ggg,asmt_abi,knn,kmeans,fscore,0.0009165902841429881
ggg,asmt_abi,knn,kmeans,precision,0.6666666666666666
ggg,asmt_abi,knn,kmeans,recall,0.020618556701030927
ggg,stdnt_abd,knn,kmeans,accuracy,0.9770747363594682
ggg,stdnt_abd,knn,kmeans,fscore,0.0
ggg,stdnt_abd,knn,kmeans,precision,0.0
ggg,stdnt_abd,knn,kmeans,recall,0.0
ggg,stdnt_abi,knn,kmeans,accuracy,0.977762494268684
ggg,stdnt_abi,knn,kmeans,fscore,0.0
ggg,stdnt_abi,knn,kmeans,precision,0.0
ggg,stdnt_abi,knn,kmeans,recall,0.0
ggg,asmt_stdnt_abd,knn,kmeans,accuracy,0.9766162310866576
ggg,asmt_stdnt_abd,knn,kmeans,fscore,0.0
ggg,asmt_stdnt_abd,knn,kmeans,precision,0.0
ggg,asmt_stdnt_abd,knn,kmeans,recall,0.0
ggg,asmt_stdnt_abi,knn,kmeans,accuracy,0.9775332416322788
ggg,asmt_stdnt_abi,knn,kmeans,fscore,0.0
ggg,asmt_stdnt_abi,knn,kmeans,precision,0.0
ggg,asmt_stdnt_abi,knn,kmeans,recall,0.0
