module,attributes,classifier,technique,metric,score
aaa,asmt,knn,pca,accuracy,0.9661016949152542
aaa,asmt,knn,pca,fscore,0.0
aaa,asmt,knn,pca,precision,0.0
aaa,asmt,knn,pca,recall,0.0
aaa,stdnt,knn,pca,accuracy,0.9661016949152542
aaa,stdnt,knn,pca,fscore,0.0013550135501355016
aaa,stdnt,knn,pca,precision,0.5
aaa,stdnt,knn,pca,recall,0.02
aaa,abd,knn,pca,accuracy,0.9661016949152542
aaa,abd,knn,pca,fscore,0.0
aaa,abd,knn,pca,precision,0.0
aaa,abd,knn,pca,recall,0.0
aaa,abi,knn,pca,accuracy,0.9654237288135592
aaa,abi,knn,pca,fscore,0.0013550135501355016
aaa,abi,knn,pca,precision,0.3333333333333333
aaa,abi,knn,pca,recall,0.02
aaa,asmt_stdnt,knn,pca,accuracy,0.9654237288135592
aaa,asmt_stdnt,knn,pca,fscore,0.0
aaa,asmt_stdnt,knn,pca,precision,0.0
aaa,asmt_stdnt,knn,pca,recall,0.0
aaa,asmt_abd,knn,pca,accuracy,0.9661016949152542
aaa,asmt_abd,knn,pca,fscore,0.0
aaa,asmt_abd,knn,pca,precision,0.0
aaa,asmt_abd,knn,pca,recall,0.0
aaa,asmt_abi,knn,pca,accuracy,0.9654237288135592
aaa,asmt_abi,knn,pca,fscore,0.0
aaa,asmt_abi,knn,pca,precision,0.0
aaa,asmt_abi,knn,pca,recall,0.0
aaa,stdnt_abd,knn,pca,accuracy,0.9661016949152542
aaa,stdnt_abd,knn,pca,fscore,0.0
aaa,stdnt_abd,knn,pca,precision,0.0
aaa,stdnt_abd,knn,pca,recall,0.0
aaa,stdnt_abi,knn,pca,accuracy,0.9661016949152542
aaa,stdnt_abi,knn,pca,fscore,0.0
aaa,stdnt_abi,knn,pca,precision,0.0
aaa,stdnt_abi,knn,pca,recall,0.0
aaa,asmt_stdnt_abd,knn,pca,accuracy,0.9654237288135592
aaa,asmt_stdnt_abd,knn,pca,fscore,0.0
aaa,asmt_stdnt_abd,knn,pca,precision,0.0
aaa,asmt_stdnt_abd,knn,pca,recall,0.0
aaa,asmt_stdnt_abi,knn,pca,accuracy,0.9647457627118644
aaa,asmt_stdnt_abi,knn,pca,fscore,0.0
aaa,asmt_stdnt_abi,knn,pca,precision,0.0
aaa,asmt_stdnt_abi,knn,pca,recall,0.0
