module,attributes,classifier,technique,metric,score
ccc,asmt,knn,pca,accuracy,0.9169045353631462
ccc,asmt,knn,pca,fscore,0.0
ccc,asmt,knn,pca,precision,0.0
ccc,asmt,knn,pca,recall,0.0
ccc,stdnt,knn,pca,accuracy,0.8775769108785284
ccc,stdnt,knn,pca,fscore,0.011770888071466106
ccc,stdnt,knn,pca,precision,0.11570247933884298
ccc,stdnt,knn,pca,recall,0.07124681933842239
ccc,abd,knn,pca,accuracy,0.8974521619621525
ccc,abd,knn,pca,fscore,0.007373077733305245
ccc,abd,knn,pca,precision,0.1377952755905512
ccc,abd,knn,pca,recall,0.04452926208651401
ccc,abi,knn,pca,accuracy,0.8870916587377101
ccc,abi,knn,pca,fscore,0.010097822656989587
ccc,abi,knn,pca,precision,0.12698412698412698
ccc,abi,knn,pca,recall,0.06106870229007633
ccc,asmt_stdnt,knn,pca,accuracy,0.9009409028438524
ccc,asmt_stdnt,knn,pca,fscore,0.0075829383886255935
ccc,asmt_stdnt,knn,pca,precision,0.16143497757847533
ccc,asmt_stdnt,knn,pca,recall,0.04580152671755725
ccc,asmt_abd,knn,pca,accuracy,0.8936462628184798
ccc,asmt_abd,knn,pca,fscore,0.007163172864215738
ccc,asmt_abd,knn,pca,precision,0.11805555555555555
ccc,asmt_abd,knn,pca,recall,0.043256997455470736
ccc,asmt_abi,knn,pca,accuracy,0.887620255840998
ccc,asmt_abi,knn,pca,fscore,0.00967911625460284
ccc,asmt_abi,knn,pca,precision,0.12466124661246612
ccc,asmt_abi,knn,pca,recall,0.05852417302798984
ccc,stdnt_abd,knn,pca,accuracy,0.8918490326673009
ccc,stdnt_abd,knn,pca,fscore,0.011561908766029009
ccc,stdnt_abd,knn,pca,precision,0.1585014409221902
ccc,stdnt_abd,knn,pca,recall,0.06997455470737914
ccc,stdnt_abi,knn,pca,accuracy,0.8851887091658738
ccc,stdnt_abi,knn,pca,fscore,0.013858267716535434
ccc,stdnt_abi,knn,pca,precision,0.1527777777777778
ccc,stdnt_abi,knn,pca,recall,0.08396946564885496
ccc,asmt_stdnt_abd,knn,pca,accuracy,0.8900518025161223
ccc,asmt_stdnt_abd,knn,pca,fscore,0.011143818334735071
ccc,asmt_stdnt_abd,knn,pca,precision,0.14722222222222225
ccc,asmt_stdnt_abd,knn,pca,recall,0.06743002544529263
ccc,asmt_stdnt_abi,knn,pca,accuracy,0.8886774500475737
ccc,asmt_stdnt_abi,knn,pca,fscore,0.013232514177693763
ccc,asmt_stdnt_abi,knn,pca,precision,0.16030534351145034
ccc,asmt_stdnt_abi,knn,pca,recall,0.08015267175572519
