module,attributes,classifier,technique,metric,score
eee,asmt,knn,pca,accuracy,0.9853990914990266
eee,asmt,knn,pca,fscore,0.0
eee,asmt,knn,pca,precision,0.0
eee,asmt,knn,pca,recall,0.0
eee,stdnt,knn,pca,accuracy,0.9853990914990266
eee,stdnt,knn,pca,fscore,0.0
eee,stdnt,knn,pca,precision,0.0
eee,stdnt,knn,pca,recall,0.0
eee,abd,knn,pca,accuracy,0.9844256975989616
eee,abd,knn,pca,fscore,0.0
eee,abd,knn,pca,precision,0.0
eee,abd,knn,pca,recall,0.0
eee,abi,knn,pca,accuracy,0.9841012329656068
eee,abi,knn,pca,fscore,0.0
eee,abi,knn,pca,precision,0.0
eee,abi,knn,pca,recall,0.0
eee,asmt_stdnt,knn,pca,accuracy,0.9850746268656716
eee,asmt_stdnt,knn,pca,fscore,0.0
eee,asmt_stdnt,knn,pca,precision,0.0
eee,asmt_stdnt,knn,pca,recall,0.0
eee,asmt_abd,knn,pca,accuracy,0.9841012329656068
eee,asmt_abd,knn,pca,fscore,0.0012970168612191958
eee,asmt_abd,knn,pca,precision,0.25
eee,asmt_abd,knn,pca,recall,0.04444444444444445
eee,asmt_abi,knn,pca,accuracy,0.9841012329656068
eee,asmt_abi,knn,pca,fscore,0.0
eee,asmt_abi,knn,pca,precision,0.0
eee,asmt_abi,knn,pca,recall,0.0
eee,stdnt_abd,knn,pca,accuracy,0.9844256975989616
eee,stdnt_abd,knn,pca,fscore,0.0
eee,stdnt_abd,knn,pca,precision,0.0
eee,stdnt_abd,knn,pca,recall,0.0
eee,stdnt_abi,knn,pca,accuracy,0.9841012329656068
eee,stdnt_abi,knn,pca,fscore,0.0
eee,stdnt_abi,knn,pca,precision,0.0
eee,stdnt_abi,knn,pca,recall,0.0
eee,asmt_stdnt_abd,knn,pca,accuracy,0.9837767683322518
eee,asmt_stdnt_abd,knn,pca,fscore,0.0
eee,asmt_stdnt_abd,knn,pca,precision,0.0
eee,asmt_stdnt_abd,knn,pca,recall,0.0
eee,asmt_stdnt_abi,knn,pca,accuracy,0.9847501622323168
eee,asmt_stdnt_abi,knn,pca,fscore,0.0
eee,asmt_stdnt_abi,knn,pca,precision,0.0
eee,asmt_stdnt_abi,knn,pca,recall,0.0
