module,attributes,classifier,technique,metric,score
ggg,asmt,knn,pca,accuracy,0.977762494268684
ggg,asmt,knn,pca,fscore,0.0
ggg,asmt,knn,pca,precision,0.0
ggg,asmt,knn,pca,recall,0.0
ggg,stdnt,knn,pca,accuracy,0.977762494268684
ggg,stdnt,knn,pca,fscore,0.0
ggg,stdnt,knn,pca,precision,0.0
ggg,stdnt,knn,pca,recall,0.0
ggg,abd,knn,pca,accuracy,0.9775332416322788
ggg,abd,knn,pca,fscore,0.00045840018336007336
ggg,abd,knn,pca,precision,0.3333333333333333
ggg,abd,knn,pca,recall,0.010309278350515464
ggg,abi,knn,pca,accuracy,0.9775332416322788
ggg,abi,knn,pca,fscore,0.00045840018336007336
ggg,abi,knn,pca,precision,0.3333333333333333
ggg,abi,knn,pca,recall,0.010309278350515464
ggg,asmt_stdnt,knn,pca,accuracy,0.977762494268684
ggg,asmt_stdnt,knn,pca,fscore,0.0
ggg,asmt_stdnt,knn,pca,precision,0.0
ggg,asmt_stdnt,knn,pca,recall,0.0
ggg,asmt_abd,knn,pca,accuracy,0.9773039889958736
ggg,asmt_abd,knn,pca,fscore,0.00045840018336007336
ggg,asmt_abd,knn,pca,precision,0.25
ggg,asmt_abd,knn,pca,recall,0.010309278350515464
ggg,asmt_abi,knn,pca,accuracy,0.977762494268684
ggg,asmt_abi,knn,pca,fscore,0.0009165902841429881
ggg,asmt_abi,knn,pca,precision,0.5
ggg,asmt_abi,knn,pca,recall,0.020618556701030927
ggg,stdnt_abd,knn,pca,accuracy,0.9775332416322788
ggg,stdnt_abd,knn,pca,fscore,0.0
ggg,stdnt_abd,knn,pca,precision,0.0
ggg,stdnt_abd,knn,pca,recall,0.0
ggg,stdnt_abi,knn,pca,accuracy,0.9775332416322788
ggg,stdnt_abi,knn,pca,fscore,0.0
ggg,stdnt_abi,knn,pca,precision,0.0
ggg,stdnt_abi,knn,pca,recall,0.0
ggg,asmt_stdnt_abd,knn,pca,accuracy,0.9773039889958736
ggg,asmt_stdnt_abd,knn,pca,fscore,0.0
ggg,asmt_stdnt_abd,knn,pca,precision,0.0
ggg,asmt_stdnt_abd,knn,pca,recall,0.0
ggg,asmt_stdnt_abi,knn,pca,accuracy,0.9773039889958736
ggg,asmt_stdnt_abi,knn,pca,fscore,0.0
ggg,asmt_stdnt_abi,knn,pca,precision,0.0
ggg,asmt_stdnt_abi,knn,pca,recall,0.0
