module,attributes,classifier,technique,metric,score
eee,asmt,knn,smote+ae,accuracy,0.7598961713173265
eee,asmt,knn,smote+ae,fscore,0.012894906511927788
eee,asmt,knn,smote+ae,precision,0.027210884353741496
eee,asmt,knn,smote+ae,recall,0.4444444444444444
eee,stdnt,knn,smote+ae,accuracy,0.8293316028552887
eee,stdnt,knn,smote+ae,fscore,0.005177993527508091
eee,stdnt,knn,smote+ae,precision,0.01609657947686117
eee,stdnt,knn,smote+ae,recall,0.17777777777777778
eee,abd,knn,smote+ae,accuracy,0.6885139519792343
eee,abd,knn,smote+ae,fscore,0.019280205655526992
eee,abd,knn,smote+ae,precision,0.030769230769230767
eee,abd,knn,smote+ae,recall,0.6666666666666666
eee,abi,knn,smote+ae,accuracy,0.7709279688513953
eee,abi,knn,smote+ae,fscore,0.0160926939169617
eee,abi,knn,smote+ae,precision,0.03516174402250352
eee,abi,knn,smote+ae,recall,0.5555555555555556
eee,asmt_stdnt,knn,smote+ae,accuracy,0.7563270603504219
eee,asmt_stdnt,knn,smote+ae,fscore,0.010971281058405936
eee,asmt_stdnt,knn,smote+ae,precision,0.02297297297297297
eee,asmt_stdnt,knn,smote+ae,recall,0.37777777777777777
eee,asmt_abd,knn,smote+ae,accuracy,0.7861778066190785
eee,asmt_abd,knn,smote+ae,fscore,0.018643522982963682
eee,asmt_abd,knn,smote+ae,precision,0.043154761904761904
eee,asmt_abd,knn,smote+ae,recall,0.6444444444444445
eee,asmt_abi,knn,smote+ae,accuracy,0.7491888384166125
eee,asmt_abi,knn,smote+ae,fscore,0.019916479280436883
eee,asmt_abi,knn,smote+ae,precision,0.039240506329113925
eee,asmt_abi,knn,smote+ae,recall,0.6888888888888889
eee,stdnt_abd,knn,smote+ae,accuracy,0.708306294613887
eee,stdnt_abd,knn,smote+ae,fscore,0.01353528843055108
eee,stdnt_abd,knn,smote+ae,precision,0.0234375
eee,stdnt_abd,knn,smote+ae,recall,0.4666666666666667
eee,stdnt_abi,knn,smote+ae,accuracy,0.7589227774172616
eee,stdnt_abi,knn,smote+ae,fscore,0.014175257731958763
eee,stdnt_abi,knn,smote+ae,precision,0.029649595687331536
eee,stdnt_abi,knn,smote+ae,recall,0.4888888888888889
eee,asmt_stdnt_abd,knn,smote+ae,accuracy,0.7800129785853342
eee,asmt_stdnt_abd,knn,smote+ae,fscore,0.014814814814814815
eee,asmt_stdnt_abd,knn,smote+ae,precision,0.033873343151693665
eee,asmt_stdnt_abd,knn,smote+ae,recall,0.5111111111111111
eee,asmt_stdnt_abi,knn,smote+ae,accuracy,0.6963011031797534
eee,asmt_stdnt_abi,knn,smote+ae,fscore,0.02118780096308186
eee,asmt_stdnt_abi,knn,smote+ae,precision,0.03448275862068965
eee,asmt_stdnt_abi,knn,smote+ae,recall,0.7333333333333333
