module,attributes,classifier,technique,metric,score
ggg,asmt,knn,smote+ae,accuracy,0.6286107290233838
ggg,asmt,knn,smote+ae,fscore,0.022217184311947403
ggg,asmt,knn,smote+ae,precision,0.030228254164096236
ggg,asmt,knn,smote+ae,recall,0.5051546391752577
ggg,stdnt,knn,smote+ae,accuracy,0.7462173314993122
ggg,stdnt,knn,smote+ae,fscore,0.014113362167083997
ggg,stdnt,knn,smote+ae,precision,0.028917910447761194
ggg,stdnt,knn,smote+ae,recall,0.31958762886597936
ggg,abd,knn,smote+ae,accuracy,0.8127005960568546
ggg,abd,knn,smote+ae,fscore,0.009582477754962355
ggg,abd,knn,smote+ae,precision,0.02755905511811024
ggg,abd,knn,smote+ae,recall,0.21649484536082475
ggg,abi,knn,smote+ae,accuracy,0.7939018798716185
ggg,abi,knn,smote+ae,fscore,0.016822005001136627
ggg,abi,knn,smote+ae,precision,0.042237442922374434
ggg,abi,knn,smote+ae,recall,0.38144329896907214
ggg,asmt_stdnt,knn,smote+ae,accuracy,0.7478220999541495
ggg,asmt_stdnt,knn,smote+ae,fscore,0.01139731023478459
ggg,asmt_stdnt,knn,smote+ae,precision,0.02374169040835708
ggg,asmt_stdnt,knn,smote+ae,recall,0.25773195876288657
ggg,asmt_abd,knn,smote+ae,accuracy,0.7764786795048143
ggg,asmt_abd,knn,smote+ae,fscore,0.013208836255978138
ggg,asmt_abd,knn,smote+ae,precision,0.03098290598290598
ggg,asmt_abd,knn,smote+ae,recall,0.29896907216494845
ggg,asmt_abi,knn,smote+ae,accuracy,0.7563044475011462
ggg,asmt_abi,knn,smote+ae,fscore,0.01997276441216523
ggg,asmt_abi,knn,smote+ae,precision,0.04174573055028463
ggg,asmt_abi,knn,smote+ae,recall,0.4536082474226804
ggg,stdnt_abd,knn,smote+ae,accuracy,0.6710224667583677
ggg,stdnt_abd,knn,smote+ae,fscore,0.01772324471710975
ggg,stdnt_abd,knn,smote+ae,precision,0.02754237288135593
ggg,stdnt_abd,knn,smote+ae,recall,0.4020618556701031
ggg,stdnt_abi,knn,smote+ae,accuracy,0.7796882164144888
ggg,stdnt_abi,knn,smote+ae,fscore,0.010036496350364963
ggg,stdnt_abi,knn,smote+ae,precision,0.024229074889867842
ggg,stdnt_abi,knn,smote+ae,recall,0.2268041237113402
ggg,asmt_stdnt_abd,knn,smote+ae,accuracy,0.7457588262265016
ggg,asmt_stdnt_abd,knn,smote+ae,fscore,0.017272727272727273
ggg,asmt_stdnt_abd,knn,smote+ae,precision,0.034926470588235295
ggg,asmt_stdnt_abd,knn,smote+ae,recall,0.3917525773195876
ggg,asmt_stdnt_abi,knn,smote+ae,accuracy,0.7996331957817515
ggg,asmt_stdnt_abi,knn,smote+ae,fscore,0.01366120218579235
ggg,asmt_stdnt_abi,knn,smote+ae,precision,0.035842293906810034
ggg,asmt_stdnt_abi,knn,smote+ae,recall,0.30927835051546393
